Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo pane: (Italia),prezzo latte: (Italia),prezzo pasta: (Italia),prezzo olio: (Italia)
2004-01,62,0,0,0,0
2004-02,71,0,0,0,0
2004-03,54,0,0,0,0
2004-04,51,0,0,0,0
2004-05,49,0,0,0,0
2004-06,36,0,0,0,0
2004-07,33,0,0,0,0
2004-08,31,0,0,0,0
2004-09,44,0,0,0,0
2004-10,41,0,0,0,0
2004-11,44,0,9,0,0
2004-12,44,0,0,0,0
2005-01,61,0,8,0,0
2005-02,45,0,0,0,0
2005-03,38,0,0,0,16
2005-04,33,0,0,0,8
2005-05,35,0,0,0,6
2005-06,31,0,0,0,0
2005-07,25,0,0,0,7
2005-08,23,0,0,0,0
2005-09,35,0,0,0,5
2005-10,32,0,0,0,0
2005-11,32,0,0,0,0
2005-12,34,0,0,0,5
2006-01,46,0,0,0,0
2006-02,38,0,0,0,4
2006-03,36,0,0,0,4
2006-04,28,0,0,0,0
2006-05,33,0,0,0,6
2006-06,36,0,0,0,4
2006-07,19,0,4,0,6
2006-08,26,0,0,0,4
2006-09,31,0,0,0,7
2006-10,33,3,0,0,5
2006-11,27,0,0,0,6
2006-12,26,0,0,0,7
2007-01,42,0,2,0,9
2007-02,33,0,3,0,5
2007-03,27,0,4,0,3
2007-04,25,0,3,0,4
2007-05,26,0,2,0,5
2007-06,27,0,2,0,4
2007-07,20,0,3,0,4
2007-08,19,3,5,0,6
2007-09,27,4,5,3,6
2007-10,25,3,3,2,5
2007-11,27,3,3,3,7
2007-12,31,3,4,2,5
2008-01,45,2,5,2,4
2008-02,39,2,4,2,6
2008-03,33,1,5,0,6
2008-04,34,2,4,2,6
2008-05,33,2,2,0,7
2008-06,37,1,4,2,7
2008-07,37,0,4,0,6
2008-08,29,2,2,0,4
2008-09,37,2,3,2,4
2008-10,37,2,3,3,7
2008-11,29,3,3,2,9
2008-12,28,2,3,3,6
2009-01,40,2,3,2,6
2009-02,31,0,3,2,4
2009-03,29,3,3,2,7
2009-04,22,0,3,0,6
2009-05,24,1,3,1,8
2009-06,26,1,4,1,5
2009-07,21,1,4,2,6
2009-08,20,1,3,0,7
2009-09,21,1,4,1,6
2009-10,20,1,5,2,10
2009-11,22,1,4,3,10
2009-12,21,2,4,2,9
2010-01,33,2,4,2,7
2010-02,23,1,5,3,8
2010-03,20,2,5,3,8
2010-04,21,0,4,2,8
2010-05,22,2,3,2,9
2010-06,20,1,4,2,8
2010-07,13,1,5,2,9
2010-08,16,1,5,2,9
2010-09,19,1,5,3,8
2010-10,19,2,5,2,9
2010-11,19,2,5,3,12
2010-12,20,3,5,4,11
2011-01,25,2,5,4,12
2011-02,23,2,5,3,11
2011-03,22,2,4,3,12
2011-04,19,1,4,4,11
2011-05,20,1,5,3,11
2011-06,20,2,5,3,11
2011-07,19,1,5,3,12
2011-08,18,2,5,4,12
2011-09,20,2,5,4,12
2011-10,19,2,5,5,13
2011-11,30,2,5,6,14
2011-12,26,3,6,7,14
2012-01,30,2,6,5,14
2012-02,23,2,6,5,12
2012-03,29,2,7,6,15
2012-04,18,2,8,5,15
2012-05,23,2,7,5,14
2012-06,24,1,7,5,15
2012-07,17,2,7,4,13
2012-08,14,2,6,6,17
2012-09,18,3,7,6,15
2012-10,24,2,7,6,16
2012-11,19,2,7,7,17
2012-12,17,2,8,8,15
2013-01,26,2,7,7,15
2013-02,21,2,8,7,15
2013-03,19,2,8,8,16
2013-04,23,3,8,7,19
2013-05,21,2,8,7,19
2013-06,19,2,8,7,20
2013-07,14,2,8,5,19
2013-08,12,3,7,6,19
2013-09,16,3,9,7,19
2013-10,20,3,8,7,21
2013-11,24,3,8,8,27
2013-12,18,3,8,10,21
2014-01,27,3,10,8,21
2014-02,23,2,8,7,22
2014-03,22,3,10,8,25
2014-04,23,3,10,8,26
2014-05,23,3,10,8,27
2014-06,20,2,9,6,24
2014-07,15,2,9,7,24
2014-08,18,2,10,7,25
2014-09,18,3,10,8,24
2014-10,18,4,10,8,30
2014-11,16,3,11,10,33
2014-12,18,4,12,11,28
2015-01,26,4,12,9,28
2015-02,21,3,12,10,26
2015-03,21,4,11,9,30
2015-04,18,3,11,8,28
2015-05,20,3,10,9,29
2015-06,19,3,10,7,27
2015-07,13,2,10,6,28
2015-08,11,3,10,6,27
2015-09,14,3,9,8,26
2015-10,16,3,10,10,34
2015-11,17,4,13,10,43
2015-12,18,4,10,12,33
2016-01,21,4,11,10,36
2016-02,21,4,11,11,32
2016-03,16,3,12,9,31
2016-04,17,3,12,8,31
2016-05,16,3,12,9,29
2016-06,15,2,11,8,27
2016-07,10,2,9,7,26
2016-08,9,2,10,7,23
2016-09,12,3,10,8,25
2016-10,14,3,12,10,34
2016-11,15,4,12,10,35
2016-12,15,4,12,12,30
2017-01,24,3,12,9,32
2017-02,21,3,11,8,29
2017-03,20,3,10,9,27
2017-04,20,3,10,8,27
2017-05,21,3,9,8,26
2017-06,15,2,9,7,26
2017-07,11,2,9,8,26
2017-08,11,2,9,7,27
2017-09,14,3,9,9,26
2017-10,14,3,9,9,36
2017-11,17,3,10,10,42
2017-12,15,3,10,12,31
2018-01,22,3,11,9,29
2018-02,21,4,11,9,28
2018-03,17,3,11,9,26
2018-04,17,3,10,7,26
2018-05,24,2,10,8,24
2018-06,17,2,9,7,24
2018-07,12,2,8,7,24
2018-08,13,2,8,8,22
2018-09,16,2,8,8,24
2018-10,18,3,9,9,30
2018-11,19,3,9,9,34
2018-12,16,3,9,10,25
2019-01,22,3,9,10,24
2019-02,21,3,24,8,21
2019-03,17,3,10,8,23
2019-04,16,3,9,8,21
2019-05,17,3,9,8,22
2019-06,18,2,8,6,19
2019-07,12,2,9,6,20
2019-08,10,2,8,7,20
2019-09,13,3,8,7,22
2019-10,16,3,9,9,29
2019-11,15,3,10,9,35
2019-12,15,3,9,10,28
2020-01,19,3,9,9,24
2020-02,16,3,9,8,24
2020-03,24,5,10,8,17
2020-04,31,7,13,13,23
2020-05,32,4,10,10,26
2020-06,18,3,9,9,26
2020-07,11,2,9,8,23
2020-08,12,3,9,8,23
2020-09,13,3,9,9,23
2020-10,14,3,9,10,32
2020-11,18,4,10,11,35
2020-12,16,3,9,14,27
2021-01,21,4,10,11,26
2021-02,28,3,9,11,26
2021-03,28,3,10,10,25
2021-04,23,3,10,10,24
2021-05,29,3,8,9,23
2021-06,22,2,8,8,23
2021-07,16,2,7,7,22
2021-08,13,3,8,8,22
2021-09,22,4,8,8,25
2021-10,29,3,9,8,30
2021-11,39,4,10,9,35
2021-12,39,3,8,11,27
2022-01,45,3,9,11,24
2022-02,52,4,10,11,24
2022-03,54,7,12,15,35
2022-04,45,4,11,11,34
2022-05,58,4,10,9,35
2022-06,69,3,10,10,28
2022-07,64,3,10,8,27
2022-08,48,3,10,10,29
2022-09,62,5,12,11,28
2022-10,63,5,12,12,41
2022-11,73,4,12,12,39
2022-12,53,4,12,14,32
2023-01,78,4,13,11,30
2023-02,66,4,12,12,30
2023-03,71,4,11,12,29
2023-04,49,4,12,11,28
2023-05,55,4,11,10,27
2023-06,55,2,10,9,28
2023-07,51,3,9,9,30
2023-08,53,4,10,13,32
2023-09,63,4,10,10,37
2023-10,100,4,10,11,50
2023-11,61,5,11,12,60
2023-12,48,4,11,14,49
2024-01,55,4,10,12,37
2024-02,51,3,10,9,30
2024-03,46,3,10,9,29
2024-04,44,3,9,8,26
2024-05,44,3,8,8,27
2024-06,38,3,8,7,24
2024-07,31,2,8,8,24
2024-08,30,3,8,7,25
2024-09,35,3,8,7,28
2024-10,38,3,9,9,41
2024-11,42,5,9,10,47
2024-12,39,3,10,11,32
