Categoria: Tutte le categorie

Mese,Inflazione: (Italia),affitto casa: (Italia),bolletta acqua: (Italia),spese condominiali: (Italia),costo mutuo: (Italia)
2004-01,12,32,0,5,0
2004-02,13,25,0,5,0
2004-03,11,28,0,4,0
2004-04,10,25,0,5,0
2004-05,8,30,0,3,0
2004-06,8,32,0,4,0
2004-07,6,28,0,4,0
2004-08,6,38,0,3,0
2004-09,9,27,0,5,0
2004-10,9,22,0,6,0
2004-11,9,25,0,3,0
2004-12,9,23,0,4,0
2005-01,11,25,0,4,0
2005-02,9,23,0,6,0
2005-03,8,27,0,5,0
2005-04,7,28,0,5,0
2005-05,7,28,0,5,0
2005-06,6,29,0,6,0
2005-07,5,30,0,4,0
2005-08,5,32,0,3,0
2005-09,7,24,0,4,1
2005-10,6,20,0,4,0
2005-11,6,22,0,4,0
2005-12,6,17,0,3,0
2006-01,9,24,0,4,0
2006-02,7,23,0,6,0
2006-03,7,26,0,4,0
2006-04,5,27,0,3,0
2006-05,7,27,0,4,1
2006-06,7,27,0,4,1
2006-07,4,29,0,4,0
2006-08,5,27,0,2,1
2006-09,6,24,0,3,0
2006-10,6,21,1,4,0
2006-11,5,20,0,4,0
2006-12,5,18,0,3,0
2007-01,8,24,0,3,0
2007-02,7,25,0,4,1
2007-03,6,25,0,4,1
2007-04,5,29,0,3,1
2007-05,5,30,0,4,1
2007-06,5,30,0,3,1
2007-07,4,34,0,3,< 1
2007-08,4,31,0,2,< 1
2007-09,5,28,0,3,1
2007-10,5,23,0,4,1
2007-11,5,24,< 1,3,1
2007-12,6,21,0,3,< 1
2008-01,9,29,< 1,4,1
2008-02,8,30,< 1,4,1
2008-03,7,30,< 1,3,1
2008-04,7,30,< 1,3,1
2008-05,7,30,< 1,3,< 1
2008-06,7,35,< 1,3,1
2008-07,7,37,0,3,1
2008-08,6,37,0,2,< 1
2008-09,7,31,0,3,1
2008-10,7,25,< 1,4,1
2008-11,6,23,< 1,3,< 1
2008-12,6,21,< 1,2,< 1
2009-01,8,29,< 1,3,1
2009-02,6,28,< 1,4,< 1
2009-03,6,32,< 1,4,1
2009-04,5,29,< 1,4,1
2009-05,5,32,0,4,< 1
2009-06,5,33,< 1,3,1
2009-07,4,34,1,3,1
2009-08,4,32,0,2,1
2009-09,4,27,< 1,3,1
2009-10,4,21,< 1,4,1
2009-11,4,21,< 1,4,< 1
2009-12,4,17,< 1,3,< 1
2010-01,6,24,< 1,3,1
2010-02,5,24,< 1,4,1
2010-03,4,26,< 1,4,1
2010-04,4,30,< 1,3,1
2010-05,4,31,< 1,3,1
2010-06,4,33,0,3,1
2010-07,3,34,< 1,3,1
2010-08,3,32,< 1,2,< 1
2010-09,4,29,< 1,3,1
2010-10,4,23,< 1,4,1
2010-11,4,24,< 1,3,1
2010-12,4,19,< 1,2,< 1
2011-01,5,30,< 1,3,1
2011-02,5,29,< 1,3,1
2011-03,4,31,< 1,3,1
2011-04,4,31,< 1,3,1
2011-05,4,37,< 1,4,< 1
2011-06,4,40,< 1,4,1
2011-07,4,42,< 1,4,1
2011-08,4,38,< 1,3,< 1
2011-09,4,36,< 1,4,< 1
2011-10,4,28,< 1,4,1
2011-11,6,28,< 1,4,< 1
2011-12,5,25,< 1,3,< 1
2012-01,6,35,< 1,4,< 1
2012-02,5,32,< 1,4,1
2012-03,6,38,< 1,5,1
2012-04,4,38,< 1,3,< 1
2012-05,4,38,< 1,4,1
2012-06,5,45,< 1,4,< 1
2012-07,4,51,< 1,4,< 1
2012-08,3,46,< 1,2,< 1
2012-09,3,38,< 1,4,< 1
2012-10,5,31,< 1,4,< 1
2012-11,4,32,< 1,4,< 1
2012-12,3,26,< 1,3,< 1
2013-01,5,36,< 1,4,< 1
2013-02,4,34,1,3,< 1
2013-03,4,37,< 1,3,< 1
2013-04,5,42,< 1,4,< 1
2013-05,4,42,< 1,4,1
2013-06,4,47,< 1,4,1
2013-07,3,52,< 1,3,< 1
2013-08,2,48,< 1,2,< 1
2013-09,3,41,< 1,4,1
2013-10,4,37,1,4,1
2013-11,5,36,< 1,4,1
2013-12,4,31,< 1,3,< 1
2014-01,5,45,< 1,4,1
2014-02,5,43,< 1,4,1
2014-03,4,47,< 1,4,1
2014-04,5,46,1,4,< 1
2014-05,5,49,< 1,4,1
2014-06,4,55,< 1,4,1
2014-07,3,61,< 1,4,< 1
2014-08,4,57,< 1,2,< 1
2014-09,3,51,1,4,1
2014-10,4,48,1,4,1
2014-11,3,44,1,4,1
2014-12,4,37,1,3,1
2015-01,5,54,1,3,1
2015-02,4,48,1,4,1
2015-03,4,54,1,4,1
2015-04,3,53,1,4,1
2015-05,4,56,< 1,4,1
2015-06,4,62,< 1,4,1
2015-07,3,70,1,4,1
2015-08,2,62,< 1,2,< 1
2015-09,3,55,1,3,1
2015-10,3,49,1,4,1
2015-11,3,48,1,4,1
2015-12,4,44,1,3,1
2016-01,4,61,1,3,1
2016-02,4,61,1,4,1
2016-03,3,62,1,4,1
2016-04,3,64,1,4,1
2016-05,3,68,1,5,1
2016-06,3,69,1,4,1
2016-07,2,75,< 1,3,1
2016-08,2,68,1,2,< 1
2016-09,2,66,1,3,1
2016-10,3,59,1,4,1
2016-11,3,55,1,4,1
2016-12,3,49,1,3,1
2017-01,5,64,1,4,1
2017-02,4,69,1,4,1
2017-03,4,66,1,4,1
2017-04,4,65,1,3,1
2017-05,4,69,1,4,1
2017-06,3,78,1,4,1
2017-07,2,85,1,3,1
2017-08,2,78,1,2,< 1
2017-09,3,70,1,3,1
2017-10,3,65,1,4,1
2017-11,3,59,1,4,1
2017-12,3,52,1,3,1
2018-01,4,71,1,3,1
2018-02,4,68,1,4,1
2018-03,3,66,1,4,1
2018-04,3,72,< 1,3,1
2018-05,5,73,1,4,1
2018-06,3,75,1,4,1
2018-07,2,77,1,3,1
2018-08,3,72,1,2,< 1
2018-09,3,76,1,3,1
2018-10,4,65,1,3,1
2018-11,4,62,1,3,1
2018-12,3,52,1,3,1
2019-01,4,71,1,3,1
2019-02,4,70,1,4,1
2019-03,3,75,1,3,1
2019-04,3,65,1,3,1
2019-05,3,69,1,3,1
2019-06,4,78,1,3,1
2019-07,2,77,1,3,1
2019-08,2,71,1,2,< 1
2019-09,2,76,1,3,1
2019-10,3,67,1,3,1
2019-11,3,61,1,3,1
2019-12,3,54,1,2,1
2020-01,4,74,1,3,1
2020-02,3,63,1,3,1
2020-03,5,35,1,2,< 1
2020-04,6,45,1,2,1
2020-05,6,78,1,3,1
2020-06,4,100,1,4,1
2020-07,2,88,1,3,1
2020-08,2,81,1,2,1
2020-09,3,70,1,3,1
2020-10,3,58,1,3,1
2020-11,4,53,1,2,1
2020-12,3,53,1,2,1
2021-01,4,72,1,3,1
2021-02,6,69,1,4,1
2021-03,5,66,1,4,1
2021-04,5,74,1,3,1
2021-05,6,75,1,3,1
2021-06,4,81,1,3,1
2021-07,3,75,1,3,1
2021-08,3,74,1,2,1
2021-09,4,70,1,3,1
2021-10,6,64,1,3,1
2021-11,8,62,1,3,1
2021-12,8,51,1,2,1
2022-01,9,72,1,3,1
2022-02,10,72,1,3,1
2022-03,11,74,1,4,1
2022-04,9,71,1,3,1
2022-05,11,74,1,3,1
2022-06,13,76,1,4,1
2022-07,13,78,1,3,1
2022-08,9,72,1,2,1
2022-09,12,70,1,3,1
2022-10,13,63,1,4,1
2022-11,15,61,1,4,1
2022-12,11,49,1,3,1
2023-01,16,67,1,4,1
2023-02,13,65,1,4,1
2023-03,14,68,1,5,1
2023-04,10,64,1,4,1
2023-05,11,60,1,4,1
2023-06,10,67,1,4,1
2023-07,10,70,1,4,1
2023-08,10,65,1,2,1
2023-09,12,62,1,4,1
2023-10,20,57,1,4,1
2023-11,13,50,1,4,1
2023-12,9,44,1,3,1
2024-01,11,59,1,4,1
2024-02,10,51,1,4,1
2024-03,9,51,1,4,1
2024-04,9,47,1,4,1
2024-05,9,48,1,4,1
2024-06,7,48,1,4,1
2024-07,6,54,1,4,1
2024-08,6,52,1,2,1
2024-09,7,52,1,3,1
2024-10,8,46,1,4,1
2024-11,8,43,1,4,1
2024-12,8,38,1,3,1
