Categoria: Tutte le categorie

Mese,Inflazione: (Italia),risparmiare: (Italia),aumento stipendio: (Italia),caro vita: (Italia),più caro: (Italia)
2004-01,60,19,0,0,0
2004-02,67,20,0,0,0
2004-03,55,0,0,0,0
2004-04,53,13,0,0,0
2004-05,39,15,0,0,0
2004-06,43,15,0,0,0
2004-07,29,16,0,0,0
2004-08,31,33,0,0,0
2004-09,45,23,0,0,0
2004-10,44,21,0,0,0
2004-11,44,22,0,0,0
2004-12,46,15,0,0,0
2005-01,57,23,0,0,0
2005-02,46,17,9,0,0
2005-03,43,15,0,0,0
2005-04,37,18,6,0,0
2005-05,34,18,0,0,0
2005-06,32,22,8,0,6
2005-07,27,20,0,0,0
2005-08,23,17,0,0,0
2005-09,34,20,5,0,0
2005-10,33,16,4,0,0
2005-11,32,18,0,0,0
2005-12,33,23,0,0,0
2006-01,47,22,7,0,0
2006-02,37,23,0,0,0
2006-03,37,18,4,3,4
2006-04,25,13,0,0,0
2006-05,34,14,0,0,0
2006-06,34,12,0,0,0
2006-07,19,14,0,0,0
2006-08,25,15,0,0,0
2006-09,32,19,4,0,0
2006-10,32,17,5,0,0
2006-11,28,23,4,0,0
2006-12,26,14,0,0,0
2007-01,42,16,3,0,3
2007-02,35,20,4,0,0
2007-03,29,17,3,3,3
2007-04,26,16,6,0,0
2007-05,27,22,4,0,0
2007-06,27,17,5,0,0
2007-07,21,15,5,0,0
2007-08,19,21,7,0,3
2007-09,27,22,3,0,0
2007-10,24,22,6,0,0
2007-11,27,23,4,0,0
2007-12,32,19,4,0,3
2008-01,46,21,10,2,3
2008-02,39,22,5,2,0
2008-03,34,22,3,2,3
2008-04,35,20,4,2,0
2008-05,33,21,2,2,0
2008-06,38,19,3,3,1
2008-07,37,19,3,2,2
2008-08,28,20,0,0,0
2008-09,37,22,2,2,2
2008-10,37,23,4,2,1
2008-11,29,19,4,2,2
2008-12,28,18,2,0,1
2009-01,41,20,2,0,1
2009-02,30,17,4,0,2
2009-03,29,24,3,0,2
2009-04,23,19,2,0,0
2009-05,24,17,2,0,0
2009-06,26,15,1,0,2
2009-07,21,15,2,0,1
2009-08,20,19,1,2,0
2009-09,22,16,2,1,2
2009-10,20,19,3,0,2
2009-11,22,18,3,0,2
2009-12,21,15,3,2,3
2010-01,33,19,4,1,2
2010-02,23,18,3,1,2
2010-03,20,17,3,0,2
2010-04,21,17,2,1,2
2010-05,21,16,3,0,3
2010-06,20,15,3,0,2
2010-07,13,15,2,1,2
2010-08,16,18,2,0,2
2010-09,18,17,2,1,2
2010-10,19,17,1,1,3
2010-11,19,17,2,1,2
2010-12,19,17,2,1,3
2011-01,26,19,3,1,2
2011-02,23,19,4,1,2
2011-03,22,20,4,1,2
2011-04,20,20,2,1,2
2011-05,20,18,2,2,3
2011-06,21,18,4,1,3
2011-07,19,18,3,1,2
2011-08,18,21,2,1,3
2011-09,20,22,3,1,3
2011-10,19,24,1,1,2
2011-11,30,25,3,1,2
2011-12,27,23,3,1,3
2012-01,31,28,3,1,3
2012-02,23,26,2,1,2
2012-03,29,29,2,2,2
2012-04,18,33,1,1,2
2012-05,22,26,2,1,2
2012-06,23,20,2,1,2
2012-07,18,25,2,2,3
2012-08,14,30,1,2,3
2012-09,18,34,1,2,2
2012-10,24,35,2,1,2
2012-11,20,33,3,1,2
2012-12,17,27,12,2,3
2013-01,26,30,4,1,3
2013-02,21,26,3,1,2
2013-03,19,26,2,1,2
2013-04,24,28,4,1,2
2013-05,22,27,2,1,2
2013-06,19,25,2,1,1
2013-07,15,24,1,1,2
2013-08,12,25,1,1,2
2013-09,15,27,2,1,3
2013-10,20,28,4,1,2
2013-11,24,32,2,1,3
2013-12,19,27,3,1,3
2014-01,28,33,3,1,2
2014-02,23,28,2,1,2
2014-03,22,26,7,1,3
2014-04,24,27,6,1,2
2014-05,23,26,3,1,2
2014-06,20,24,1,1,2
2014-07,15,26,2,1,3
2014-08,19,29,1,1,3
2014-09,18,30,2,1,2
2014-10,18,33,2,1,2
2014-11,16,31,2,1,3
2014-12,18,27,2,1,4
2015-01,27,33,2,1,3
2015-02,21,32,2,1,2
2015-03,21,27,1,1,3
2015-04,18,25,2,1,3
2015-05,21,24,2,1,2
2015-06,19,24,2,1,2
2015-07,13,23,2,1,2
2015-08,12,27,1,1,2
2015-09,14,27,2,1,2
2015-10,16,27,2,1,2
2015-11,17,27,2,1,2
2015-12,18,26,2,1,3
2016-01,20,29,2,1,2
2016-02,21,26,2,1,3
2016-03,17,26,2,1,2
2016-04,18,26,2,1,2
2016-05,16,23,2,1,2
2016-06,15,20,2,1,2
2016-07,10,23,2,1,2
2016-08,9,25,2,1,3
2016-09,12,23,3,1,2
2016-10,14,28,3,1,2
2016-11,15,28,5,1,2
2016-12,15,25,5,1,3
2017-01,24,33,4,1,2
2017-02,21,27,3,1,2
2017-03,20,25,4,1,2
2017-04,20,22,4,1,2
2017-05,21,21,3,1,2
2017-06,15,22,3,1,2
2017-07,11,23,4,1,2
2017-08,11,24,3,1,2
2017-09,14,24,4,1,2
2017-10,15,24,8,1,2
2017-11,18,26,8,1,2
2017-12,15,22,10,1,3
2018-01,22,26,15,1,2
2018-02,21,25,15,1,2
2018-03,17,22,6,1,2
2018-04,17,22,8,1,2
2018-05,24,22,8,1,2
2018-06,17,19,4,1,2
2018-07,12,21,2,1,2
2018-08,13,21,2,1,2
2018-09,16,23,3,1,3
2018-10,18,23,3,1,3
2018-11,19,24,3,1,3
2018-12,17,21,3,1,3
2019-01,22,26,4,1,3
2019-02,21,23,4,1,2
2019-03,17,22,5,1,3
2019-04,16,23,6,1,2
2019-05,17,21,6,1,3
2019-06,19,18,4,1,2
2019-07,12,18,5,1,2
2019-08,11,22,3,1,3
2019-09,13,22,5,1,2
2019-10,16,23,6,1,2
2019-11,15,25,6,1,3
2019-12,15,19,9,1,4
2020-01,19,26,17,1,3
2020-02,16,18,7,1,2
2020-03,24,13,6,1,2
2020-04,31,16,6,1,2
2020-05,32,16,5,1,2
2020-06,18,15,9,1,3
2020-07,11,14,8,1,3
2020-08,12,15,3,1,3
2020-09,13,16,7,1,3
2020-10,14,15,7,1,3
2020-11,18,17,8,1,2
2020-12,16,16,12,1,3
2021-01,21,20,7,1,3
2021-02,28,18,6,1,2
2021-03,28,19,10,1,2
2021-04,23,17,9,1,2
2021-05,29,15,6,1,2
2021-06,22,14,7,1,2
2021-07,17,13,7,1,2
2021-08,13,16,5,1,3
2021-09,22,17,7,1,2
2021-10,29,19,10,1,2
2021-11,40,20,14,1,3
2021-12,40,18,12,1,4
2022-01,47,27,13,1,3
2022-02,53,31,16,1,4
2022-03,55,35,13,1,5
2022-04,45,25,12,1,4
2022-05,57,25,16,2,4
2022-06,66,25,15,2,3
2022-07,65,25,17,2,3
2022-08,47,32,15,1,4
2022-09,61,48,12,2,4
2022-10,66,46,16,2,4
2022-11,74,36,28,2,4
2022-12,55,30,14,2,4
2023-01,79,35,15,2,3
2023-02,65,28,12,2,3
2023-03,71,28,10,1,3
2023-04,51,27,10,1,3
2023-05,56,23,17,1,2
2023-06,52,22,16,1,3
2023-07,52,23,32,1,4
2023-08,51,25,11,2,4
2023-09,62,25,12,2,3
2023-10,100,24,21,2,3
2023-11,64,26,17,1,3
2023-12,48,22,12,1,4
2024-01,54,31,17,1,3
2024-02,52,23,11,1,3
2024-03,48,23,9,1,3
2024-04,44,22,12,1,3
2024-05,45,20,9,1,3
2024-06,38,18,9,1,3
2024-07,31,21,9,1,4
2024-08,31,22,7,1,3
2024-09,35,21,8,1,3
2024-10,39,24,11,1,3
2024-11,43,29,11,1,4
2024-12,40,25,34,1,4
