Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo farmaci: (Italia),visita privata: (Italia),costo ticket: (Italia),assicurazione sanitaria: (Italia)
2004-01,60,0,0,0,0
2004-02,67,0,0,0,0
2004-03,55,0,0,0,0
2004-04,53,0,0,0,0
2004-05,39,0,0,0,0
2004-06,43,0,0,0,12
2004-07,29,0,0,0,11
2004-08,31,0,0,0,0
2004-09,45,0,0,0,0
2004-10,44,0,0,0,10
2004-11,44,0,0,0,0
2004-12,46,0,0,0,0
2005-01,57,0,0,0,8
2005-02,46,0,0,0,10
2005-03,43,0,0,0,7
2005-04,37,0,0,0,10
2005-05,34,0,0,0,7
2005-06,32,0,0,0,10
2005-07,27,0,0,0,18
2005-08,23,0,0,0,13
2005-09,34,7,0,0,9
2005-10,33,0,0,0,7
2005-11,32,0,0,0,6
2005-12,33,5,0,0,8
2006-01,47,6,0,0,7
2006-02,37,0,0,4,7
2006-03,37,0,0,4,6
2006-04,25,0,0,0,7
2006-05,34,4,0,0,9
2006-06,34,0,0,4,10
2006-07,19,0,0,0,12
2006-08,25,0,0,0,10
2006-09,32,0,0,3,8
2006-10,32,3,0,3,7
2006-11,28,0,0,3,9
2006-12,26,0,0,3,6
2007-01,42,0,0,4,8
2007-02,35,3,0,5,7
2007-03,29,0,0,5,8
2007-04,26,0,0,4,10
2007-05,27,3,0,5,8
2007-06,27,0,0,0,8
2007-07,21,0,0,4,14
2007-08,19,0,0,3,10
2007-09,27,2,2,3,8
2007-10,24,0,0,3,7
2007-11,27,3,0,3,8
2007-12,32,2,0,2,7
2008-01,46,3,0,4,10
2008-02,39,2,0,3,8
2008-03,34,3,0,6,6
2008-04,35,3,0,2,7
2008-05,33,3,1,3,9
2008-06,38,2,1,2,8
2008-07,37,2,0,2,12
2008-08,28,2,0,0,10
2008-09,37,2,0,3,8
2008-10,37,1,0,4,6
2008-11,29,2,2,4,7
2008-12,28,2,0,4,6
2009-01,41,3,2,3,7
2009-02,30,3,0,5,7
2009-03,29,3,0,5,7
2009-04,23,2,1,3,7
2009-05,24,3,0,3,8
2009-06,26,2,0,3,9
2009-07,21,1,2,4,17
2009-08,20,2,0,3,10
2009-09,22,4,0,3,8
2009-10,20,2,1,4,6
2009-11,22,3,1,4,7
2009-12,21,2,1,2,6
