Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo hotel: (Italia),menu ristorante: (Italia),prezzo libro: (Italia),biglietto cinema: (Italia)
2004-01,21,4,0,0,0
2004-02,23,4,8,0,0
2004-03,19,8,0,0,0
2004-04,18,4,5,0,0
2004-05,13,4,5,0,0
2004-06,15,4,4,3,0
2004-07,10,5,3,0,0
2004-08,11,8,0,0,0
2004-09,15,4,4,0,0
2004-10,15,4,6,3,0
2004-11,15,3,3,0,0
2004-12,16,4,5,3,0
2005-01,19,3,3,0,0
2005-02,16,3,3,3,0
2005-03,15,5,4,0,0
2005-04,13,3,3,0,0
2005-05,12,5,4,2,0
2005-06,11,6,3,0,0
2005-07,9,6,3,2,0
2005-08,8,5,3,0,0
2005-09,12,0,3,2,0
2005-10,11,2,3,0,0
2005-11,11,4,4,2,0
2005-12,11,2,4,2,0
2006-01,16,3,3,2,2
2006-02,13,3,3,1,0
2006-03,13,4,3,2,0
2006-04,9,4,2,1,0
2006-05,12,4,3,1,1
2006-06,12,4,4,0,0
2006-07,6,6,3,2,0
2006-08,9,5,3,0,0
2006-09,11,3,3,2,0
2006-10,11,3,3,3,0
2006-11,9,3,3,2,0
2006-12,9,4,4,2,3
2007-01,14,4,3,2,2
2007-02,12,3,4,1,1
2007-03,10,4,3,2,1
2007-04,9,4,3,2,0
2007-05,9,5,3,2,1
2007-06,9,5,3,1,1
2007-07,7,6,3,1,1
2007-08,6,6,3,1,0
2007-09,9,4,3,2,1
2007-10,8,4,3,2,1
2007-11,9,4,4,2,2
2007-12,11,4,6,3,1
2008-01,16,3,3,2,1
2008-02,13,4,5,1,1
2008-03,12,5,4,2,2
2008-04,12,5,4,2,1
2008-05,11,5,4,2,1
2008-06,13,6,3,1,1
2008-07,13,6,3,1,1
2008-08,10,7,3,2,1
2008-09,13,4,4,2,1
2008-10,13,4,4,2,1
2008-11,10,4,4,3,2
2008-12,10,4,6,3,2
2009-01,14,4,4,2,2
2009-02,10,4,5,2,2
2009-03,10,5,5,2,1
2009-04,8,4,5,1,1
2009-05,8,5,4,2,2
2009-06,9,6,4,2,1
2009-07,7,7,3,2,1
2009-08,7,9,4,2,1
2009-09,8,4,5,2,1
2009-10,7,4,4,2,2
2009-11,8,5,5,3,3
2009-12,7,5,9,4,3
2010-01,11,4,4,2,4
2010-02,8,4,6,2,3
2010-03,7,5,6,2,2
2010-04,7,5,5,2,1
2010-05,7,5,4,2,1
2010-06,7,6,4,2,1
2010-07,4,7,4,2,1
2010-08,6,8,5,2,1
2010-09,6,5,4,3,1
2010-10,7,4,4,3,2
2010-11,7,4,5,3,2
2010-12,7,4,9,5,2
2011-01,9,5,5,3,4
2011-02,8,5,6,2,2
2011-03,8,5,5,3,1
2011-04,7,6,7,2,1
2011-05,7,6,4,3,2
2011-06,7,7,4,2,1
2011-07,6,8,5,3,2
2011-08,6,8,6,2,1
2011-09,7,5,4,3,2
2011-10,7,5,5,3,1
2011-11,10,5,6,4,3
2011-12,9,6,11,6,3
2012-01,11,6,5,3,3
2012-02,8,4,7,3,2
2012-03,10,6,8,3,2
2012-04,6,6,8,3,3
2012-05,8,6,6,3,2
2012-06,8,8,5,3,1
2012-07,6,10,5,3,2
2012-08,5,10,7,3,2
2012-09,6,6,6,4,3
2012-10,8,5,6,4,3
2012-11,7,5,8,4,4
2012-12,6,6,13,5,3
2013-01,9,5,7,3,2
2013-02,7,5,9,3,2
2013-03,7,6,12,3,2
2013-04,8,7,7,3,3
2013-05,7,6,7,3,4
2013-06,7,8,6,3,2
2013-07,5,11,7,3,1
2013-08,4,11,9,3,2
2013-09,5,6,7,4,3
2013-10,7,5,8,4,4
2013-11,8,5,11,4,6
2013-12,6,6,18,5,4
2014-01,10,7,9,4,4
2014-02,8,7,13,4,3
2014-03,8,7,11,3,3
2014-04,8,7,16,3,3
2014-05,8,7,10,4,3
2014-06,7,9,9,3,1
2014-07,5,11,9,3,2
2014-08,6,12,13,3,2
2014-09,6,7,10,5,3
2014-10,6,5,10,4,3
2014-11,6,6,14,5,5
2014-12,6,7,21,6,4
2015-01,9,6,12,4,5
2015-02,7,6,18,4,5
2015-03,7,7,19,3,4
2015-04,6,7,16,3,4
2015-05,7,7,12,3,2
2015-06,6,10,11,3,2
2015-07,4,12,13,4,1
2015-08,4,13,18,3,3
2015-09,5,8,13,4,5
2015-10,6,6,14,4,6
2015-11,6,6,18,5,4
2015-12,6,7,27,6,6
2016-01,7,7,16,4,10
2016-02,7,7,22,4,4
2016-03,6,6,26,4,4
2016-04,6,7,17,4,3
2016-05,6,7,17,4,3
2016-06,5,8,17,3,2
2016-07,4,11,18,3,1
2016-08,3,10,23,3,3
2016-09,4,6,20,5,5
2016-10,5,5,19,4,5
2016-11,5,5,23,5,5
2016-12,5,6,37,6,6
2017-01,8,7,21,4,8
2017-02,7,6,26,3,7
2017-03,7,6,26,3,6
2017-04,7,7,33,3,5
2017-05,7,7,21,4,3
2017-06,5,8,21,3,3
2017-07,4,10,24,3,2
2017-08,4,10,32,3,3
2017-09,5,6,23,4,5
2017-10,5,5,22,4,6
2017-11,6,6,30,4,5
2017-12,5,6,47,5,6
2018-01,8,6,26,3,6
2018-02,7,6,29,3,6
2018-03,6,6,43,3,4
2018-04,6,7,25,2,4
2018-05,8,6,23,3,2
2018-06,6,8,26,4,2
2018-07,4,9,28,3,1
2018-08,5,9,41,2,4
2018-09,6,6,31,4,5
2018-10,6,5,29,3,4
2018-11,7,5,39,3,5
2018-12,6,5,51,4,6
2019-01,8,6,26,3,6
2019-02,7,6,33,3,4
2019-03,6,6,39,2,4
2019-04,5,6,46,3,7
2019-05,6,5,27,3,4
2019-06,6,8,29,2,2
2019-07,4,8,34,2,3
2019-08,4,10,48,2,6
2019-09,4,6,33,6,6
2019-10,6,5,32,4,6
2019-11,5,5,42,3,6
2019-12,5,6,54,4,9
2020-01,7,6,34,3,11
2020-02,5,5,36,2,3
2020-03,8,2,9,2,< 1
2020-04,11,2,10,3,< 1
2020-05,11,3,15,3,< 1
2020-06,6,7,31,3,< 1
2020-07,4,10,46,2,< 1
2020-08,4,10,65,2,1
2020-09,5,6,40,3,3
2020-10,5,4,27,3,1
2020-11,6,3,14,4,< 1
2020-12,5,3,22,5,< 1
2021-01,7,3,15,3,< 1
2021-02,10,4,24,3,< 1
2021-03,10,3,14,3,< 1
2021-04,8,4,14,3,< 1
2021-05,10,6,29,2,1
2021-06,8,9,38,2,2
2021-07,6,10,44,2,3
2021-08,5,11,61,2,3
2021-09,8,7,39,3,3
2021-10,10,6,35,3,4
2021-11,14,6,34,3,4
2021-12,14,5,41,3,5
2022-01,16,5,24,3,3
2022-02,18,6,35,2,3
2022-03,19,7,35,3,3
2022-04,16,8,45,2,3
2022-05,20,8,33,2,3
2022-06,23,11,38,3,3
2022-07,22,12,44,2,2
2022-08,16,12,61,3,3
2022-09,21,8,41,3,5
2022-10,23,7,48,3,4
2022-11,25,6,45,3,4
2022-12,19,7,64,4,8
2023-01,27,8,45,4,7
2023-02,22,7,47,3,4
2023-03,25,7,54,2,4
2023-04,17,7,58,3,6
2023-05,19,7,41,3,5
2023-06,18,9,55,2,6
2023-07,18,10,78,2,10
2023-08,17,10,100,3,7
2023-09,21,7,64,3,7
2023-10,34,5,60,3,5
2023-11,22,5,57,3,8
2023-12,16,7,64,4,7
2024-01,19,7,44,3,7
2024-02,18,6,46,2,4
2024-03,16,6,54,2,4
2024-04,15,6,47,2,3
2024-05,16,6,42,3,2
2024-06,13,6,46,2,8
2024-07,11,8,59,3,4
2024-08,11,9,84,2,4
2024-09,12,6,45,2,3
2024-10,13,5,46,3,4
2024-11,15,5,48,3,6
2024-12,14,5,58,3,7
