Categoria: Tutte le categorie

Mese,Inflazione: (Italia),Carrello della spesa: (Italia),Determinazione dei prezzi: (Italia),Costo della vita: (Italia),Risparmio: (Italia)
2004-01,36,0,8,8,90
2004-02,39,6,7,10,97
2004-03,39,0,11,0,89
2004-04,32,0,12,10,78
2004-05,34,5,10,10,68
2004-06,25,0,10,7,79
2004-07,18,0,9,8,80
2004-08,18,6,8,0,78
2004-09,27,5,7,5,82
2004-10,29,4,6,6,84
2004-11,30,4,10,5,82
2004-12,28,5,6,9,73
2005-01,35,0,7,10,95
2005-02,29,6,5,8,90
2005-03,23,4,6,7,79
2005-04,23,0,7,8,78
2005-05,22,4,10,6,74
2005-06,22,3,9,7,74
2005-07,19,4,9,8,74
2005-08,14,0,5,8,67
2005-09,21,4,7,4,74
2005-10,20,4,6,5,80
2005-11,18,3,10,6,74
2005-12,22,4,5,6,81
2006-01,28,3,4,7,97
2006-02,25,4,6,8,87
2006-03,22,3,8,7,75
2006-04,18,3,7,6,62
2006-05,21,3,7,7,70
2006-06,22,3,6,6,66
2006-07,13,3,5,8,70
2006-08,15,4,5,7,66
2006-09,19,2,4,5,70
2006-10,19,2,6,5,82
2006-11,16,4,7,6,74
2006-12,17,2,5,4,65
2007-01,25,2,6,6,74
2007-02,21,1,5,5,75
2007-03,17,3,6,5,72
2007-04,15,2,4,4,65
2007-05,16,2,5,5,75
2007-06,16,3,6,5,67
2007-07,13,3,4,6,67
2007-08,12,2,3,8,69
2007-09,16,2,4,4,70
2007-10,15,3,5,5,73
2007-11,17,3,5,5,74
2007-12,19,2,3,5,67
2008-01,26,2,5,7,74
2008-02,22,3,4,5,74
2008-03,19,2,3,6,72
2008-04,21,2,5,6,70
2008-05,21,2,4,5,69
2008-06,23,2,5,6,65
2008-07,23,2,5,6,66
2008-08,18,1,3,6,59
2008-09,22,2,4,5,71
2008-10,22,2,4,5,92
2008-11,18,2,5,4,68
2008-12,17,2,5,4,67
2009-01,24,2,3,5,67
2009-02,19,2,5,4,65
2009-03,18,2,5,4,71
2009-04,14,2,4,5,63
2009-05,15,2,4,4,62
2009-06,17,2,5,4,60
2009-07,14,1,4,4,57
2009-08,12,1,2,5,57
2009-09,14,2,4,4,57
2009-10,13,2,4,4,64
2009-11,13,2,3,4,59
2009-12,13,2,3,3,54
2010-01,20,2,3,4,60
2010-02,15,2,4,5,62
2010-03,13,2,4,4,61
2010-04,14,2,4,4,59
2010-05,14,2,4,4,56
2010-06,13,2,4,4,53
2010-07,9,2,4,5,55
2010-08,11,2,4,5,52
2010-09,12,2,5,4,54
2010-10,13,2,7,4,56
2010-11,13,2,5,4,54
2010-12,13,2,8,4,54
2011-01,16,2,4,5,52
2011-02,15,2,4,4,53
2011-03,14,2,4,4,48
2011-04,12,2,4,4,52
2011-05,13,2,4,4,48
2011-06,14,2,4,5,54
2011-07,11,1,4,6,63
2011-08,11,2,3,6,59
2011-09,13,2,5,4,68
2011-10,12,2,5,4,62
2011-11,18,2,4,5,68
2011-12,15,2,3,5,75
2012-01,18,2,4,5,79
2012-02,14,2,4,6,64
2012-03,17,3,5,6,71
2012-04,12,2,4,6,68
2012-05,14,2,4,5,58
2012-06,14,2,5,5,57
2012-07,12,2,4,7,62
2012-08,9,2,3,7,61
2012-09,12,2,5,5,61
2012-10,14,2,4,5,77
2012-11,12,2,4,5,70
2012-12,11,2,3,5,67
2013-01,16,2,4,6,74
2013-02,12,2,4,6,68
2013-03,11,2,4,6,66
2013-04,14,2,4,6,73
2013-05,14,3,5,5,70
2013-06,12,3,4,5,63
2013-07,10,2,4,6,70
2013-08,7,2,3,6,61
2013-09,10,2,4,5,60
2013-10,12,3,4,6,68
2013-11,15,2,5,5,67
2013-12,11,3,4,6,69
2014-01,17,2,5,9,70
2014-02,14,2,5,8,70
2014-03,14,2,5,7,70
2014-04,14,2,4,6,63
2014-05,14,2,4,6,62
2014-06,13,2,5,6,63
2014-07,10,2,5,7,66
2014-08,12,2,3,8,60
2014-09,11,3,5,6,67
2014-10,12,3,5,6,75
