Categoria: Tutte le categorie

Mese,Inflazione: (Italia),affitto casa: (Italia),bolletta acqua: (Italia),assicurazione casa: (Italia),costo mutuo: (Italia)
2004-01,13,31,0,0,0
2004-02,14,25,0,0,0
2004-03,11,28,0,0,0
2004-04,10,24,0,0,0
2004-05,10,30,0,0,0
2004-06,7,32,0,3,0
2004-07,5,30,0,2,0
2004-08,6,35,0,0,0
2004-09,9,27,0,3,0
2004-10,9,23,0,3,0
2004-11,9,26,0,2,0
2004-12,9,23,0,2,0
2005-01,12,26,0,2,0
2005-02,10,25,0,2,0
2005-03,8,27,0,2,0
2005-04,6,28,0,1,0
2005-05,7,28,0,0,1
2005-06,6,31,0,2,0
2005-07,5,31,0,1,0
2005-08,5,31,0,0,0
2005-09,7,24,0,1,1
2005-10,6,20,0,2,0
2005-11,5,23,0,2,1
2005-12,7,17,0,2,0
2006-01,9,24,0,1,0
2006-02,8,23,0,2,0
2006-03,8,26,1,1,0
2006-04,5,28,0,1,0
2006-05,7,27,0,1,1
2006-06,7,27,0,2,0
2006-07,4,29,0,1,0
2006-08,5,27,0,2,0
2006-09,6,24,0,1,0
2006-10,6,21,0,2,1
2006-11,6,21,0,2,0
2006-12,6,19,0,1,0
2007-01,8,24,0,2,1
2007-02,7,25,0,2,1
2007-03,6,26,0,2,1
2007-04,5,30,0,1,1
2007-05,5,30,0,2,1
2007-06,6,31,0,2,1
2007-07,4,35,0,2,0
2007-08,4,31,0,2,1
2007-09,5,28,0,2,1
2007-10,5,24,0,2,1
2007-11,5,25,1,1,1
2007-12,6,21,0,1,< 1
2008-01,9,30,< 1,2,1
2008-02,8,30,0,1,1
2008-03,7,31,< 1,1,< 1
2008-04,7,31,< 1,2,< 1
2008-05,7,31,< 1,1,1
2008-06,8,36,< 1,2,1
2008-07,7,38,< 1,2,1
2008-08,6,37,0,2,1
2008-09,7,31,< 1,1,1
2008-10,7,25,< 1,2,1
2008-11,6,24,< 1,2,1
2008-12,6,22,< 1,1,< 1
2009-01,8,29,< 1,2,1
2009-02,6,29,< 1,2,1
2009-03,6,31,< 1,2,1
2009-04,5,29,0,3,1
2009-05,5,32,0,2,1
2009-06,5,33,< 1,2,< 1
2009-07,4,33,< 1,2,1
2009-08,4,33,< 1,1,1
2009-09,4,27,< 1,2,1
2009-10,4,21,< 1,2,1
2009-11,4,21,0,1,1
2009-12,4,17,0,1,< 1
2010-01,7,24,< 1,2,1
2010-02,5,24,< 1,2,1
2010-03,4,26,< 1,2,1
2010-04,4,29,< 1,2,< 1
2010-05,4,30,< 1,2,1
2010-06,4,34,< 1,2,1
2010-07,3,36,< 1,2,1
2010-08,3,33,< 1,1,< 1
2010-09,4,29,< 1,2,1
2010-10,4,24,< 1,2,< 1
2010-11,4,24,< 1,2,1
2010-12,4,20,< 1,2,< 1
2011-01,5,30,< 1,2,1
2011-02,5,29,< 1,2,1
2011-03,4,32,< 1,2,1
2011-04,4,32,< 1,2,1
2011-05,4,36,< 1,2,1
2011-06,4,43,1,2,1
2011-07,4,43,< 1,2,1
2011-08,4,38,< 1,2,< 1
2011-09,4,36,< 1,2,1
2011-10,4,29,< 1,2,1
2011-11,6,26,< 1,2,< 1
2011-12,5,24,< 1,2,< 1
2012-01,6,36,< 1,2,< 1
2012-02,5,34,< 1,2,1
2012-03,6,38,< 1,2,1
2012-04,4,38,< 1,2,< 1
2012-05,5,40,< 1,4,1
2012-06,5,46,< 1,3,1
2012-07,4,52,< 1,2,< 1
2012-08,3,47,< 1,2,< 1
2012-09,4,37,< 1,2,< 1
2012-10,5,33,< 1,2,< 1
2012-11,4,32,< 1,2,< 1
2012-12,3,27,< 1,2,< 1
2013-01,5,37,< 1,2,< 1
2013-02,4,37,1,2,< 1
2013-03,4,39,< 1,2,< 1
2013-04,5,43,< 1,2,< 1
2013-05,4,44,< 1,2,1
2013-06,4,47,< 1,2,1
2013-07,3,51,< 1,2,< 1
2013-08,2,50,< 1,2,< 1
2013-09,3,41,< 1,2,1
2013-10,4,39,< 1,2,1
2013-11,5,37,< 1,2,1
2013-12,4,31,< 1,2,< 1
2014-01,6,44,< 1,2,1
2014-02,5,43,< 1,2,1
2014-03,4,46,< 1,2,1
2014-04,5,47,1,2,1
2014-05,5,50,< 1,2,1
2014-06,4,56,< 1,2,1
2014-07,3,63,1,2,1
2014-08,4,57,1,2,< 1
2014-09,4,51,1,2,1
2014-10,4,47,1,2,1
2014-11,3,44,1,2,1
2014-12,4,37,1,2,1
2015-01,5,56,1,2,1
2015-02,4,49,1,2,1
2015-03,4,53,1,2,1
2015-04,4,54,1,3,1
2015-05,4,57,< 1,2,1
2015-06,4,63,< 1,2,1
2015-07,3,70,1,2,1
2015-08,2,64,< 1,2,< 1
2015-09,3,56,1,2,1
2015-10,3,52,1,2,1
2015-11,3,50,1,2,1
2015-12,4,45,1,2,1
2016-01,4,62,1,2,1
2016-02,4,64,1,2,1
2016-03,3,64,1,2,1
2016-04,4,65,1,2,1
2016-05,3,67,1,2,1
2016-06,3,71,1,2,1
2016-07,2,75,1,2,1
2016-08,2,69,1,2,< 1
2016-09,2,66,1,2,1
2016-10,3,58,1,3,1
2016-11,3,58,1,2,1
2016-12,3,48,< 1,2,1
2017-01,5,67,1,2,1
2017-02,4,69,1,2,1
2017-03,4,70,1,2,1
2017-04,4,65,1,2,1
2017-05,4,72,1,2,1
2017-06,3,81,1,2,1
2017-07,2,86,1,2,< 1
2017-08,2,79,1,2,< 1
2017-09,3,71,1,2,1
2017-10,3,66,1,2,1
2017-11,3,60,1,2,1
2017-12,3,53,1,2,< 1
2018-01,4,75,1,2,1
2018-02,4,67,1,2,1
2018-03,3,67,1,2,1
2018-04,3,71,< 1,2,1
2018-05,5,69,1,2,1
2018-06,4,75,1,2,1
2018-07,2,80,1,2,1
2018-08,3,73,1,2,< 1
