Categoria: Tutte le categorie

Mese,Inflazione: (Italia),abbonamento treno: (Italia),abbonamento autobus: (Italia),prezzi auto usate: (Italia),pedaggio autostrada: (Italia)
2004-01,68,0,0,30,0
2004-02,63,0,0,24,0
2004-03,46,0,0,24,0
2004-04,53,0,0,12,0
2004-05,49,0,0,18,0
2004-06,34,0,0,17,11
2004-07,25,0,0,25,13
2004-08,29,0,0,21,12
2004-09,43,9,0,18,14
2004-10,41,0,0,25,7
2004-11,42,11,0,17,9
2004-12,44,0,0,13,9
2005-01,58,12,0,29,7
2005-02,49,6,0,15,7
2005-03,36,0,0,18,0
2005-04,34,0,0,17,0
2005-05,33,0,0,20,0
2005-06,34,0,0,16,11
2005-07,25,0,0,24,13
2005-08,21,0,0,22,7
2005-09,35,6,0,29,6
2005-10,32,0,0,25,5
2005-11,30,6,0,14,5
2005-12,34,0,0,12,5
2006-01,45,6,0,18,0
2006-02,37,4,0,17,4
2006-03,36,0,0,13,6
2006-04,25,0,0,14,7
2006-05,33,0,0,16,6
2006-06,35,0,0,11,3
2006-07,18,0,0,11,8
2006-08,24,0,0,21,9
2006-09,30,5,0,19,6
2006-10,30,6,0,16,5
2006-11,28,0,0,17,5
2006-12,27,0,0,10,7
2007-01,40,3,0,21,4
2007-02,33,4,0,17,5
2007-03,27,0,0,14,6
2007-04,24,0,0,11,8
2007-05,26,2,0,12,6
2007-06,27,3,0,12,7
2007-07,20,3,0,14,10
2007-08,18,4,0,14,11
2007-09,27,7,2,14,4
2007-10,24,6,0,14,5
2007-11,26,0,0,13,6
2007-12,32,3,0,9,4
2008-01,44,5,0,15,6
2008-02,39,3,0,14,4
2008-03,32,3,0,12,6
2008-04,33,4,0,10,5
2008-05,32,4,0,10,6
2008-06,36,5,0,12,8
2008-07,36,3,0,11,9
2008-08,27,5,0,10,9
2008-09,37,9,3,11,6
2008-10,36,6,2,12,5
2008-11,29,4,1,10,6
2008-12,27,3,0,10,5
2009-01,40,3,1,14,3
2009-02,30,3,0,15,5
2009-03,29,4,1,12,3
2009-04,22,6,2,11,6
2009-05,24,6,2,11,6
2009-06,26,4,1,12,5
2009-07,21,3,1,11,7
2009-08,19,6,2,13,8
2009-09,21,10,3,15,5
2009-10,20,6,2,14,4
2009-11,21,5,2,14,5
