Categoria: Tutte le categorie

Mese,Inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),aumento tassi: (Italia),spread BTP Bund: (Italia)
2004-01,56,0,0,0,0
2004-02,59,0,0,0,0
2004-03,47,0,0,0,0
2004-04,44,0,0,0,0
2004-05,43,0,0,0,0
2004-06,30,8,0,0,0
2004-07,22,0,0,0,0
2004-08,27,0,0,0,0
2004-09,37,0,0,0,0
2004-10,37,0,0,0,0
2004-11,38,0,0,0,0
2004-12,39,0,0,0,0
2005-01,49,0,0,0,0
2005-02,43,0,0,0,0
2005-03,33,0,0,0,0
2005-04,26,5,0,0,0
2005-05,29,5,0,0,0
2005-06,27,5,0,0,0
2005-07,19,6,0,0,0
2005-08,22,0,0,0,0
2005-09,31,0,0,0,0
2005-10,28,4,0,0,0
2005-11,21,0,0,6,0
2005-12,29,0,0,5,0
2006-01,39,3,0,0,0
2006-02,32,4,0,0,0
2006-03,33,4,0,5,0
2006-04,23,0,0,0,0
2006-05,30,4,0,4,0
2006-06,31,3,0,5,0
2006-07,16,0,0,0,0
2006-08,23,0,0,5,0
2006-09,27,0,0,0,0
2006-10,28,2,0,4,0
2006-11,24,3,0,3,0
2006-12,24,0,0,3,0
2007-01,36,3,0,3,0
2007-02,29,3,0,0,0
2007-03,25,0,0,3,0
2007-04,21,0,0,0,0
2007-05,22,2,0,3,0
2007-06,23,2,0,4,0
2007-07,17,0,0,2,0
2007-08,15,2,0,4,0
2007-09,22,2,0,3,0
2007-10,21,2,0,2,0
2007-11,22,2,0,2,0
2007-12,27,3,0,0,0
2008-01,38,3,0,0,0
2008-02,33,3,0,0,0
2008-03,28,2,0,0,0
2008-04,29,3,0,0,0
2008-05,28,4,0,0,0
2008-06,32,4,0,2,0
2008-07,31,2,0,2,0
2008-08,25,2,0,0,0
2008-09,32,2,0,0,0
2008-10,31,3,0,0,0
2008-11,25,1,0,0,0
2008-12,24,3,0,0,1
2009-01,35,3,0,0,0
2009-02,26,1,1,0,0
2009-03,25,2,2,0,0
2009-04,20,3,0,0,0
2009-05,21,2,0,0,0
2009-06,23,4,0,0,0
2009-07,18,2,0,0,0
2009-08,17,0,0,0,0
2009-09,18,2,0,0,0
2009-10,17,2,0,0,0
2009-11,19,3,0,0,0
2009-12,18,1,0,0,0
2010-01,28,3,0,0,0
2010-02,20,2,1,0,0
2010-03,17,1,0,0,0
2010-04,18,2,0,0,0
2010-05,18,3,0,0,0
2010-06,17,3,0,0,0
2010-07,11,1,0,0,0
2010-08,13,0,1,0,0
2010-09,15,2,0,0,0
2010-10,17,1,3,1,0
2010-11,17,2,2,0,1
2010-12,17,1,1,0,2
2011-01,22,2,1,0,1
2011-02,20,2,1,1,1
2011-03,19,2,0,3,1
2011-04,17,2,1,4,0
2011-05,17,2,1,2,0
2011-06,18,3,1,1,1
2011-07,16,1,1,2,9
2011-08,16,1,2,1,16
2011-09,17,2,1,1,23
2011-10,16,2,< 1,1,14
2011-11,26,2,2,1,100
2011-12,23,2,1,0,63
2012-01,26,3,1,0,42
2012-02,20,2,1,0,40
2012-03,25,2,1,0,38
2012-04,15,2,1,0,33
2012-05,19,3,1,0,31
2012-06,20,3,1,0,34
2012-07,15,2,1,0,41
2012-08,12,1,1,0,35
2012-09,15,3,2,0,28
2012-10,21,2,1,0,23
2012-11,17,2,1,0,15
2012-12,15,2,1,0,22
2013-01,23,3,1,0,16
2013-02,18,3,1,0,15
2013-03,16,2,< 1,0,11
2013-04,20,2,1,0,11
2013-05,18,3,1,0,10
2013-06,16,3,2,0,9
2013-07,12,2,1,0,9
2013-08,10,1,1,0,9
2013-09,13,2,2,0,8
2013-10,17,2,1,0,9
2013-11,20,2,1,0,5
2013-12,16,2,1,0,6
2014-01,24,3,1,< 1,7
2014-02,20,2,1,0,8
2014-03,19,2,1,0,7
2014-04,21,2,3,0,6
2014-05,20,3,2,0,7
2014-06,17,3,2,0,6
2014-07,13,1,1,0,5
2014-08,16,1,2,0,4
2014-09,15,2,3,0,5
2014-10,15,2,2,< 1,5
2014-11,14,2,3,0,4
2014-12,15,2,4,< 1,5
