Categoria: Tutte le categorie

Mese,inflazione: (Italia),aumento stipendio: (Italia),più caro: (Italia),bonus come richiederlo: (Italia),seconda mano: (Italia)
2004-01,41,0,0,0,49
2004-02,43,0,0,0,46
2004-03,35,0,0,0,46
2004-04,32,0,0,0,46
2004-05,32,0,0,0,54
2004-06,22,0,0,0,54
2004-07,16,0,0,0,46
2004-08,20,0,0,0,63
2004-09,27,0,0,0,64
2004-10,27,0,0,0,53
2004-11,28,0,0,0,48
2004-12,29,0,0,0,34
2005-01,36,4,0,0,52
2005-02,32,4,0,0,48
2005-03,24,0,0,0,48
2005-04,19,0,0,0,46
2005-05,21,0,0,0,44
2005-06,20,4,0,0,47
2005-07,14,0,0,0,46
2005-08,16,4,0,0,46
2005-09,23,5,0,0,55
2005-10,20,0,0,0,47
2005-11,15,0,0,0,45
2005-12,22,3,0,0,36
2006-01,29,4,0,0,43
2006-02,24,0,0,0,46
2006-03,24,0,0,0,52
2006-04,17,0,0,0,47
2006-05,22,0,0,0,51
2006-06,23,0,0,0,47
2006-07,12,0,0,0,46
2006-08,17,0,0,0,44
2006-09,20,2,0,0,59
2006-10,20,3,0,0,49
2006-11,17,3,0,0,46
2006-12,18,0,0,0,35
2007-01,26,2,0,0,48
2007-02,21,2,0,0,42
2007-03,18,2,1,0,43
2007-04,15,4,2,0,50
2007-05,16,3,0,0,51
2007-06,17,3,0,0,58
2007-07,13,2,0,0,56
2007-08,11,5,1,0,60
2007-09,16,2,0,0,77
2007-10,15,5,0,0,71
2007-11,17,3,1,0,65
2007-12,20,3,2,0,58
2008-01,28,6,2,0,77
2008-02,24,3,0,0,82
2008-03,21,1,2,0,85
2008-04,22,2,0,0,89
2008-05,21,1,1,0,87
2008-06,24,2,1,0,85
2008-07,23,2,1,0,85
2008-08,18,0,2,0,86
2008-09,23,2,1,0,100
2008-10,23,2,1,0,89
2008-11,18,3,1,0,89
2008-12,18,2,1,0,61
2009-01,26,2,1,0,67
2009-02,19,2,1,0,67
2009-03,18,2,1,0,71
2009-04,14,1,1,0,64
2009-05,15,1,1,0,57
2009-06,17,1,1,0,59
2009-07,13,1,1,0,52
2009-08,12,1,1,0,58
2009-09,14,1,1,0,63
2009-10,13,2,1,0,54
2009-11,14,2,1,0,42
2009-12,13,2,2,0,36
2010-01,20,2,1,0,45
2010-02,14,2,1,0,41
2010-03,13,2,2,0,43
2010-04,14,2,1,0,40
2010-05,13,2,1,0,39
2010-06,13,1,1,0,38
2010-07,8,1,1,0,34
2010-08,10,1,2,0,34
2010-09,11,1,1,0,35
