Categoria: Tutte le categorie

Mese,inflazione: (Italia),prezzo farmaci: (Italia),visita privata: (Italia),costo ticket: (Italia),assicurazione sanitaria: (Italia)
2004-01,64,0,0,0,0
2004-02,67,0,0,0,0
2004-03,54,0,0,0,0
2004-04,50,0,0,0,0
2004-05,49,0,0,0,0
2004-06,34,0,0,0,9
2004-07,25,0,0,0,12
2004-08,31,0,0,0,12
2004-09,42,0,0,0,8
2004-10,42,0,0,0,0
2004-11,44,0,0,0,0
2004-12,45,0,0,0,9
2005-01,56,0,0,0,0
2005-02,49,0,0,0,6
2005-03,38,0,0,0,8
2005-04,30,0,0,0,6
2005-05,33,0,0,0,6
2005-06,31,0,0,0,14
2005-07,22,0,0,0,16
2005-08,25,0,0,0,12
2005-09,35,0,0,6,6
2005-10,31,0,0,0,5
2005-11,24,6,0,0,8
2005-12,34,4,0,0,5
2006-01,45,5,0,0,7
2006-02,37,0,0,0,5
2006-03,38,0,0,0,7
2006-04,26,0,0,0,7
2006-05,34,4,0,4,8
2006-06,35,4,0,0,10
2006-07,19,0,0,0,13
2006-08,26,4,0,0,9
2006-09,31,0,0,3,7
2006-10,31,3,0,0,6
2006-11,27,0,0,0,8
2006-12,28,0,0,0,6
2007-01,41,0,0,0,8
2007-02,33,2,0,0,6
2007-03,29,3,0,3,8
2007-04,23,3,0,5,8
2007-05,25,3,0,5,8
2007-06,27,0,0,5,7
2007-07,20,0,0,3,14
2007-08,17,0,0,0,10
2007-09,26,2,0,3,9
2007-10,24,2,0,4,7
2007-11,26,2,0,3,7
2007-12,31,2,2,2,6
2008-01,43,2,2,4,10
2008-02,38,0,0,2,7
2008-03,32,3,0,4,5
2008-04,33,2,0,3,7
2008-05,32,3,1,3,9
2008-06,37,0,0,3,7
2008-07,36,3,0,2,11
2008-08,28,2,0,2,9
2008-09,36,2,0,3,7
2008-10,36,2,0,4,7
2008-11,28,2,1,3,6
2008-12,28,2,0,2,5
2009-01,40,3,1,3,7
2009-02,30,2,0,5,7
2009-03,28,3,1,4,7
2009-04,22,2,1,4,7
2009-05,24,2,1,3,8
2009-06,26,2,0,3,9
2009-07,20,2,1,4,15
2009-08,19,2,0,4,9
2009-09,21,2,1,3,8
2009-10,20,2,2,3,6
2009-11,22,2,0,4,7
2009-12,20,2,1,2,6
2010-01,32,3,1,3,6
2010-02,22,2,1,3,6
2010-03,20,3,1,3,6
2010-04,21,3,1,3,9
2010-05,21,2,0,3,8
2010-06,20,2,0,3,8
2010-07,12,3,2,2,11
2010-08,15,2,0,2,8
2010-09,18,2,2,4,6
2010-10,19,3,1,4,6
2010-11,19,3,1,4,6
2010-12,19,3,1,3,6
2011-01,25,3,1,4,8
2011-02,22,2,2,4,7
2011-03,21,3,2,4,7
2011-04,19,5,1,3,6
2011-05,19,4,1,5,6
2011-06,20,3,2,3,7
2011-07,18,3,2,4,10
2011-08,18,3,2,4,9
2011-09,19,3,2,6,8
2011-10,18,3,2,5,6
2011-11,29,3,2,5,5
2011-12,26,3,1,4,6
2012-01,30,4,1,5,8
2012-02,23,4,1,5,7
2012-03,28,4,2,5,7
2012-04,18,3,1,5,7
2012-05,22,3,2,5,8
2012-06,23,3,1,6,8
2012-07,17,3,2,6,11
2012-08,14,3,2,5,10
2012-09,17,3,2,7,7
2012-10,23,4,2,6,7
2012-11,19,3,2,7,7
2012-12,17,3,1,4,7
2013-01,26,4,2,6,9
2013-02,21,4,2,6,8
2013-03,18,3,3,6,8
2013-04,23,3,2,7,8
2013-05,21,3,2,7,8
2013-06,19,4,2,6,8
2013-07,14,3,2,7,11
2013-08,11,3,2,6,8
2013-09,15,3,3,7,9
2013-10,19,3,3,7,8
2013-11,23,4,3,6,8
2013-12,18,4,2,5,7
2014-01,27,4,3,7,9
2014-02,22,4,3,7,9
2014-03,21,4,3,7,8
2014-04,23,4,3,7,9
2014-05,22,5,3,8,10
2014-06,20,4,2,7,9
2014-07,15,4,3,7,12
2014-08,18,4,2,5,10
2014-09,17,4,3,8,9
2014-10,17,4,3,8,10
2014-11,16,5,4,8,8
2014-12,18,4,3,6,8
2015-01,26,5,3,8,10
2015-02,21,5,3,8,10
2015-03,21,5,4,9,10
2015-04,17,5,4,9,9
2015-05,20,4,4,8,9
2015-06,18,5,3,7,11
2015-07,13,4,4,7,12
2015-08,11,4,3,6,10
2015-09,14,4,4,8,8
2015-10,16,4,3,8,8
2015-11,16,5,4,9,9
2015-12,18,4,3,6,9
2016-01,20,5,4,9,10
2016-02,21,5,4,10,10
2016-03,16,5,4,8,10
2016-04,17,4,5,8,9
2016-05,16,5,4,10,10
2016-06,15,4,4,7,10
2016-07,10,4,4,7,11
2016-08,8,4,4,6,10
2016-09,12,4,4,9,8
2016-10,14,4,4,9,8
2016-11,15,4,4,10,9
2016-12,15,4,4,7,9
2017-01,24,4,5,9,11
2017-02,21,5,5,11,9
2017-03,20,5,5,11,10
2017-04,20,4,4,9,9
2017-05,20,5,5,10,9
2017-06,15,5,4,9,10
2017-07,10,5,4,7,11
2017-08,10,4,4,7,9
2017-09,14,4,4,9,9
2017-10,14,5,5,9,9
2017-11,17,5,5,9,9
2017-12,14,4,4,6,8
2018-01,22,5,6,9,11
2018-02,22,5,5,10,11
2018-03,17,5,5,9,10
2018-04,16,5,5,9,9
2018-05,23,5,5,8,10
2018-06,17,4,5,8,10
2018-07,11,4,5,8,12
2018-08,13,4,4,7,11
2018-09,16,4,6,9,11
2018-10,18,4,6,9,8
2018-11,19,5,5,9,9
2018-12,16,3,4,6,9
2019-01,22,5,5,9,12
2019-02,21,4,6,9,11
2019-03,17,4,6,11,10
2019-04,15,4,6,8,10
2019-05,17,4,5,9,10
2019-06,18,4,6,8,11
2019-07,12,4,5,8,13
2019-08,10,4,5,7,11
2019-09,12,4,6,10,11
2019-10,16,4,6,10,13
2019-11,15,4,6,11,11
2019-12,14,3,5,7,10
2020-01,19,5,8,10,14
2020-02,16,4,6,9,11
2020-03,23,5,3,4,8
2020-04,30,4,3,2,6
2020-05,31,3,5,5,6
2020-06,18,4,8,7,8
2020-07,11,4,7,7,9
2020-08,12,4,6,6,7
2020-09,13,5,7,9,10
2020-10,14,4,7,8,10
2020-11,17,4,6,6,8
2020-12,15,4,5,5,9
2021-01,21,4,6,7,11
2021-02,28,4,7,10,9
2021-03,27,4,7,8,10
2021-04,22,4,8,10,9
2021-05,28,4,8,10,10
2021-06,21,3,9,9,9
2021-07,16,4,9,8,15
2021-08,13,4,8,8,11
2021-09,21,4,11,10,11
2021-10,29,4,10,9,11
2021-11,38,3,10,10,12
2021-12,39,4,9,7,12
2022-01,47,4,11,8,16
2022-02,52,5,13,10,14
2022-03,56,5,14,11,15
2022-04,44,5,12,10,14
2022-05,57,5,14,10,16
2022-06,65,4,13,9,15
2022-07,62,4,12,8,17
2022-08,45,4,11,8,15
2022-09,59,4,12,10,14
2022-10,66,4,13,11,14
2022-11,74,4,13,11,15
2022-12,55,5,11,8,14
2023-01,77,5,14,10,21
2023-02,62,5,14,11,19
2023-03,73,5,16,11,18
2023-04,48,5,14,10,19
2023-05,51,5,16,11,19
2023-06,54,5,15,9,19
2023-07,51,4,14,10,20
2023-08,51,4,13,8,19
2023-09,60,4,15,11,19
2023-10,100,4,18,11,19
2023-11,58,5,15,9,18
2023-12,46,5,14,7,18
2024-01,54,5,17,10,27
2024-02,49,4,16,10,23
2024-03,42,4,18,10,24
2024-04,41,3,18,10,21
2024-05,44,4,16,10,22
2024-06,37,4,16,9,21
2024-07,30,3,15,8,23
2024-08,30,3,13,7,20
2024-09,34,3,16,8,21
2024-10,39,4,17,10,23
2024-11,45,4,16,10,22
2024-12,38,3,14,7,23
