Categoria: Tutte le categorie

Mese,inflazione: (Italia),menu ristorante: (Italia),prezzo libro: (Italia),biglietto cinema: (Italia),prezzo concerto: (Italia)
2004-01,23,4,0,0,0
2004-02,24,7,0,0,0
2004-03,19,0,0,0,0
2004-04,18,5,0,4,0
2004-05,18,5,0,0,0
2004-06,12,5,0,0,0
2004-07,9,0,0,0,0
2004-08,11,4,0,0,0
2004-09,15,5,0,0,0
2004-10,15,4,4,0,0
2004-11,16,3,0,0,0
2004-12,16,5,0,0,0
2005-01,20,4,3,3,2
2005-02,18,3,0,0,4
2005-03,14,2,0,0,2
2005-04,11,3,0,0,2
2005-05,12,4,3,0,0
2005-06,11,2,0,0,3
2005-07,8,2,0,0,2
2005-08,9,3,0,0,0
2005-09,13,3,0,0,2
2005-10,11,3,0,0,0
2005-11,9,4,3,1,2
2005-12,12,4,2,0,0
2006-01,16,3,3,2,2
2006-02,13,3,2,0,1
2006-03,14,3,0,0,1
2006-04,9,2,1,0,3
2006-05,12,2,1,2,2
2006-06,13,4,1,0,1
2006-07,7,2,1,0,2
2006-08,9,2,2,1,0
2006-09,11,3,2,0,1
2006-10,11,3,3,0,1
2006-11,10,3,2,0,2
2006-12,10,4,2,1,0
2007-01,15,4,1,2,2
2007-02,12,4,2,1,1
2007-03,10,4,1,1,1
2007-04,8,3,1,1,2
2007-05,9,3,2,1,1
2007-06,10,3,1,0,2
2007-07,7,3,1,2,2
2007-08,6,4,2,0,1
2007-09,9,3,2,1,1
2007-10,9,3,2,1,1
2007-11,9,4,2,2,1
2007-12,11,6,3,1,1
2008-01,16,3,2,1,1
2008-02,14,5,2,1,2
2008-03,12,4,2,2,1
2008-04,12,4,2,1,2
2008-05,12,4,2,1,2
2008-06,13,4,1,1,2
2008-07,13,3,1,1,2
2008-08,10,3,2,1,1
2008-09,13,4,2,1,1
2008-10,13,4,2,1,1
2008-11,10,4,3,2,1
2008-12,10,6,4,2,2
2009-01,14,4,2,2,2
2009-02,11,5,2,2,1
2009-03,10,5,2,1,1
2009-04,8,5,1,1,1
2009-05,9,5,2,2,1
2009-06,9,3,2,1,2
2009-07,7,3,2,1,2
2009-08,7,4,2,1,1
2009-09,8,5,2,1,1
2009-10,7,4,3,2,1
2009-11,8,5,3,3,1
2009-12,7,9,5,3,1
2010-01,11,4,2,4,1
2010-02,8,6,2,3,1
2010-03,7,6,2,2,1
2010-04,8,5,2,1,1
2010-05,8,4,2,1,1
2010-06,7,4,2,1,1
2010-07,4,4,2,1,1
2010-08,6,5,2,1,1
2010-09,6,4,3,2,1
2010-10,7,4,3,2,1
2010-11,7,5,3,2,1
2010-12,7,9,5,2,1
2011-01,9,5,3,4,1
2011-02,8,6,2,2,1
2011-03,8,5,3,2,1
2011-04,7,7,2,1,1
2011-05,7,4,3,2,1
2011-06,7,4,2,1,2
2011-07,7,5,3,2,2
2011-08,6,6,2,1,1
2011-09,7,5,3,2,1
2011-10,7,5,3,2,1
2011-11,11,6,4,3,1
2011-12,9,11,6,3,2
2012-01,11,6,3,3,1
2012-02,8,7,3,2,1
2012-03,10,8,3,2,1
2012-04,6,8,3,3,1
2012-05,8,6,3,2,1
2012-06,8,5,3,1,2
2012-07,6,6,3,2,2
2012-08,5,8,3,2,1
2012-09,6,7,4,3,2
2012-10,8,7,4,3,2
2012-11,7,8,4,4,2
2012-12,6,13,5,3,1
2013-01,9,7,3,2,2
2013-02,8,9,3,2,1
2013-03,7,12,3,2,1
2013-04,8,8,3,3,1
2013-05,8,7,3,4,1
2013-06,7,7,3,2,2
2013-07,5,7,3,1,2
2013-08,4,10,3,2,1
2013-09,5,8,4,3,2
2013-10,7,8,4,4,2
2013-11,8,11,4,6,1
2013-12,6,18,5,4,2
2014-01,10,10,4,4,2
2014-02,8,13,4,3,1
2014-03,8,11,3,3,1
2014-04,8,17,3,3,1
2014-05,8,10,4,3,1
2014-06,7,9,3,2,2
2014-07,5,9,3,2,1
2014-08,7,13,3,2,1
2014-09,6,10,5,3,1
2014-10,6,10,4,3,1
2014-11,6,14,5,5,2
2014-12,6,22,6,4,2
2015-01,9,12,4,5,1
2015-02,7,18,4,5,1
2015-03,8,20,3,4,1
2015-04,6,16,3,4,1
2015-05,7,13,3,2,1
2015-06,7,12,3,2,1
2015-07,5,13,4,1,2
2015-08,4,20,3,3,1
2015-09,5,13,4,5,1
2015-10,6,15,4,6,1
2015-11,6,18,5,4,2
2015-12,6,28,6,6,2
2016-01,7,17,4,11,1
2016-02,8,20,4,4,1
2016-03,6,26,4,4,1
2016-04,6,17,4,3,1
2016-05,6,16,4,3,1
2016-06,5,17,3,2,1
2016-07,4,20,3,1,1
2016-08,3,22,3,3,1
2016-09,4,18,5,5,1
2016-10,5,19,4,5,2
2016-11,5,23,5,6,1
2016-12,5,38,6,6,1
2017-01,9,20,4,8,2
2017-02,7,27,3,7,1
2017-03,7,26,3,6,1
2017-04,7,33,3,5,1
2017-05,7,22,4,3,1
2017-06,5,21,3,3,2
2017-07,4,25,3,2,4
2017-08,4,31,3,3,1
2017-09,5,23,4,5,1
2017-10,5,25,4,6,1
2017-11,6,30,4,5,1
2017-12,5,48,5,6,2
2018-01,8,25,3,6,2
2018-02,8,29,3,6,1
2018-03,6,47,3,4,1
2018-04,6,25,2,4,1
2018-05,8,24,3,2,1
2018-06,6,26,4,2,2
2018-07,4,29,3,1,2
2018-08,5,42,2,4,1
2018-09,6,32,4,5,1
2018-10,6,30,3,5,1
2018-11,7,39,3,5,1
2018-12,6,51,5,6,2
2019-01,8,27,3,7,1
2019-02,7,33,3,4,1
2019-03,6,39,2,4,1
2019-04,5,49,3,8,1
2019-05,6,28,3,4,1
2019-06,6,30,2,2,1
2019-07,4,35,2,3,2
2019-08,4,50,2,7,1
2019-09,4,34,6,6,1
2019-10,6,35,4,6,1
2019-11,5,45,3,7,1
2019-12,5,55,4,9,1
2020-01,7,34,3,11,1
2020-02,6,36,2,3,1
2020-03,8,9,2,< 1,< 1
2020-04,11,10,3,< 1,< 1
2020-05,11,15,3,< 1,< 1
2020-06,6,32,3,< 1,< 1
2020-07,4,46,2,< 1,< 1
2020-08,4,68,2,1,< 1
2020-09,5,42,3,3,< 1
2020-10,5,27,3,1,< 1
2020-11,6,14,4,< 1,< 1
2020-12,6,20,5,< 1,< 1
2021-01,7,14,3,< 1,< 1
2021-02,10,24,3,< 1,< 1
2021-03,10,13,3,< 1,< 1
2021-04,8,14,3,< 1,< 1
2021-05,10,30,2,1,1
2021-06,8,41,2,2,1
2021-07,6,46,2,3,1
2021-08,5,61,2,3,1
2021-09,7,38,3,3,1
2021-10,10,37,3,4,1
2021-11,14,32,3,4,1
2021-12,14,39,3,5,1
2022-01,17,23,3,3,1
2022-02,19,35,2,3,2
2022-03,20,35,3,3,1
2022-04,16,47,2,3,1
2022-05,21,33,2,3,2
2022-06,23,39,3,3,3
2022-07,22,45,2,2,3
2022-08,16,62,3,3,2
2022-09,21,43,3,5,1
2022-10,24,47,3,4,1
2022-11,27,47,3,4,2
2022-12,20,64,4,8,2
2023-01,28,48,5,7,2
2023-02,22,48,3,4,1
2023-03,26,55,3,4,1
2023-04,17,57,3,6,1
2023-05,18,42,3,5,2
2023-06,19,61,2,7,3
2023-07,18,79,3,10,4
2023-08,19,100,3,7,1
2023-09,22,66,3,7,2
2023-10,36,62,3,5,1
2023-11,21,58,3,8,1
2023-12,17,63,4,7,2
2024-01,19,46,3,7,1
2024-02,18,48,2,3,1
2024-03,15,61,2,4,1
2024-04,15,45,2,3,1
2024-05,16,42,3,3,2
2024-06,13,47,2,8,2
2024-07,11,60,3,4,3
2024-08,11,77,2,4,2
2024-09,12,48,2,4,1
2024-10,14,42,3,4,1
2024-11,16,52,3,7,1
2024-12,14,56,3,7,2
