Categoria: Tutte le categorie

Mese,Inflazione: (Italia),Carrello della spesa: (Italia),Determinazione dei prezzi: (Italia),Costo della vita: (Italia),Potere d'acquisto: (Italia)
2004-01,56,11,21,11,0
2004-02,63,10,13,17,0
2004-03,55,0,19,0,0
2004-04,52,0,18,16,0
2004-05,49,0,16,16,0
2004-06,38,0,13,13,0
2004-07,29,7,15,14,0
2004-08,27,9,8,10,0
2004-09,41,7,15,8,0
2004-10,44,8,8,8,0
2004-11,44,6,18,12,0
2004-12,42,9,11,14,0
2005-01,55,7,11,13,0
2005-02,46,6,9,14,0
2005-03,37,5,12,12,0
2005-04,36,0,12,10,0
2005-05,35,5,12,11,0
2005-06,33,8,13,13,0
2005-07,28,0,13,12,0
2005-08,19,0,8,11,0
2005-09,34,4,10,6,0
2005-10,32,6,10,6,0
2005-11,29,0,16,13,0
2005-12,30,6,8,8,0
2006-01,43,5,4,13,0
2006-02,37,5,10,14,0
2006-03,34,4,11,10,0
2006-04,28,4,10,8,0
2006-05,33,5,10,8,0
2006-06,34,5,10,8,0
2006-07,20,5,8,12,0
2006-08,23,4,8,10,0
2006-09,29,5,7,8,0
2006-10,30,3,8,7,0
2006-11,26,4,8,10,0
2006-12,26,2,7,6,0
2007-01,38,5,8,10,0
2007-02,32,3,6,8,0
2007-03,26,4,10,8,0
2007-04,23,2,7,7,0
2007-05,24,3,8,8,0
2007-06,26,4,8,7,2
2007-07,19,4,6,10,0
2007-08,19,3,5,11,0
2007-09,24,3,7,6,2
2007-10,24,4,9,7,2
2007-11,25,4,7,8,0
2007-12,30,3,5,8,1
2008-01,39,4,8,10,2
2008-02,35,5,7,7,1
2008-03,30,3,5,9,1
2008-04,32,3,8,8,1
2008-05,31,4,7,8,0
2008-06,34,4,8,9,1
2008-07,35,2,7,10,0
2008-08,28,3,4,10,0
2008-09,34,3,6,8,1
2008-10,33,2,6,7,1
2008-11,27,4,7,5,0
2008-12,26,3,7,6,1
2009-01,37,4,5,8,1
2009-02,28,3,7,6,1
2009-03,27,3,7,7,0
2009-04,23,3,7,7,0
2009-05,24,3,6,7,0
2009-06,25,4,7,7,0
2009-07,22,2,5,7,1
2009-08,17,1,4,9,0
2009-09,21,3,6,6,1
2009-10,21,3,6,7,1
2009-11,21,4,6,6,1
2009-12,20,3,4,5,1
2010-01,30,3,5,6,1
2010-02,23,3,6,8,1
2010-03,20,3,6,7,0
2010-04,22,3,6,6,0
2010-05,22,2,6,6,1
2010-06,21,3,6,6,0
2010-07,14,3,6,7,0
2010-08,17,3,5,8,0
2010-09,17,3,7,6,1
2010-10,20,3,10,6,1
2010-11,21,4,9,6,0
2010-12,21,3,12,6,1
2011-01,25,3,6,7,1
2011-02,23,3,7,7,1
2011-03,22,3,6,6,1
2011-04,19,3,7,6,0
2011-05,20,2,6,7,1
2011-06,21,3,7,7,0
2011-07,18,2,6,9,< 1
2011-08,18,3,5,9,1
2011-09,20,3,7,6,1
2011-10,19,3,7,7,1
2011-11,28,3,7,7,1
2011-12,23,4,5,8,1
2012-01,28,3,6,8,1
2012-02,21,3,7,8,1
2012-03,27,4,7,8,1
2012-04,18,3,6,9,1
2012-05,22,3,7,8,1
2012-06,22,3,7,8,1
2012-07,18,4,6,10,1
2012-08,14,3,4,10,< 1
2012-09,18,3,7,8,1
2012-10,22,3,7,8,1
2012-11,18,3,7,7,1
2012-12,17,3,5,7,1
2013-01,24,3,6,10,1
2013-02,19,3,6,9,1
2013-03,18,3,6,9,< 1
2013-04,22,4,7,8,1
2013-05,21,4,7,8,1
2013-06,18,5,7,8,1
2013-07,15,3,6,9,1
2013-08,12,3,4,9,< 1
2013-09,15,3,7,8,< 1
2013-10,19,4,7,9,1
2013-11,23,4,7,8,1
2013-12,17,4,6,8,1
2014-01,26,3,7,14,1
2014-02,22,4,7,12,1
2014-03,21,4,7,11,1
2014-04,22,3,7,9,1
2014-05,22,3,7,9,1
2014-06,19,3,8,9,1
2014-07,15,3,7,10,1
2014-08,19,3,5,12,< 1
2014-09,17,4,8,9,1
2014-10,18,4,8,9,1
2014-11,16,4,8,9,1
2014-12,17,4,6,9,1
2015-01,25,3,8,10,1
2015-02,21,3,8,10,1
2015-03,21,4,8,10,1
2015-04,17,4,8,9,1
2015-05,20,4,8,10,1
2015-06,18,3,8,10,1
2015-07,14,3,8,11,1
2015-08,12,4,5,12,< 1
2015-09,15,4,8,9,1
2015-10,16,5,9,9,1
2015-11,16,4,9,8,1
2015-12,18,5,8,9,1
2016-01,23,5,8,10,1
2016-02,23,5,9,9,1
2016-03,19,5,9,9,1
2016-04,19,5,10,11,2
2016-05,19,5,9,9,2
2016-06,18,4,9,9,1
2016-07,12,4,7,10,1
2016-08,11,4,6,10,1
2016-09,15,5,16,9,1
2016-10,17,7,16,10,1
2016-11,19,6,17,3,2
2016-12,19,6,14,3,2
2017-01,27,5,9,7,2
2017-02,24,5,9,4,2
2017-03,24,5,10,7,2
2017-04,23,5,10,9,2
2017-05,25,4,11,8,2
2017-06,20,4,10,8,2
2017-07,13,5,9,9,1
2017-08,14,5,7,10,1
2017-09,17,8,9,9,1
2017-10,18,8,10,8,1
2017-11,20,7,10,9,1
2017-12,18,8,9,9,1
2018-01,24,7,9,11,2
2018-02,24,6,8,9,1
2018-03,20,7,5,9,2
2018-04,18,6,5,9,1
2018-05,27,7,5,8,2
2018-06,20,6,5,9,1
2018-07,15,6,5,10,3
2018-08,16,6,3,11,2
2018-09,19,7,4,8,2
2018-10,21,7,4,6,2
2018-11,22,8,5,8,2
2018-12,19,8,4,8,2
2019-01,24,10,5,10,2
2019-02,23,7,5,9,2
2019-03,20,6,4,8,2
2019-04,18,6,4,8,2
2019-05,20,6,4,9,2
2019-06,21,6,4,9,1
2019-07,16,5,1,10,1
2019-08,14,6,1,11,2
2019-09,17,7,1,9,1
2019-10,19,6,2,10,2
2019-11,18,7,2,8,1
2019-12,17,7,3,8,1
2020-01,21,6,5,10,2
