Categoria: Tutte le categorie

Mese,inflazione: (Italia),prezzo pane: (Italia),prezzo latte: (Italia),prezzo pasta: (Italia),prezzo olio: (Italia)
2004-01,66,0,0,0,0
2004-02,67,0,0,0,0
2004-03,58,0,0,0,0
2004-04,54,0,0,0,0
2004-05,47,0,0,0,0
2004-06,47,0,0,0,0
2004-07,29,0,0,0,0
2004-08,30,0,0,0,0
2004-09,44,0,9,0,0
2004-10,44,0,0,0,0
2004-11,44,0,0,10,0
2004-12,45,0,0,0,0
2005-01,61,0,0,0,0
2005-02,53,0,0,0,0
2005-03,39,0,0,0,11
2005-04,37,0,0,0,9
2005-05,34,0,6,0,8
2005-06,35,0,0,0,6
2005-07,29,0,0,0,6
2005-08,26,0,0,0,0
2005-09,36,0,0,0,5
2005-10,31,0,0,0,6
2005-11,32,0,0,0,8
2005-12,34,0,0,0,4
2006-01,45,0,0,0,0
2006-02,38,0,0,0,6
2006-03,38,0,0,0,0
2006-04,28,0,0,0,0
2006-05,32,0,0,0,5
2006-06,36,0,4,0,3
2006-07,19,0,0,0,5
2006-08,24,0,0,0,0
2006-09,33,0,0,0,7
2006-10,33,0,0,0,5
2006-11,29,0,0,0,5
2006-12,28,0,0,0,5
2007-01,42,0,0,0,7
2007-02,35,0,0,0,4
2007-03,29,0,4,0,4
2007-04,25,0,3,0,5
2007-05,26,0,2,0,4
2007-06,28,0,0,0,3
2007-07,20,0,4,0,5
2007-08,19,0,6,3,5
2007-09,27,3,5,2,7
2007-10,25,3,3,2,6
2007-11,27,3,4,2,8
2007-12,33,3,3,0,5
2008-01,45,2,5,2,5
2008-02,39,3,4,0,6
2008-03,33,0,5,0,6
2008-04,35,3,5,2,6
2008-05,33,2,3,0,7
2008-06,38,0,4,1,7
2008-07,38,0,4,0,6
2008-08,29,3,2,0,5
2008-09,38,2,3,2,4
2008-10,39,2,4,2,8
2008-11,29,4,3,2,9
2008-12,29,2,3,3,6
2009-01,41,2,2,2,6
2009-02,31,0,3,1,4
2009-03,30,2,4,2,7
2009-04,23,1,3,1,6
2009-05,24,1,3,2,7
2009-06,27,1,4,2,6
2009-07,21,0,4,2,6
2009-08,20,0,3,0,6
2009-09,22,1,4,2,5
2009-10,21,1,4,2,10
2009-11,23,1,4,3,9
2009-12,21,2,4,2,8
2010-01,33,2,4,2,7
2010-02,24,0,5,3,8
2010-03,21,2,4,3,8
2010-04,21,1,4,2,8
2010-05,21,2,3,2,9
2010-06,20,1,4,2,8
2010-07,13,0,5,3,9
2010-08,16,2,5,3,9
2010-09,18,2,4,3,8
2010-10,19,2,5,2,9
2010-11,19,2,5,4,12
2010-12,20,2,4,4,11
2011-01,26,2,5,4,12
2011-02,23,2,5,3,11
2011-03,22,2,5,4,12
2011-04,20,1,4,4,11
2011-05,20,1,5,3,11
2011-06,21,2,5,3,12
2011-07,19,1,5,3,12
2011-08,18,2,5,4,12
2011-09,19,2,5,4,12
2011-10,19,2,5,4,13
2011-11,31,3,5,6,14
2011-12,27,3,6,7,14
2012-01,31,2,6,5,14
2012-02,23,2,6,5,13
2012-03,29,2,7,6,15
2012-04,18,2,8,6,14
2012-05,23,2,7,5,15
2012-06,24,2,8,5,16
2012-07,18,2,7,4,13
2012-08,15,2,6,6,17
2012-09,18,2,7,6,15
2012-10,24,2,7,6,16
2012-11,20,3,7,7,18
2012-12,18,2,8,9,16
2013-01,26,2,8,7,15
2013-02,22,2,8,7,15
2013-03,19,2,8,8,16
2013-04,24,3,8,7,19
2013-05,22,2,8,7,19
2013-06,19,2,9,7,20
2013-07,15,2,9,5,19
2013-08,12,3,7,7,19
2013-09,16,3,9,7,19
2013-10,20,3,8,8,21
2013-11,24,4,8,9,28
2013-12,18,3,8,10,21
2014-01,28,3,10,8,21
2014-02,23,3,9,7,22
2014-03,22,3,10,8,26
2014-04,24,3,10,9,26
