Categoria: Tutte le categorie

Mese,inflazione: (Italia),prezzo benzina: (Italia),prezzo diesel: (Italia),bolletta luce: (Italia),bolletta gas: (Italia)
2004-01,18,8,3,0,0
2004-02,18,6,0,0,0
2004-03,15,7,0,0,0
2004-04,14,6,0,0,0
2004-05,15,5,0,0,0
2004-06,9,7,0,0,0
2004-07,9,6,0,0,0
2004-08,8,12,3,0,0
2004-09,12,8,2,0,0
2004-10,12,6,0,0,0
2004-11,13,7,0,0,0
2004-12,13,8,0,0,0
2005-01,17,5,2,0,0
2005-02,14,5,0,0,0
2005-03,11,7,2,0,0
2005-04,10,7,3,0,0
2005-05,10,5,2,0,0
2005-06,9,8,0,0,0
2005-07,8,9,2,0,0
2005-08,6,9,3,0,0
2005-09,10,8,0,0,0
2005-10,9,5,0,0,0
2005-11,9,5,0,0,0
2005-12,9,5,0,0,0
2006-01,12,5,1,0,1
2006-02,11,5,2,0,0
2006-03,10,4,1,0,0
2006-04,7,6,1,0,1
2006-05,9,8,2,0,0
2006-06,10,5,2,0,0
2006-07,5,7,0,0,1
2006-08,7,6,2,0,0
2006-09,9,5,1,0,1
2006-10,9,5,1,0,0
2006-11,8,4,0,0,1
2006-12,7,4,1,0,0
2007-01,12,5,2,0,1
2007-02,10,4,1,0,1
2007-03,8,3,1,0,0
2007-04,7,4,1,0,1
2007-05,8,5,1,0,0
2007-06,7,5,1,0,0
2007-07,6,6,2,0,0
2007-08,5,7,2,0,0
2007-09,8,4,2,0,1
2007-10,7,4,2,< 1,< 1
2007-11,8,5,1,0,1
2007-12,9,6,2,0,1
2008-01,12,6,2,< 1,1
2008-02,11,6,2,< 1,2
2008-03,9,6,2,0,1
2008-04,10,4,2,0,1
2008-05,9,10,2,0,1
2008-06,10,8,2,0,< 1
2008-07,10,8,2,< 1,1
2008-08,8,8,2,0,1
2008-09,11,7,2,< 1,1
2008-10,11,10,2,< 1,1
2008-11,8,9,1,0,1
2008-12,8,9,2,0,1
2009-01,12,7,1,< 1,1
2009-02,9,5,2,1,1
2009-03,8,5,1,1,1
2009-04,6,4,2,1,1
2009-05,7,5,2,< 1,1
2009-06,7,5,2,< 1,1
2009-07,6,5,2,0,1
2009-08,5,5,2,0,1
2009-09,6,3,2,< 1,1
2009-10,6,4,2,0,1
2009-11,6,4,2,< 1,2
2009-12,6,3,2,< 1,2
2010-01,9,3,2,< 1,2
2010-02,7,3,2,1,2
2010-03,6,4,2,< 1,2
2010-04,6,5,2,< 1,2
2010-05,6,5,2,< 1,1
2010-06,6,4,2,0,1
2010-07,3,4,2,0,1
2010-08,4,4,3,< 1,1
2010-09,5,3,3,< 1,1
2010-10,5,3,2,< 1,1
2010-11,5,4,2,1,1
2010-12,5,4,3,< 1,1
2011-01,7,5,3,1,2
2011-02,6,6,3,< 1,2
2011-03,6,7,3,< 1,2
2011-04,5,6,3,< 1,2
2011-05,6,6,3,< 1,2
2011-06,6,6,2,1,2
2011-07,5,7,3,< 1,1
2011-08,5,8,3,< 1,1
2011-09,5,5,3,< 1,1
2011-10,5,5,3,1,1
2011-11,8,5,3,1,1
2011-12,8,11,5,1,2
2012-01,9,11,4,1,2
2012-02,7,9,4,1,2
2012-03,8,11,4,1,2
2012-04,5,8,4,1,2
2012-05,6,7,3,1,2
2012-06,7,10,3,1,2
2012-07,5,9,4,1,2
2012-08,4,12,4,1,1
2012-09,5,8,4,1,2
2012-10,7,4,3,1,2
2012-11,6,4,3,1,2
2012-12,5,4,3,1,2
2013-01,7,4,4,1,3
2013-02,6,4,3,1,3
2013-03,5,4,4,1,3
2013-04,7,4,3,1,2
2013-05,6,4,3,1,2
2013-06,5,4,3,1,2
2013-07,4,5,4,1,2
2013-08,3,5,4,1,1
2013-09,4,4,4,1,2
2013-10,6,4,4,1,2
2013-11,7,4,4,1,2
2013-12,5,4,4,1,2
2014-01,8,4,5,1,3
2014-02,7,4,4,1,3
2014-03,6,4,4,1,3
2014-04,7,4,5,1,2
2014-05,6,4,4,1,2
2014-06,6,4,4,1,2
2014-07,4,5,4,1,2
2014-08,5,5,5,1,1
2014-09,5,4,5,1,2
2014-10,5,4,4,1,2
2014-11,5,5,5,2,2
2014-12,5,8,5,1,2
2015-01,7,9,6,1,2
2015-02,6,6,6,1,3
2015-03,6,5,5,1,3
2015-04,5,5,6,1,2
2015-05,6,4,5,1,2
2015-06,5,5,5,1,2
2015-07,4,6,5,1,2
2015-08,3,7,6,1,1
2015-09,4,5,6,1,2
2015-10,5,5,6,2,2
2015-11,5,5,6,2,2
2015-12,5,6,7,2,2
2016-01,6,8,7,3,2
2016-02,6,5,6,2,4
2016-03,5,4,6,2,3
2016-04,5,5,6,2,3
2016-05,5,5,5,2,3
2016-06,4,4,5,1,2
2016-07,3,4,5,2,2
2016-08,2,5,5,2,2
2016-09,3,4,6,2,2
2016-10,4,4,6,2,2
2016-11,4,4,6,1,2
2016-12,4,5,6,1,2
2017-01,7,5,7,2,3
2017-02,6,5,7,2,3
2017-03,6,5,6,2,3
2017-04,6,5,6,2,3
2017-05,6,4,5,2,2
2017-06,4,4,5,1,2
