Categoria: Tutte le categorie

Mese,inflazione: (Italia),affitto casa: (Italia),bolletta acqua: (Italia),assicurazione casa: (Italia),costo mutuo: (Italia)
2004-01,13,33,0,0,0
2004-02,13,25,0,0,0
2004-03,12,29,0,3,0
2004-04,11,26,0,0,0
2004-05,10,30,0,0,0
2004-06,9,33,0,3,0
2004-07,6,31,0,2,0
2004-08,6,37,0,0,0
2004-09,9,28,0,2,0
2004-10,9,21,0,3,0
2004-11,9,26,0,2,0
2004-12,9,23,0,2,0
2005-01,12,26,0,3,0
2005-02,11,25,0,2,0
2005-03,8,27,0,3,0
2005-04,7,29,0,2,0
2005-05,7,29,0,0,0
2005-06,7,31,0,2,0
2005-07,6,31,0,2,0
2005-08,5,32,0,1,0
2005-09,7,24,0,2,0
2005-10,6,20,0,2,0
2005-11,6,24,0,2,1
2005-12,7,18,0,2,0
2006-01,9,24,0,2,1
2006-02,8,24,0,2,0
2006-03,8,27,0,1,0
2006-04,6,28,0,1,0
2006-05,6,28,0,2,0
2006-06,7,28,0,2,0
2006-07,4,30,0,2,0
2006-08,5,28,0,2,0
2006-09,7,24,0,1,1
2006-10,7,22,0,2,1
2006-11,6,21,0,2,0
2006-12,6,18,0,1,0
2007-01,8,25,0,2,1
2007-02,7,26,0,2,1
2007-03,6,26,1,2,1
2007-04,5,30,0,1,1
2007-05,5,30,0,1,1
2007-06,6,31,0,2,1
2007-07,4,35,0,2,< 1
2007-08,4,32,0,2,0
2007-09,6,29,0,2,1
2007-10,5,24,0,2,1
2007-11,5,25,< 1,2,1
2007-12,7,21,0,1,< 1
2008-01,9,30,< 1,2,1
2008-02,8,31,0,1,1
2008-03,7,31,< 1,2,1
2008-04,7,31,< 1,2,1
2008-05,7,31,< 1,1,< 1
2008-06,8,36,< 1,1,1
2008-07,8,38,< 1,2,1
2008-08,6,38,0,1,< 1
2008-09,8,32,< 1,1,1
2008-10,8,25,< 1,2,1
2008-11,6,24,0,1,1
2008-12,6,22,< 1,1,< 1
2009-01,8,30,< 1,2,1
2009-02,6,29,< 1,2,1
2009-03,6,32,< 1,2,1
2009-04,5,30,< 1,3,1
2009-05,5,32,< 1,2,< 1
2009-06,5,33,< 1,2,< 1
2009-07,4,35,< 1,2,1
2009-08,4,33,0,1,1
2009-09,4,28,0,2,1
2009-10,4,22,< 1,2,1
2009-11,5,22,< 1,1,< 1
2009-12,4,17,0,1,< 1
2010-01,7,25,< 1,2,1
2010-02,5,25,< 1,2,1
2010-03,4,27,< 1,2,1
2010-04,4,29,< 1,2,< 1
2010-05,4,34,< 1,2,< 1
2010-06,4,37,< 1,2,1
2010-07,3,35,< 1,2,1
2010-08,3,33,< 1,1,1
2010-09,4,29,< 1,2,1
2010-10,4,24,< 1,2,1
2010-11,4,25,< 1,2,1
2010-12,4,20,< 1,2,< 1
2011-01,5,32,< 1,2,1
2011-02,5,30,< 1,2,1
2011-03,4,33,< 1,2,1
2011-04,4,33,< 1,2,1
2011-05,4,39,< 1,2,< 1
2011-06,4,42,1,2,1
2011-07,4,43,< 1,2,1
2011-08,4,40,< 1,2,< 1
2011-09,4,36,< 1,2,1
2011-10,4,28,< 1,2,1
2011-11,6,28,< 1,2,< 1
2011-12,5,25,< 1,2,< 1
2012-01,6,36,< 1,2,< 1
2012-02,5,35,< 1,2,1
2012-03,6,39,< 1,2,1
2012-04,4,38,< 1,2,< 1
2012-05,5,40,< 1,4,1
2012-06,5,47,< 1,3,1
2012-07,4,51,< 1,2,< 1
2012-08,3,48,< 1,2,< 1
2012-09,4,37,< 1,2,< 1
2012-10,5,33,< 1,2,< 1
2012-11,4,31,< 1,2,< 1
2012-12,4,27,< 1,2,< 1
2013-01,5,35,< 1,2,< 1
2013-02,4,37,1,2,< 1
2013-03,4,39,< 1,2,< 1
2013-04,5,44,< 1,2,< 1
2013-05,4,44,< 1,2,1
2013-06,4,49,< 1,2,1
2013-07,3,54,< 1,2,< 1
2013-08,2,53,< 1,2,< 1
2013-09,3,42,< 1,2,1
2013-10,4,39,1,2,1
2013-11,5,37,1,2,1
2013-12,4,32,< 1,2,< 1
2014-01,6,45,1,2,1
2014-02,5,44,1,2,1
2014-03,5,48,< 1,2,1
2014-04,5,48,1,2,1
2014-05,5,50,< 1,2,1
2014-06,4,58,< 1,2,1
2014-07,3,63,1,2,1
2014-08,4,58,1,2,< 1
2014-09,4,53,1,2,1
2014-10,4,49,1,2,1
2014-11,3,44,1,2,1
2014-12,4,36,1,2,< 1
2015-01,5,54,1,2,1
2015-02,4,49,1,2,1
2015-03,4,53,1,3,1
2015-04,4,55,1,3,1
2015-05,4,57,1,2,1
2015-06,4,64,< 1,2,1
2015-07,3,72,1,2,1
2015-08,2,65,< 1,2,< 1
2015-09,3,55,1,2,1
2015-10,3,51,1,2,1
2015-11,3,50,1,2,1
2015-12,4,45,1,2,1
2016-01,4,61,1,2,1
2016-02,4,63,1,2,1
2016-03,3,62,1,2,1
2016-04,4,67,1,2,1
2016-05,3,69,1,2,1
2016-06,3,71,1,2,1
2016-07,2,77,< 1,2,1
2016-08,2,69,1,2,< 1
2016-09,2,68,1,2,1
2016-10,3,60,1,3,1
2016-11,3,57,1,2,1
2016-12,3,48,1,2,1
2017-01,5,68,1,2,1
2017-02,4,67,1,2,1
2017-03,4,69,1,2,1
2017-04,4,68,1,2,1
2017-05,4,73,1,2,1
2017-06,3,85,1,2,1
2017-07,2,87,1,2,1
2017-08,2,77,1,2,1
2017-09,3,72,1,2,1
2017-10,3,67,1,2,1
2017-11,3,61,1,2,1
2017-12,3,53,1,2,1
2018-01,5,74,1,2,1
2018-02,5,68,1,2,1
2018-03,4,71,1,2,1
2018-04,3,72,1,2,1
2018-05,5,71,1,2,1
2018-06,4,77,1,2,1
2018-07,2,79,1,2,1
2018-08,3,73,1,2,< 1
2018-09,3,76,1,2,1
2018-10,4,69,1,2,1
2018-11,4,61,1,3,1
2018-12,3,54,1,2,1
2019-01,4,72,1,3,1
2019-02,4,75,1,2,1
2019-03,3,77,1,2,1
2019-04,3,69,1,2,1
2019-05,3,69,1,2,1
2019-06,4,82,1,3,1
2019-07,2,78,1,2,1
2019-08,2,74,1,2,< 1
2019-09,3,74,1,2,1
2019-10,3,70,1,2,1
2019-11,3,64,1,3,1
2019-12,3,55,1,2,1
2020-01,4,78,1,3,1
2020-02,3,67,1,2,1
2020-03,5,37,1,2,< 1
2020-04,6,46,1,2,< 1
2020-05,6,81,1,3,1
2020-06,4,100,1,3,1
2020-07,2,91,1,3,1
2020-08,2,79,1,2,1
2020-09,3,74,1,3,1
2020-10,3,61,1,2,1
2020-11,4,57,1,2,1
2020-12,3,53,1,2,1
2021-01,4,72,1,3,1
2021-02,6,70,1,2,1
2021-03,6,68,1,2,1
2021-04,5,75,1,2,1
2021-05,6,79,1,2,1
2021-06,4,81,1,2,1
2021-07,3,78,1,3,1
2021-08,3,76,1,2,1
2021-09,4,74,1,3,1
2021-10,6,64,1,2,1
2021-11,8,62,1,2,1
2021-12,8,54,1,2,1
2022-01,9,74,1,3,1
2022-02,11,75,1,3,1
2022-03,11,76,1,3,1
2022-04,9,74,1,3,1
2022-05,12,76,1,3,1
2022-06,14,81,1,3,1
2022-07,13,81,1,3,1
2022-08,10,75,1,3,1
2022-09,13,70,1,3,1
2022-10,13,67,1,3,1
2022-11,15,61,1,3,1
2022-12,12,51,1,2,1
2023-01,15,71,1,3,1
2023-02,13,66,1,3,1
2023-03,15,69,1,3,1
2023-04,11,67,1,3,1
2023-05,11,63,1,4,1
2023-06,11,68,1,3,1
2023-07,10,71,1,7,1
2023-08,11,66,1,4,1
2023-09,12,61,1,4,1
2023-10,20,58,1,3,1
2023-11,13,51,1,3,1
2023-12,9,45,1,3,1
2024-01,11,61,1,4,1
2024-02,10,55,1,4,1
2024-03,9,51,1,4,1
2024-04,9,50,1,4,1
2024-05,9,50,1,4,1
2024-06,8,50,1,4,1
2024-07,6,55,1,4,1
2024-08,6,54,1,3,1
2024-09,7,54,1,4,1
2024-10,8,49,1,4,1
2024-11,9,45,1,4,1
2024-12,8,39,1,4,1
2025-01,9,52,1,4,1
