Categoria: Tutte le categorie

Mese,inflazione: (Italia),abbonamento treno: (Italia),abbonamento autobus: (Italia),pedaggio autostrada: (Italia),assicurazione auto: (Italia)
2004-01,33,0,0,0,69
2004-02,34,0,0,0,53
2004-03,29,0,0,0,53
2004-04,27,0,0,7,52
2004-05,24,0,0,0,52
2004-06,24,0,0,0,53
2004-07,14,0,0,8,54
2004-08,15,0,0,6,50
2004-09,22,0,0,6,54
2004-10,22,4,0,4,44
2004-11,22,5,0,0,48
2004-12,23,0,0,0,40
2005-01,31,4,0,0,53
2005-02,27,4,0,4,53
2005-03,19,0,0,4,50
2005-04,19,0,0,0,46
2005-05,17,0,0,0,44
2005-06,18,0,0,5,45
2005-07,14,0,0,6,43
2005-08,13,0,0,7,45
2005-09,18,4,0,3,44
2005-10,16,0,0,3,39
2005-11,16,0,0,2,42
2005-12,17,0,0,2,39
2006-01,23,3,0,3,44
2006-02,19,2,4,2,43
2006-03,19,0,0,3,44
2006-04,14,2,0,4,39
2006-05,16,0,0,3,42
2006-06,18,0,0,3,32
2006-07,10,0,0,3,38
2006-08,12,0,0,5,41
2006-09,16,4,0,4,42
2006-10,17,3,0,3,41
2006-11,14,2,0,3,37
2006-12,14,0,0,3,30
2007-01,21,1,0,3,43
2007-02,18,2,0,2,38
2007-03,15,1,0,3,38
2007-04,13,0,0,3,37
2007-05,13,1,0,3,38
2007-06,14,1,0,5,38
2007-07,10,2,0,4,33
2007-08,10,2,0,6,33
2007-09,14,4,2,2,36
2007-10,13,3,0,2,36
2007-11,14,1,0,2,34
2007-12,17,2,0,2,27
2008-01,23,2,0,3,40
2008-02,20,2,0,2,35
2008-03,16,2,1,3,38
2008-04,18,2,1,3,39
2008-05,17,2,1,3,31
2008-06,19,2,0,4,30
2008-07,19,1,0,4,30
2008-08,15,3,0,5,27
2008-09,19,4,2,3,30
2008-10,19,3,1,3,32
2008-11,15,2,0,3,27
2008-12,14,2,0,3,24
2009-01,21,2,0,2,36
2009-02,16,2,0,2,35
2009-03,15,2,0,2,36
2009-04,12,3,1,3,32
2009-05,12,3,1,3,37
2009-06,13,2,1,3,34
2009-07,11,1,0,4,35
2009-08,10,3,0,4,31
2009-09,11,5,2,2,38
2009-10,10,3,1,2,38
2009-11,12,2,1,2,40
2009-12,11,1,0,3,35
2010-01,16,2,1,2,50
2010-02,12,2,0,2,46
2010-03,10,3,1,2,50
2010-04,11,3,1,2,49
2010-05,11,3,1,3,48
2010-06,10,2,0,3,46
2010-07,6,2,0,5,45
2010-08,8,3,1,4,37
2010-09,9,5,1,3,48
2010-10,10,4,1,2,51
2010-11,10,2,0,2,48
2010-12,10,2,0,2,43
2011-01,13,3,1,2,61
2011-02,12,3,< 1,2,60
2011-03,11,3,1,3,55
2011-04,10,3,1,3,57
2011-05,10,3,1,3,56
2011-06,11,2,1,4,58
2011-07,10,2,1,5,51
2011-08,9,4,1,6,48
2011-09,10,7,2,3,55
2011-10,10,4,1,2,55
2011-11,15,3,< 1,2,52
2011-12,14,3,1,3,48
2012-01,16,4,1,3,57
2012-02,12,3,1,2,48
2012-03,15,3,1,3,53
2012-04,9,3,1,4,58
2012-05,12,3,1,3,62
2012-06,12,3,1,4,50
2012-07,9,3,1,5,48
2012-08,7,4,2,6,53
2012-09,9,9,3,3,64
2012-10,12,5,1,3,51
2012-11,10,4,1,3,38
2012-12,9,3,< 1,3,41
2013-01,13,4,1,3,73
2013-02,11,3,1,2,53
2013-03,9,3,1,3,42
2013-04,12,3,1,4,41
2013-05,11,3,1,3,64
2013-06,10,3,1,4,57
2013-07,8,3,1,5,41
2013-08,6,4,2,7,37
2013-09,8,9,3,4,52
2013-10,10,5,1,3,65
2013-11,12,4,1,4,61
2013-12,9,3,1,5,36
2014-01,14,4,1,5,55
2014-02,12,4,1,5,69
2014-03,11,4,1,5,64
2014-04,12,3,1,5,49
2014-05,12,4,1,5,43
2014-06,10,4,1,5,48
2014-07,8,4,1,6,59
2014-08,10,5,2,9,44
2014-09,9,10,4,5,57
2014-10,9,6,2,4,53
2014-11,8,4,1,4,54
2014-12,9,3,< 1,4,43
2015-01,13,4,1,4,56
2015-02,11,4,1,4,48
2015-03,11,4,1,5,51
2015-04,9,3,1,8,56
2015-05,10,4,1,10,56
2015-06,9,4,1,11,49
2015-07,7,4,1,9,42
2015-08,6,5,2,12,34
2015-09,7,9,4,10,75
2015-10,8,6,2,9,80
2015-11,9,5,1,6,45
2015-12,9,3,1,5,46
2016-01,10,4,1,6,57
2016-02,11,4,1,6,73
2016-03,8,4,1,4,82
2016-04,9,3,1,6,50
2016-05,8,3,1,5,48
2016-06,8,3,1,10,49
2016-07,5,4,1,13,61
2016-08,4,5,2,8,58
2016-09,6,12,4,6,46
2016-10,7,7,2,5,44
2016-11,8,5,1,7,60
2016-12,8,4,1,9,50
2017-01,12,5,1,6,77
2017-02,11,5,1,4,55
2017-03,10,4,1,6,57
2017-04,10,4,1,10,56
2017-05,11,4,1,10,57
2017-06,8,4,1,9,53
2017-07,5,4,1,8,58
2017-08,5,5,2,10,45
2017-09,7,10,4,7,60
2017-10,7,7,2,10,56
2017-11,9,5,1,6,45
2017-12,8,3,1,6,41
2018-01,11,5,2,7,60
2018-02,11,4,1,8,60
2018-03,9,4,1,10,56
2018-04,8,4,1,9,52
2018-05,12,5,1,6,63
2018-06,9,5,2,8,53
2018-07,6,5,2,15,48
2018-08,7,6,3,12,41
2018-09,8,12,6,8,61
2018-10,9,7,2,8,67
2018-11,10,5,2,9,62
2018-12,8,4,1,6,62
2019-01,11,4,2,8,85
2019-02,11,5,1,8,86
2019-03,9,4,1,8,83
2019-04,8,4,1,8,69
2019-05,9,4,2,8,66
2019-06,10,5,2,13,67
2019-07,6,5,2,10,65
2019-08,5,5,3,12,55
2019-09,7,13,5,12,66
2019-10,8,7,3,10,69
2019-11,8,5,2,6,63
2019-12,7,3,1,9,61
2020-01,10,5,2,11,63
2020-02,8,4,1,7,71
2020-03,12,2,1,2,57
2020-04,16,2,1,1,64
2020-05,16,3,2,3,72
2020-06,9,3,1,8,83
2020-07,6,4,1,11,70
2020-08,6,4,2,11,57
2020-09,7,8,4,9,68
2020-10,7,4,1,6,63
2020-11,9,2,1,2,53
2020-12,8,1,< 1,3,51
2021-01,11,3,1,3,62
2021-02,14,2,1,4,61
2021-03,14,2,< 1,3,57
2021-04,12,2,1,4,57
2021-05,15,3,1,8,62
2021-06,11,3,1,11,62
2021-07,8,3,1,13,62
2021-08,7,5,3,15,53
2021-09,11,10,6,10,59
2021-10,15,6,3,9,61
2021-11,20,4,2,8,55
2021-12,21,2,1,7,48
2022-01,23,3,1,6,66
2022-02,28,4,2,9,67
2022-03,28,5,2,9,67
2022-04,23,4,2,12,58
