Categoria: Tutte le categorie

Mese,inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),spread BTP Bund: (Italia),debito pubblico: (Italia)
2004-01,55,0,0,0,0
2004-02,56,0,0,0,9
2004-03,48,0,0,0,0
2004-04,45,0,0,0,8
2004-05,39,8,0,0,0
2004-06,39,0,0,0,0
2004-07,24,0,0,0,0
2004-08,25,0,0,0,0
2004-09,36,0,0,0,0
2004-10,37,0,0,0,0
2004-11,36,0,0,0,7
2004-12,37,0,0,0,6
2005-01,50,0,0,0,6
2005-02,44,0,0,0,6
2005-03,32,7,0,0,11
2005-04,31,5,0,0,9
2005-05,28,0,0,0,11
2005-06,29,0,0,0,9
2005-07,24,5,0,0,5
2005-08,22,0,0,0,0
2005-09,30,0,0,0,10
2005-10,26,4,0,0,4
2005-11,27,0,0,0,5
2005-12,29,0,0,0,4
2006-01,37,0,0,0,5
2006-02,32,0,0,0,9
2006-03,32,3,0,0,13
2006-04,23,4,0,0,13
2006-05,27,4,0,0,10
2006-06,30,4,0,0,11
2006-07,16,0,0,0,4
2006-08,20,0,0,0,0
2006-09,27,3,0,0,5
2006-10,27,2,0,0,9
2006-11,24,3,0,0,7
2006-12,23,3,0,0,9
2007-01,35,0,0,0,9
2007-02,29,3,0,0,6
2007-03,24,0,0,0,6
2007-04,21,2,0,0,6
2007-05,22,3,0,0,9
2007-06,23,2,0,0,8
2007-07,16,0,0,0,7
2007-08,16,0,0,0,9
2007-09,23,1,0,0,10
2007-10,21,0,0,0,12
2007-11,22,3,0,0,8
2007-12,27,2,0,0,9
2008-01,38,3,0,0,14
2008-02,33,3,0,0,12
2008-03,27,2,0,0,12
2008-04,29,3,0,0,20
2008-05,28,3,0,0,10
2008-06,32,4,0,0,8
2008-07,31,2,0,0,8
2008-08,24,1,0,0,6
2008-09,31,2,0,0,7
2008-10,32,3,0,0,11
2008-11,24,2,0,0,9
2008-12,24,3,0,0,13
2009-01,34,3,1,0,13
2009-02,26,2,1,0,9
2009-03,25,2,2,0,9
2009-04,19,3,0,1,7
2009-05,20,3,0,0,10
2009-06,22,4,0,0,8
2009-07,17,2,0,0,8
2009-08,17,1,0,0,7
2009-09,18,2,0,0,6
2009-10,17,2,0,0,11
2009-11,19,2,0,0,11
2009-12,18,2,1,0,14
2010-01,27,3,0,0,13
2010-02,20,2,0,0,14
2010-03,17,1,0,0,9
2010-04,18,2,0,0,13
2010-05,18,3,0,0,21
2010-06,17,3,0,0,18
2010-07,11,1,0,0,7
2010-08,14,0,0,0,8
2010-09,15,2,0,0,10
2010-10,16,1,2,0,10
2010-11,16,2,2,1,14
2010-12,16,1,1,2,15
2011-01,22,2,1,1,12
2011-02,19,2,1,1,13
2011-03,19,2,1,1,11
2011-04,16,2,1,1,10
2011-05,16,2,1,0,12
2011-06,18,3,1,1,19
2011-07,16,1,1,9,27
2011-08,15,1,2,15,39
2011-09,16,2,1,23,41
2011-10,16,1,1,14,30
2011-11,25,2,2,100,79
2011-12,22,2,1,62,45
2012-01,26,2,1,41,30
2012-02,19,2,1,39,23
2012-03,24,2,1,37,21
2012-04,15,2,1,33,21
2012-05,19,2,1,30,28
2012-06,20,3,1,34,26
2012-07,15,2,1,40,24
2012-08,12,1,1,34,19
2012-09,15,3,2,28,16
2012-10,20,2,1,23,18
2012-11,16,2,1,15,22
2012-12,15,2,1,21,28
2013-01,22,3,1,16,25
2013-02,18,3,1,14,25
2013-03,16,2,< 1,11,20
2013-04,20,2,1,11,16
2013-05,18,3,1,10,15
2013-06,16,3,2,9,12
2013-07,12,2,1,9,14
2013-08,10,1,1,9,11
2013-09,13,2,2,8,14
2013-10,17,2,1,9,18
2013-11,20,2,1,5,13
2013-12,15,2,1,6,15
2014-01,23,3,1,7,16
2014-02,19,2,1,7,16
2014-03,19,2,1,7,16
2014-04,20,2,3,5,13
2014-05,19,2,2,7,13
2014-06,17,3,2,6,12
2014-07,13,1,1,5,12
2014-08,16,1,2,4,14
2014-09,15,2,3,5,12
2014-10,15,2,2,5,13
2014-11,14,2,3,3,12
2014-12,15,2,4,5,16
2015-01,22,3,19,4,16
2015-02,18,3,5,4,15
2015-03,18,2,15,6,10
2015-04,15,2,5,5,12
2015-05,17,2,5,5,11
2015-06,15,3,3,7,15
2015-07,11,2,3,6,29
2015-08,10,1,2,4,8
2015-09,12,2,3,3,8
2015-10,14,2,3,3,8
2015-11,14,2,3,3,8
2015-12,15,2,3,3,9
2016-01,17,3,2,2,11
2016-02,18,3,2,4,14
2016-03,14,3,3,3,10
2016-04,15,2,2,2,11
2016-05,14,3,2,3,13
2016-06,13,3,2,4,13
