Categoria: Tutte le categorie

Mese,inflazione: (Italia),aumento stipendio: (Italia),più caro: (Italia),bonus come richiederlo: (Italia),caro vita: (Italia)
2004-01,66,0,0,0,0
2004-02,67,0,0,0,0
2004-03,58,0,0,0,0
2004-04,54,10,0,0,0
2004-05,47,0,0,0,0
2004-06,47,0,0,0,0
2004-07,29,0,0,0,0
2004-08,30,0,0,0,0
2004-09,44,0,0,0,0
2004-10,44,0,0,0,0
2004-11,44,0,0,0,0
2004-12,45,0,0,0,0
2005-01,61,0,0,0,0
2005-02,53,0,0,0,0
2005-03,39,0,0,0,0
2005-04,37,0,0,0,0
2005-05,34,0,0,0,0
2005-06,35,7,0,0,0
2005-07,29,0,0,0,0
2005-08,26,0,0,0,0
2005-09,36,6,0,0,0
2005-10,31,5,0,0,0
2005-11,32,0,0,0,0
2005-12,34,0,0,0,0
2006-01,45,6,0,0,0
2006-02,38,5,0,0,0
2006-03,38,0,0,0,0
2006-04,28,0,0,0,0
2006-05,32,0,0,0,0
2006-06,36,0,0,0,0
2006-07,19,4,0,0,0
2006-08,24,0,0,0,0
2006-09,33,0,0,0,0
2006-10,33,5,0,0,0
2006-11,29,4,0,0,0
2006-12,28,0,0,0,0
2007-01,42,3,0,0,0
2007-02,35,4,0,0,0
2007-03,29,3,0,0,0
2007-04,25,6,0,0,0
2007-05,26,5,0,0,0
2007-06,28,4,0,0,0
2007-07,20,4,0,0,0
2007-08,19,7,3,0,0
2007-09,27,4,0,0,2
2007-10,25,6,0,0,0
2007-11,27,4,2,0,2
2007-12,33,5,2,0,0
2008-01,45,10,1,0,2
2008-02,39,6,0,0,2
2008-03,33,3,2,0,2
2008-04,35,3,0,0,2
2008-05,33,2,2,0,2
2008-06,38,4,1,0,3
2008-07,38,3,2,0,2
2008-08,29,0,0,0,0
2008-09,38,3,2,0,2
2008-10,39,3,2,0,1
2008-11,29,4,2,0,2
2008-12,29,3,2,0,0
2009-01,41,3,1,0,1
2009-02,31,4,2,0,0
2009-03,30,3,2,0,0
2009-04,23,2,0,0,0
2009-05,24,2,1,0,0
2009-06,27,1,1,0,0
2009-07,21,2,2,0,0
2009-08,20,2,0,0,0
2009-09,22,3,2,0,1
2009-10,21,3,2,0,0
2009-11,23,3,1,0,0
2009-12,21,2,3,0,0
2010-01,33,4,2,0,1
2010-02,24,4,3,0,0
2010-03,21,3,2,0,0
2010-04,21,2,2,0,1
2010-05,21,3,2,0,0
2010-06,20,3,2,0,1
2010-07,13,2,2,0,1
2010-08,16,2,3,0,0
2010-09,18,2,2,0,1
2010-10,19,1,2,0,1
2010-11,19,2,2,0,1
2010-12,20,2,3,0,2
2011-01,26,3,2,0,1
2011-02,23,4,2,0,1
2011-03,22,4,3,0,1
2011-04,20,2,3,0,1
2011-05,20,2,3,0,2
2011-06,21,4,2,0,1
2011-07,19,3,3,0,1
2011-08,18,2,2,0,1
2011-09,19,3,3,0,1
2011-10,19,1,2,0,1
2011-11,31,3,2,0,1
2011-12,27,3,3,0,1
2012-01,31,3,2,0,1
2012-02,23,2,2,0,1
2012-03,29,2,2,0,2
2012-04,18,2,2,0,1
2012-05,23,2,2,0,1
2012-06,24,1,2,0,1
2012-07,18,2,3,0,2
2012-08,15,1,3,0,2
2012-09,18,1,3,0,2
2012-10,24,2,2,0,1
2012-11,20,3,2,0,1
2012-12,18,12,3,0,1
2013-01,26,4,2,0,1
2013-02,22,3,2,0,1
2013-03,19,2,2,0,1
2013-04,24,4,2,0,1
2013-05,22,2,2,0,1
2013-06,19,1,2,0,1
2013-07,15,1,2,0,1
2013-08,12,1,2,0,1
2013-09,16,2,3,0,1
2013-10,20,4,2,0,1
2013-11,24,2,2,0,1
2013-12,18,3,3,0,1
2014-01,28,3,2,0,1
2014-02,23,3,2,0,1
2014-03,22,8,3,0,1
2014-04,24,6,2,0,1
