Categoria: Tutte le categorie

Mese,inflazione: (Italia),menu ristorante: (Italia),prezzo libro: (Italia),biglietto cinema: (Italia),costo vacanza: (Italia)
2004-01,24,5,0,0,0
2004-02,25,5,0,0,0
2004-03,21,0,0,0,0
2004-04,20,6,6,0,0
2004-05,17,6,0,0,0
2004-06,17,5,0,0,4
2004-07,10,0,4,0,0
2004-08,11,0,0,0,0
2004-09,16,4,0,0,0
2004-10,16,5,0,0,0
2004-11,16,3,3,3,0
2004-12,16,6,3,0,0
2005-01,22,4,0,0,0
2005-02,19,3,2,0,0
2005-03,14,4,2,0,0
2005-04,13,3,0,0,0
2005-05,12,4,3,0,0
2005-06,13,3,0,0,0
2005-07,10,2,0,0,2
2005-08,9,4,0,0,0
2005-09,13,3,2,0,0
2005-10,11,4,0,0,0
2005-11,12,3,3,0,0
2005-12,13,5,2,0,0
2006-01,16,3,2,2,0
2006-02,14,4,0,0,0
2006-03,14,4,2,0,0
2006-04,10,2,1,0,0
2006-05,12,3,1,2,0
2006-06,13,4,0,0,0
2006-07,7,3,1,0,0
2006-08,9,2,0,0,0
2006-09,12,3,3,0,0
2006-10,12,3,3,0,0
2006-11,10,3,2,0,1
2006-12,10,4,2,0,0
2007-01,15,3,1,2,0
2007-02,13,5,2,1,0
2007-03,11,4,2,1,0
2007-04,9,3,2,0,0
2007-05,10,3,2,1,1
2007-06,10,3,1,0,1
2007-07,7,3,1,1,1
2007-08,7,4,1,1,1
2007-09,10,3,2,1,0
2007-10,9,3,2,1,0
2007-11,10,4,2,2,0
2007-12,12,6,3,2,0
2008-01,17,3,2,2,0
2008-02,14,6,2,1,1
2008-03,12,4,2,2,1
2008-04,13,4,2,1,1
2008-05,12,4,2,1,1
2008-06,14,3,1,0,1
2008-07,14,4,2,1,2
2008-08,11,3,1,1,1
2008-09,14,4,2,1,0
2008-10,14,3,3,1,0
2008-11,11,5,3,2,0
2008-12,10,6,4,2,0
2009-01,15,4,2,2,1
2009-02,11,6,2,2,< 1
2009-03,11,5,2,1,1
2009-04,8,6,1,2,1
2009-05,9,5,2,2,1
2009-06,10,4,2,1,1
2009-07,8,3,2,1,2
2009-08,7,4,2,1,1
2009-09,8,5,2,2,0
2009-10,8,5,3,2,0
2009-11,8,5,3,3,0
2009-12,8,10,5,3,0
2010-01,12,4,3,4,1
2010-02,9,6,2,3,1
2010-03,7,7,2,2,1
2010-04,8,5,2,1,1
2010-05,8,4,2,1,1
2010-06,7,4,2,1,1
2010-07,5,4,2,1,1
2010-08,6,5,2,1,1
2010-09,7,5,3,2,0
2010-10,7,4,4,3,< 1
2010-11,7,6,4,3,1
2010-12,7,9,5,3,1
2011-01,10,5,3,4,1
2011-02,8,7,3,3,1
2011-03,8,6,3,2,1
2011-04,7,7,2,1,1
2011-05,7,4,3,2,1
2011-06,8,4,3,1,1
2011-07,7,5,3,2,1
2011-08,7,6,2,1,1
2011-09,7,5,3,2,1
2011-10,7,5,4,2,< 1
2011-11,11,6,4,4,< 1
2011-12,10,11,6,3,< 1
2012-01,11,6,3,3,1
2012-02,9,7,3,2,1
2012-03,11,9,3,2,1
2012-04,7,9,3,3,1
2012-05,8,6,3,2,1
2012-06,9,6,3,1,1
2012-07,7,6,3,2,1
2012-08,5,8,3,2,1
2012-09,7,7,4,3,1
2012-10,9,7,4,3,< 1
2012-11,7,8,4,4,1
2012-12,6,14,6,3,< 1
2013-01,10,7,3,3,1
2013-02,8,10,3,3,1
2013-03,7,13,4,3,1
2013-04,9,8,3,3,1
2013-05,8,8,4,4,1
2013-06,7,7,3,2,1
2013-07,5,7,3,1,1
2013-08,4,11,3,2,1
2013-09,6,8,4,3,1
2013-10,7,9,4,4,< 1
2013-11,9,11,4,7,< 1
2013-12,7,19,5,4,< 1
2014-01,10,10,4,4,1
2014-02,8,14,4,3,1
2014-03,8,12,3,3,1
2014-04,9,17,3,3,1
2014-05,8,11,4,3,1
2014-06,7,9,3,2,1
2014-07,6,10,3,2,2
2014-08,7,14,4,2,1
2014-09,6,11,5,4,1
2014-10,7,11,4,3,1
2014-11,6,14,5,5,1
2014-12,7,23,6,4,1
2015-01,10,13,4,5,1
2015-02,8,20,4,5,1
2015-03,8,20,4,4,1
2015-04,7,17,3,4,1
2015-05,7,13,3,2,1
2015-06,7,12,3,2,2
2015-07,5,14,4,2,2
2015-08,4,19,4,3,1
2015-09,5,14,5,5,1
2015-10,6,15,4,6,< 1
2015-11,6,19,5,4,1
2015-12,7,28,7,6,1
2016-01,8,17,4,11,1
2016-02,8,23,4,4,1
2016-03,6,29,4,4,1
2016-04,7,18,4,3,1
2016-05,6,19,4,3,1
2016-06,6,18,4,2,1
2016-07,4,20,3,1,1
2016-08,3,24,3,4,1
2016-09,4,19,6,6,1
2016-10,5,20,5,6,< 1
2016-11,6,25,5,6,< 1
2016-12,6,39,6,7,1
2017-01,9,21,4,9,1
2017-02,8,27,4,7,1
2017-03,8,29,3,6,1
2017-04,8,36,3,5,1
2017-05,8,21,4,3,1
2017-06,6,22,3,3,1
2017-07,4,26,4,2,2
2017-08,4,33,3,4,1
2017-09,5,24,4,5,1
2017-10,5,24,4,6,< 1
2017-11,6,32,4,5,1
2017-12,6,51,5,6,1
2018-01,8,24,3,7,1
2018-02,8,31,3,7,1
2018-03,6,46,3,4,1
2018-04,6,27,2,4,1
2018-05,9,27,3,3,1
2018-06,6,27,4,2,1
2018-07,4,31,3,1,1
2018-08,5,44,2,4,1
2018-09,6,33,4,5,1
2018-10,7,32,3,5,1
2018-11,7,42,3,6,1
2018-12,6,54,5,7,1
2019-01,8,29,3,7,1
2019-02,8,35,3,4,1
2019-03,6,41,3,4,1
2019-04,6,49,3,8,1
2019-05,6,28,3,4,1
2019-06,7,32,3,2,1
2019-07,5,38,3,3,1
2019-08,4,52,2,7,2
2019-09,5,38,7,6,1
2019-10,6,36,4,7,1
2019-11,6,46,4,7,1
2019-12,5,57,4,10,1
2020-01,7,36,3,12,1
2020-02,6,38,2,3,1
2020-03,9,9,2,< 1,< 1
2020-04,11,10,3,< 1,< 1
2020-05,12,15,3,< 1,1
2020-06,7,32,3,< 1,1
2020-07,4,49,2,< 1,1
2020-08,4,72,3,1,1
2020-09,5,44,3,3,1
2020-10,5,28,3,1,< 1
2020-11,7,15,4,< 1,< 1
2020-12,6,24,5,< 1,1
2021-01,8,15,3,< 1,1
2021-02,10,26,4,< 1,1
2021-03,10,14,3,< 1,1
2021-04,8,15,3,< 1,1
2021-05,11,31,3,1,1
2021-06,8,42,3,2,2
2021-07,6,47,2,3,2
2021-08,5,65,2,3,2
2021-09,8,41,3,3,1
2021-10,11,39,3,4,1
2021-11,15,33,3,4,1
2021-12,15,42,4,6,1
2022-01,17,26,3,3,1
2022-02,20,38,2,3,1
2022-03,20,36,3,3,1
2022-04,17,50,2,3,2
2022-05,21,35,3,3,2
2022-06,26,40,3,3,2
2022-07,23,47,2,2,2
2022-08,17,67,3,4,3
2022-09,23,46,3,5,1
2022-10,24,50,3,5,1
2022-11,26,49,3,5,1
2022-12,21,66,4,9,1
2023-01,27,49,5,7,2
2023-02,23,50,3,4,1
2023-03,27,58,3,5,2
2023-04,19,60,3,6,2
2023-05,20,45,3,6,1
2023-06,20,61,3,7,2
2023-07,19,81,3,10,2
2023-08,20,100,3,8,2
2023-09,22,70,4,7,1
2023-10,37,65,3,6,1
2023-11,23,62,3,9,1
2023-12,17,68,4,7,1
2024-01,20,48,3,7,2
2024-02,19,52,2,4,2
2024-03,17,65,3,4,1
2024-04,16,48,3,3,2
2024-05,17,45,3,3,1
