,indice_Inflazione_GT_PCA_SA,indice_Tematico_GT_SA,indice_Termini_Diretti_Purificato,indice_Alimentari_Purificato,indice_Energia_Purificato,indice_Abitazione_Purificato,indice_Trasporti_Purificato,indice_Politiche_Economiche_Purificato,indice_Aspettative_Consumatori_Purificato,indice_Sanita_Purificato,indice_Ricreazione_Purificato
2004-01-01,3.48682500292131,-6.52200442897025,0.80779,-1.81757,-1.53498,-3.49196,-1.64643,-2.11876,-2.3113,-3.4262,-2.81226
2004-02-01,5.6560059606148,-6.53431672651746,1.83444,-3.19382,-2.06274,-3.71566,-2.14801,-1.40287,-1.2149,-3.4262,-1.42426
2004-03-01,4.82015738082966,-8.01750233858291,-2.03732,-3.19382,-2.06274,-3.54788,-1.1805,-2.11876,-2.3113,-3.4262,-2.92533
2004-04-01,4.66202576180556,-6.66511965738522,-0.29456,-3.19382,-1.76591,-3.65974,-2.14801,-1.40287,-2.3113,-3.4262,-2.78399
2004-05-01,4.38291718009101,-7.17987712488561,-1.00262,-3.19382,-1.59271,-3.51992,-2.23652,-1.47446,-2.3113,-3.4262,-2.69918
2004-06-01,1.97432711440413,-6.44896584956382,-1.13633,-3.19382,-1.94727,-1.93775,-1.50751,0.40192,-2.3113,-2.48094,-2.78399
2004-07-01,1.59824046035745,-7.02474736803347,-1.55722,-3.19382,-1.35905,-3.54788,-1.26902,-1.54605,-2.3113,-2.16585,-2.92533
2004-08-01,1.66206434519574,-6.9741630248907,-3.12985,-3.19382,-1.77408,-3.32418,-1.43252,-2.11876,-2.3113,-3.4262,-2.78399
2004-09-01,2.93226248371034,-5.38821251710059,0.67407,-3.19382,-1.65316,-2.58631,-0.38985,-2.11876,-2.3113,-0.16143,-2.84053
2004-10-01,3.23938602511966,-6.54844833266666,-1.776,-3.19382,-2.12047,-2.72612,-0.70088,-2.11876,-2.3113,-2.58597,-2.81226
2004-11-01,3.14248667241161,-6.48882585075173,-0.75798,-2.19291,-2.00501,-2.13348,-1.53438,-1.47446,-2.3113,-3.4262,-2.84053
2004-12-01,3.16386384432044,-6.30800907317321,-0.48688,-3.19382,-1.65316,-2.69816,-2.59057,-2.11876,-2.3113,-3.4262,-2.78399
2005-01-01,2.98137049712706,-6.61201740790558,-0.26504,-3.19382,-2.1782,-2.6702,-0.57206,-1.33128,-1.41425,-3.4262,-2.81226
2005-02-01,3.60938199472585,-6.2102122110116,0.34131,-3.19382,-2.12047,-2.6702,-1.26884,-1.61764,-2.3113,-2.48094,-1.4808
2005-03-01,1.48680887685131,-5.98101305366402,0.39801,-2.51097,-1.53498,-2.61427,-1.23416,-1.40287,-2.3113,-2.58597,-2.13239
2005-04-01,2.31419311330762,-6.5774231145349,-1.64535,-2.80972,-2.12047,-3.0671,-2.41354,-1.61764,-2.3113,-2.48094,-2.81226
2005-05-01,1.34953147677548,-6.31879344288084,0.55452,-2.93775,-1.82636,-3.57585,-2.04105,0.11368,-2.3113,-2.691,-2.81226
2005-06-01,0.959616240897345,-6.09794455489666,0.78747,-3.19382,-2.00501,-2.53038,-1.47555,-1.11651,-1.61359,-2.27088,-2.86879
2005-07-01,1.57004549267549,-5.76310055937814,-0.08879,-2.93775,-1.65316,-2.50242,-1.66855,-2.11876,-2.3113,-1.95579,-1.0925
