Periodo,NIC_destag_ISTAT
2004-01-01,82.0
2004-02-01,82.2
2004-03-01,82.5
2004-04-01,82.7
2004-05-01,82.9
2004-06-01,83.1
2004-07-01,83.1
2004-08-01,83.3
2004-09-01,83.3
2004-10-01,83.3
2004-11-01,83.3
2004-12-01,83.5
2005-01-01,83.5
2005-02-01,83.8
2005-03-01,84.1
2005-04-01,84.3
2005-05-01,84.5
2005-06-01,84.5
2005-07-01,84.8
2005-08-01,84.9
2005-09-01,84.9
2005-10-01,85.2
2005-11-01,85.2
2005-12-01,85.2
2006-01-01,85.4
2006-02-01,85.7
2006-03-01,85.9
2006-04-01,86.1
2006-05-01,86.3
2006-06-01,86.4
2006-07-01,86.7
2006-08-01,86.8
2006-09-01,86.8
2006-10-01,86.7
2006-11-01,86.8
2006-12-01,86.8
2007-01-01,86.9
2007-02-01,87.2
2007-03-01,87.3
2007-04-01,87.4
2007-05-01,87.7
2007-06-01,87.9
2007-07-01,88.1
2007-08-01,88.2
2007-09-01,88.2
2007-10-01,88.5
2007-11-01,88.8
2007-12-01,89.1
2008-01-01,89.5
2008-02-01,89.7
2008-03-01,90.1
2008-04-01,90.3
2008-05-01,90.8
2008-06-01,91.3
2008-07-01,91.7
2008-08-01,91.8
2008-09-01,91.5
2008-10-01,91.5
2008-11-01,91.3
2008-12-01,91.1
2009-01-01,91.0
2009-02-01,91.2
2009-03-01,91.3
2009-04-01,91.4
2009-05-01,91.6
2009-06-01,91.7
2009-07-01,91.7
2009-08-01,92.0
2009-09-01,91.7
2009-10-01,91.8
2009-11-01,91.8
2009-12-01,92.0
2010-01-01,92.2
2010-02-01,92.2
2010-03-01,92.5
2010-04-01,92.8
2010-05-01,92.9
2010-06-01,92.9
2010-07-01,93.2
2010-08-01,93.4
2010-09-01,93.2
2010-10-01,93.4
2010-11-01,93.4
2010-12-01,93.8
2011-01-01,94.1
2011-02-01,94.4
2011-03-01,94.8
2011-04-01,95.3
2011-05-01,95.3
2011-06-01,95.4
2011-07-01,95.7
2011-08-01,96.0
2011-09-01,96.0
2011-10-01,96.6
2011-11-01,96.5
2011-12-01,96.8
2012-01-01,97.1
2012-02-01,97.5
2012-03-01,98.0
2012-04-01,98.4
2012-05-01,98.4
2012-06-01,98.6
2012-07-01,98.7
2012-08-01,99.1
2012-09-01,99.1
2012-10-01,99.1
2012-11-01,98.9
2012-12-01,99.1
2013-01-01,99.3
2013-02-01,99.3
2013-03-01,99.5
2013-04-01,99.5
2013-05-01,99.5
2013-06-01,99.8
2013-07-01,99.9
2013-08-01,100.3
2013-09-01,100.0
2013-10-01,99.8
2013-11-01,99.5
2013-12-01,99.7
2014-01-01,99.9
2014-02-01,99.8
2014-03-01,99.9
2014-04-01,100.1
2014-05-01,100.0
2014-06-01,100.1
2014-07-01,100.0
2014-08-01,100.2
2014-09-01,99.8
2014-10-01,99.9
2014-11-01,99.7
2014-12-01,99.7
2015-01-01,99.3
2015-02-01,99.7
2015-03-01,99.8
2015-04-01,100.0
2015-05-01,100.1
2015-06-01,100.3
2015-07-01,100.2
2015-08-01,100.4
2015-09-01,100.0
2015-10-01,100.2
2015-11-01,99.8
2015-12-01,99.8
2016-01-01,99.6
2016-02-01,99.4
2016-03-01,99.6
2016-04-01,99.5
2016-05-01,99.8
2016-06-01,99.9
2016-07-01,100.1
2016-08-01,100.3
2016-09-01,100.1
2016-10-01,100.0
2016-11-01,99.9
2016-12-01,100.3
2017-01-01,100.6
2017-02-01,101.0
2017-03-01,101.0
2017-04-01,101.4
2017-05-01,101.2
2017-06-01,101.1
2017-07-01,101.2
2017-08-01,101.5
2017-09-01,101.2
2017-10-01,101.0
2017-11-01,100.8
2017-12-01,101.2
2018-01-01,101.5
2018-02-01,101.5
2018-03-01,101.8
2018-04-01,101.9
2018-05-01,102.2
2018-06-01,102.4
2018-07-01,102.7
2018-08-01,103.1
2018-09-01,102.6
2018-10-01,102.6
2018-11-01,102.4
2018-12-01,102.3
2019-01-01,102.4
2019-02-01,102.5
2019-03-01,102.8
2019-04-01,103.0
2019-05-01,103.0
2019-06-01,103.1
2019-07-01,103.1
2019-08-01,103.5
2019-09-01,102.9
2019-10-01,102.8
2019-11-01,102.6
2019-12-01,102.8
2020-01-01,102.9
2020-02-01,102.8
2020-03-01,102.9
2020-04-01,103.0
2020-05-01,102.8
2020-06-01,102.9
2020-07-01,102.7
2020-08-01,103.0
2020-09-01,102.3
2020-10-01,102.5
2020-11-01,102.4
2020-12-01,102.6
2021-01-01,103.3
2021-02-01,103.4
2021-03-01,103.7
2021-04-01,104.1
2021-05-01,104.1
2021-06-01,104.2
2021-07-01,104.7
2021-08-01,105.1
2021-09-01,104.9
2021-10-01,105.6
2021-11-01,106.2
2021-12-01,106.6
2022-01-01,108.3
2022-02-01,109.3
2022-03-01,110.4
2022-04-01,110.3
2022-05-01,111.2
2022-06-01,112.5
2022-07-01,113.0
2022-08-01,113.9
2022-09-01,114.2
2022-10-01,118.1
2022-11-01,118.7
2022-12-01,119.0
2023-01-01,119.1
2023-02-01,119.3
2023-03-01,118.8
2023-04-01,119.3
2023-05-01,119.7
2023-06-01,119.7
2023-07-01,119.7
2023-08-01,120.1
2023-09-01,120.3
2023-10-01,120.1
2023-11-01,119.5
2023-12-01,119.7
2024-01-01,120.1
2024-02-01,120.2
2024-03-01,120.2
2024-04-01,120.3
2024-05-01,120.6
2024-06-01,120.7
2024-07-01,121.2
2024-08-01,121.4
2024-09-01,121.2
2024-10-01,121.2
2024-11-01,121.1
2024-12-01,121.2
