observation_date,ITACOMPQDSNAQ
2004-01-01,133440299999.99998
2004-04-01,136965799999.99998
2004-07-01,136473100000.00000
2004-10-01,137846100000.00000
2005-01-01,139643400000.00000
2005-04-01,140773700000.00000
2005-07-01,141701400000.00000
2005-10-01,147398500000.00000
2006-01-01,146770500000.00000
2006-04-01,148669600000.00000
2006-07-01,150047300000.00000
2006-10-01,150182100000.00000
2007-01-01,151496600000.00000
2007-04-01,153152100000.00000
2007-07-01,153992600000.00000
2007-10-01,158750300000.00000
2008-01-01,159139500000.00000
2008-04-01,159029900000.00000
2008-07-01,160897400000.00000
2008-10-01,159957300000.00000
2009-01-01,158668800000.00000
2009-04-01,157881600000.00000
2009-07-01,158360600000.00000
2009-10-01,159674400000.00000
2010-01-01,158864000000.00000
2010-04-01,160855000000.00000
2010-07-01,160917300000.00000
2010-10-01,161498300000.00000
2011-01-01,162801200000.00000
2011-04-01,163623200000.00000
2011-07-01,162869900000.00000
2011-10-01,162484000000.00000
2012-01-01,161449400000.00000
2012-04-01,161148500000.00000
2012-07-01,160272800000.00000
2012-10-01,159461100000.00000
2013-01-01,159180100000.00000
2013-04-01,158823800000.00000
2013-07-01,159105500000.00000
2013-10-01,159486900000.00000
2014-01-01,159070100000.00000
2014-04-01,159238200000.00000
2014-07-01,160033600000.00000
2014-10-01,160508900000.00000
2015-01-01,161120900000.00000
2015-04-01,162230500000.00000
2015-07-01,163352300000.00000
2015-10-01,164633700000.00000
2016-01-01,165191600000.00000
2016-04-01,166462600000.00000
2016-07-01,166946800000.00000
2016-10-01,168635300000.00000
2017-01-01,169737400000.00000
2017-04-01,170027000000.00000
2017-07-01,171934700000.00000
2017-10-01,173212100000.00000
2018-01-01,173932600000.00000
2018-04-01,177132300000.00000
2018-07-01,177559500000.00000
2018-10-01,178392400000.00000
2019-01-01,179963700000.00000
2019-04-01,180023700000.00000
2019-07-01,180412600000.00000
2019-10-01,181154000000.00000
2020-01-01,174262100000.00000
2020-04-01,155728000000.00000
2020-07-01,174562200000.00000
2020-10-01,174099400000.00000
2021-01-01,176761800000.00000
2021-04-01,181266300000.00000
2021-07-01,188150700000.00000
2021-10-01,189287000000.00000
2022-01-01,191885500000.00000
2022-04-01,197265600000.00000
2022-07-01,197130300000.00000
2022-10-01,202015600000.00000
2023-01-01,203235500000.00000
2023-04-01,204617500000.00000
2023-07-01,206724200000.00000
2023-10-01,209262600000.00000
2024-01-01,213086100000.00000
