observation_date,ITAGDPNQDSMEI
2004-01-01,356837400000.00000
2004-04-01,362894700000.00000
2004-07-01,362725700000.00000
2004-10-01,367325800000.00000
2005-01-01,367099700000.00000
2005-04-01,371200800000.00000
2005-07-01,375253500000.00000
2005-10-01,380708800000.00000
2006-01-01,380416300000.00000
2006-04-01,386539300000.00000
2006-07-01,390852800000.00000
2006-10-01,397164600000.00000
2007-01-01,397997900000.00000
2007-04-01,400987000000.00000
2007-07-01,405084600000.00000
2007-10-01,410422800000.00000
2008-01-01,413356400000.00000
2008-04-01,414431300000.00000
2008-07-01,409729100000.00000
2008-10-01,399833500000.00000
2009-01-01,394011600000.00000
2009-04-01,391928200000.00000
2009-07-01,394015900000.00000
2009-10-01,396054600000.00000
2010-01-01,396673200000.00000
2010-04-01,401182000000.00000
2010-07-01,403923700000.00000
2010-10-01,407508600000.00000
2011-01-01,411954600000.00000
2011-04-01,413017400000.00000
2011-07-01,413113500000.00000
2011-10-01,411381000000.00000
2012-01-01,408218400000.00000
2012-04-01,406695400000.00000
2012-07-01,405449400000.00000
2012-10-01,404080800000.00000
2013-01-01,400532900000.00000
2013-04-01,402948900000.00000
2013-07-01,404291000000.00000
2013-10-01,404684400000.00000
2014-01-01,406668200000.00000
2014-04-01,406211400000.00000
2014-07-01,407379300000.00000
2014-10-01,408353300000.00000
2015-01-01,409768100000.00000
2015-04-01,412184000000.00000
2015-07-01,414997700000.00000
2015-10-01,417229000000.00000
2016-01-01,421238400000.00000
2016-04-01,422589800000.00000
2016-07-01,425551300000.00000
2016-10-01,427449000000.00000
2017-01-01,429547900000.00000
2017-04-01,433070600000.00000
2017-07-01,436177800000.00000
2017-10-01,440179900000.00000
2018-01-01,440723400000.00000
2018-04-01,442841300000.00000
2018-07-01,442802800000.00000
2018-10-01,444874700000.00000
2019-01-01,446693500000.00000
2019-04-01,448284600000.00000
2019-07-01,450355600000.00000
2019-10-01,451109700000.00000
2020-01-01,423610000000.00000
2020-04-01,377930000000.00000
2020-07-01,428526200000.00000
2020-10-01,429758300000.00000
2021-01-01,438551100000.00000
2021-04-01,449913900000.00000
2021-07-01,463881500000.00000
2021-10-01,468037800000.00000
2022-01-01,475145000000.00000
2022-04-01,486700700000.00000
2022-07-01,486764400000.00000
2022-10-01,498766800000.00000
2023-01-01,507377200000.00000
2023-04-01,507213500000.00000
2023-07-01,511800400000.00000
