Categoria: Tutte le categorie

Mese,Inflazione: (Italia),Indice dei prezzi al consumo: (Italia),Carrello della spesa: (Italia),Costo della vita: (Italia),Determinazione dei prezzi: (Italia)
2004-01,55,27,13,13,12
2004-02,59,26,15,17,14
2004-03,55,22,0,10,16
2004-04,46,25,0,19,20
2004-05,51,28,6,17,15
2004-06,37,23,0,11,13
2004-07,28,29,0,14,15
2004-08,30,22,12,8,9
2004-09,41,26,6,11,11
2004-10,48,29,7,8,10
2004-11,40,30,7,11,15
2004-12,36,24,8,17,9
2005-01,50,28,7,14,13
2005-02,47,24,9,11,10
2005-03,35,32,5,11,10
2005-04,35,27,0,9,12
2005-05,35,22,5,11,13
2005-06,33,23,7,10,13
2005-07,28,28,6,11,14
2005-08,21,25,0,12,9
2005-09,35,28,0,6,12
2005-10,31,23,8,6,8
2005-11,27,27,5,10,14
2005-12,34,25,6,7,6
2006-01,44,27,5,12,6
2006-02,37,33,5,13,9
2006-03,33,30,5,9,10
2006-04,27,21,6,8,11
2006-05,33,25,5,9,10
2006-06,33,26,4,9,8
2006-07,19,25,6,10,8
2006-08,24,21,5,11,9
2006-09,30,30,4,8,7
2006-10,30,26,3,8,8
2006-11,25,28,5,8,9
2006-12,28,25,4,6,8
2007-01,37,28,5,10,9
2007-02,32,31,3,7,6
2007-03,26,29,4,8,9
2007-04,23,24,4,7,7
2007-05,24,28,3,7,9
2007-06,26,33,3,7,8
2007-07,20,28,4,10,6
2007-08,18,24,3,12,6
2007-09,24,30,4,6,6
2007-10,24,34,4,7,8
2007-11,26,31,4,9,7
2007-12,28,24,3,8,5
2008-01,38,32,4,10,7
2008-02,34,33,5,7,7
2008-03,30,31,3,9,5
2008-04,32,30,3,8,7
2008-05,31,31,4,8,6
2008-06,34,29,3,9,8
2008-07,35,31,3,10,7
2008-08,27,24,3,9,5
2008-09,34,34,3,7,6
2008-10,33,34,2,7,7
2008-11,28,32,3,4,7
2008-12,25,26,3,5,7
2009-01,36,29,3,7,5
2009-02,28,31,3,6,7
2009-03,27,31,3,6,7
2009-04,22,33,3,7,7
2009-05,23,34,3,6,6
2009-06,25,31,3,7,7
2009-07,21,27,3,7,5
2009-08,18,24,3,8,4
2009-09,21,33,3,5,6
2009-10,21,33,3,7,6
2009-11,21,33,3,6,5
2009-12,20,25,3,5,4
2010-01,30,31,3,6,5
2010-02,23,39,3,7,6
2010-03,20,34,3,7,5
2010-04,22,33,3,6,6
2010-05,22,28,3,6,6
2010-06,21,28,3,6,7
2010-07,14,28,3,7,6
2010-08,18,23,3,8,5
2010-09,18,35,3,6,7
2010-10,20,34,3,6,10
