Categoria: Tutte le categorie

Mese,Inflazione: (Italia),abbonamento treno: (Italia),car sharing: (Italia),prezzi auto: (Italia),pedaggio autostrada: (Italia)
2004-01,39,0,7,100,0
2004-02,43,0,8,67,0
2004-03,35,0,0,63,10
2004-04,34,0,7,63,0
2004-05,25,0,9,67,7
2004-06,27,0,9,54,8
2004-07,19,0,12,58,8
2004-08,20,0,0,65,8
2004-09,29,7,13,73,10
2004-10,28,0,11,62,5
2004-11,28,0,10,56,5
2004-12,30,6,6,51,0
2005-01,36,6,0,72,6
2005-02,30,4,10,59,0
2005-03,28,5,9,55,5
2005-04,24,0,14,57,0
2005-05,22,0,10,55,0
2005-06,21,0,10,53,6
2005-07,18,0,20,58,8
2005-08,15,0,13,64,8
2005-09,22,4,12,61,5
2005-10,21,4,11,56,5
2005-11,20,0,23,45,0
2005-12,21,0,8,43,3
2006-01,30,4,13,54,3
2006-02,24,0,12,46,3
2006-03,24,0,10,46,4
2006-04,16,0,7,44,4
2006-05,22,0,7,45,3
2006-06,22,0,10,38,3
2006-07,12,3,11,40,4
2006-08,16,0,12,50,5
2006-09,21,4,14,50,4
2006-10,20,4,13,42,3
2006-11,18,2,16,45,4
2006-12,17,0,11,33,3
2007-01,27,2,13,60,3
2007-02,23,2,10,49,2
2007-03,18,1,10,42,4
2007-04,17,0,7,39,5
2007-05,17,1,9,35,4
2007-06,17,2,8,37,5
2007-07,13,2,10,43,6
2007-08,12,2,8,45,8
2007-09,17,5,11,43,2
2007-10,15,3,12,40,3
2007-11,18,2,16,41,2
2007-12,20,2,13,36,3
2008-01,29,2,16,49,3
2008-02,25,2,14,43,3
2008-03,22,2,10,40,5
2008-04,23,3,8,34,4
2008-05,21,2,9,37,4
2008-06,24,3,10,34,5
2008-07,24,2,10,34,6
2008-08,18,3,8,37,6
2008-09,24,5,9,36,4
2008-10,24,4,9,34,3
2008-11,18,3,9,32,4
2008-12,18,2,8,31,3
2009-01,27,3,7,49,2
2009-02,20,2,7,56,3
2009-03,19,3,7,49,2
2009-04,15,3,7,45,4
2009-05,15,3,5,44,4
2009-06,17,3,6,40,3
2009-07,14,2,5,43,4
2009-08,13,4,7,47,5
2009-09,14,7,7,51,3
2009-10,13,4,8,53,3
2009-11,14,3,7,54,3
2009-12,13,1,6,53,4
2010-01,21,2,6,61,3
2010-02,15,3,6,55,3
2010-03,13,3,7,55,3
2010-04,14,3,7,49,3
2010-05,14,3,7,48,3
2010-06,13,2,7,44,4
2010-07,8,2,6,44,6
2010-08,11,4,5,46,6
2010-09,12,7,7,47,3
2010-10,12,5,8,47,3
2010-11,12,3,7,46,2
2010-12,12,2,8,44,2
2011-01,17,4,8,57,3
2011-02,15,4,7,48,3
2011-03,14,3,7,45,3
2011-04,13,3,7,40,4
2011-05,13,4,7,41,4
2011-06,13,3,8,44,4
2011-07,12,3,8,47,6
2011-08,12,5,7,51,8
2011-09,13,9,9,50,3
2011-10,12,5,9,47,3
2011-11,19,4,9,49,3
2011-12,17,3,11,52,3
2012-01,20,5,10,56,4
2012-02,15,4,8,49,3
2012-03,18,4,10,47,3
2012-04,12,4,9,41,4
2012-05,14,4,8,39,4
2012-06,15,4,8,35,4
2012-07,11,4,10,42,7
2012-08,9,5,8,43,7
2012-09,11,11,10,43,4
2012-10,16,7,9,37,4
2012-11,13,5,8,39,3
2012-12,11,4,8,33,4
2013-01,17,4,8,38,4
2013-02,14,4,7,33,3
2013-03,12,4,7,37,4
2013-04,15,4,8,37,5
2013-05,14,4,7,35,4
2013-06,12,4,8,36,6
2013-07,9,4,9,37,7
2013-08,8,5,9,38,8
2013-09,10,12,12,38,5
2013-10,13,6,13,38,4
2013-11,16,5,11,40,4
2013-12,12,4,16,35,6
2014-01,18,6,20,38,7
2014-02,15,4,15,38,6
2014-03,14,5,17,40,6
2014-04,16,4,17,39,7
2014-05,15,5,20,36,6
2014-06,13,5,16,34,6
2014-07,10,5,14,50,8
2014-08,12,6,12,40,11
2014-09,11,12,17,39,6
2014-10,12,7,15,38,5
2014-11,11,5,15,38,5
2014-12,12,3,13,34,5
2015-01,17,5,11,42,6
2015-02,14,5,13,40,5
