Categoria: Tutte le categorie

Mese,Inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),tasso BCE: (Italia),spread BTP Bund: (Italia)
2004-01,55,0,0,0,0
2004-02,63,0,0,0,0
2004-03,47,0,0,0,0
2004-04,45,0,0,0,0
2004-05,43,0,0,0,0
2004-06,32,0,0,0,0
2004-07,29,0,0,0,0
2004-08,27,0,0,0,0
2004-09,38,0,0,0,0
2004-10,36,0,0,0,0
2004-11,38,7,0,0,0
2004-12,39,0,0,0,0
2005-01,54,0,0,6,0
2005-02,39,0,0,0,0
2005-03,33,0,0,0,0
2005-04,29,0,0,0,0
2005-05,31,0,0,0,0
2005-06,27,0,0,0,0
2005-07,22,5,0,0,0
2005-08,20,0,0,0,0
2005-09,31,0,0,0,0
2005-10,28,0,0,4,0
2005-11,28,5,0,6,0
2005-12,30,0,0,0,0
2006-01,40,0,0,0,0
2006-02,33,4,0,4,0
2006-03,32,6,0,8,0
2006-04,25,5,0,0,0
2006-05,29,4,0,3,0
2006-06,32,0,0,5,0
2006-07,17,0,0,7,0
2006-08,23,0,0,7,0
2006-09,28,0,0,3,0
2006-10,29,0,0,9,0
2006-11,24,3,0,5,0
2006-12,23,3,0,7,0
2007-01,37,2,0,8,0
2007-02,29,3,0,4,0
2007-03,24,0,0,7,0
2007-04,22,3,0,6,0
2007-05,22,3,0,5,0
2007-06,24,3,0,7,0
2007-07,18,0,0,7,0
2007-08,17,2,0,7,0
2007-09,24,0,0,7,0
2007-10,22,2,0,6,0
2007-11,24,2,0,8,0
2007-12,28,3,0,7,0
2008-01,39,3,0,10,0
2008-02,35,3,0,7,0
2008-03,29,3,0,5,0
2008-04,30,3,0,4,0
2008-05,29,4,0,4,0
2008-06,33,4,0,6,0
2008-07,33,2,0,8,0
2008-08,26,2,0,4,0
2008-09,32,3,0,5,0
2008-10,32,3,0,14,0
2008-11,26,2,0,21,0
2008-12,24,3,0,25,3
2009-01,35,3,0,30,0
2009-02,27,2,1,18,0
2009-03,25,2,2,20,0
2009-04,19,3,0,15,0
2009-05,21,3,0,14,0
2009-06,23,4,0,11,0
2009-07,18,2,0,11,0
2009-08,17,1,0,7,0
2009-09,19,2,0,8,0
2009-10,18,2,0,9,0
2009-11,19,2,0,8,0
2009-12,18,2,0,6,0
2010-01,29,3,0,11,0
2010-02,20,3,0,8,0
2010-03,18,2,0,6,0
2010-04,19,2,0,6,0
2010-05,19,3,0,6,0
2010-06,18,3,0,4,0
2010-07,12,1,0,6,0
2010-08,14,1,0,4,0
2010-09,16,2,0,5,0
2010-10,17,2,2,6,0
2010-11,16,2,2,5,1
2010-12,17,1,1,3,2
2011-01,22,2,< 1,6,1
2011-02,20,2,1,6,1
2011-03,19,2,0,7,1
2011-04,17,2,< 1,8,1
2011-05,18,2,1,5,0
2011-06,18,3,1,5,1
2011-07,17,2,1,8,9
2011-08,16,1,2,8,16
2011-09,18,2,1,8,23
2011-10,17,1,0,7,15
2011-11,26,2,2,11,100
2011-12,23,2,2,9,64
2012-01,27,3,1,9,43
2012-02,20,2,1,6,41
2012-03,25,2,1,5,39
2012-04,16,2,1,3,35
2012-05,20,3,1,4,32
2012-06,21,4,1,3,35
2012-07,15,2,1,6,43
2012-08,13,1,2,3,36
2012-09,16,2,2,4,29
2012-10,21,2,1,3,23
2012-11,17,2,1,3,15
2012-12,15,2,1,3,22
2013-01,23,3,1,4,17
2013-02,19,3,1,3,15
2013-03,16,2,< 1,2,11
2013-04,20,2,1,4,12
2013-05,19,3,1,5,11
2013-06,17,3,2,3,9
2013-07,13,2,1,3,9
2013-08,10,1,1,2,9
2013-09,14,2,2,2,8
2013-10,18,2,1,3,9
2013-11,21,2,1,5,5
2013-12,16,2,1,3,6
2014-01,24,3,1,3,7
2014-02,20,2,1,3,8
2014-03,19,2,1,3,8
2014-04,21,2,3,2,6
2014-05,20,3,2,3,7
2014-06,18,3,2,6,6
2014-07,13,2,1,3,5
2014-08,16,2,2,2,4
2014-09,16,2,3,5,5
2014-10,16,2,2,4,5
2014-11,14,2,3,2,4
2014-12,16,2,4,2,5
2015-01,23,3,20,3,4
2015-02,19,3,6,3,5
2015-03,19,2,15,3,6
2015-04,16,2,6,3,5
2015-05,18,2,5,2,5
2015-06,16,3,4,2,7
2015-07,12,2,3,2,6
2015-08,10,1,2,1,4
2015-09,12,2,3,2,3
2015-10,14,2,3,2,3
2015-11,15,2,3,2,3
2015-12,16,2,3,2,3
2016-01,18,3,2,2,2
2016-02,19,3,3,2,4
2016-03,14,3,3,4,3
2016-04,15,2,2,2,2
2016-05,14,3,2,2,3
2016-06,13,3,2,1,4
2016-07,9,2,1,1,3
2016-08,7,1,1,1,1
2016-09,11,2,2,1,2
2016-10,12,2,3,1,3
2016-11,13,2,2,1,8
2016-12,13,2,3,1,7
2017-01,21,2,2,2,4
2017-02,18,2,2,1,6
2017-03,18,1,2,1,4
2017-04,18,2,1,1,4
2017-05,18,2,2,1,3
2017-06,13,3,2,1,5
2017-07,9,2,2,1,4
2017-08,9,1,3,1,4
2017-09,12,2,3,1,4
2017-10,12,2,3,1,3
2017-11,15,2,2,1,5
2017-12,13,2,2,1,4
2018-01,19,2,2,1,5
2018-02,19,3,2,2,4
2018-03,15,2,2,1,6
2018-04,15,2,2,1,4
2018-05,21,3,6,2,30
2018-06,15,3,9,1,23
2018-07,10,2,2,1,9
2018-08,12,2,2,1,16
2018-09,14,2,3,1,22
2018-10,16,2,5,1,55
2018-11,17,3,3,1,34
2018-12,14,2,3,1,26
2019-01,19,2,2,1,17
2019-02,18,2,2,1,17
2019-03,15,2,1,1,14
2019-04,14,1,1,1,11
2019-05,15,2,2,1,18
2019-06,16,3,3,1,20
2019-07,11,2,1,1,34
2019-08,9,1,2,1,33
2019-09,12,2,6,1,22
2019-10,14,2,2,1,13
2019-11,13,2,2,1,12
2019-12,13,2,1,1,10
2020-01,17,2,1,1,12
2020-02,14,2,1,1,10
2020-03,21,3,8,2,32
2020-04,27,3,4,1,22
2020-05,28,4,5,1,16
2020-06,16,3,2,1,14
2020-07,10,2,1,1,12
2020-08,11,1,1,1,8
2020-09,12,2,1,1,8
2020-10,12,2,1,1,9
2020-11,16,2,1,1,8
2020-12,14,2,1,1,6
2021-01,19,2,1,1,7
2021-02,24,3,6,1,13
2021-03,24,2,1,1,7
2021-04,20,2,1,1,6
2021-05,25,3,1,1,6
2021-06,19,2,1,1,6
2021-07,15,1,1,1,5
2021-08,12,1,1,< 1,5
2021-09,20,2,1,1,5
2021-10,26,2,1,1,5
2021-11,34,2,1,1,7
2021-12,35,2,1,1,6
2022-01,40,2,1,1,6
2022-02,46,3,1,1,10
2022-03,47,3,1,1,7
2022-04,39,2,1,1,6
2022-05,51,3,2,2,9
2022-06,61,3,2,3,16
2022-07,56,2,1,4,16
2022-08,43,1,1,2,11
2022-09,55,2,1,8,12
2022-10,56,3,1,6,12
2022-11,64,2,1,6,12
2022-12,46,2,1,6,11
2023-01,68,3,1,6,12
2023-02,58,2,1,8,11
2023-03,62,2,1,8,10
2023-04,43,2,1,4,6
2023-05,49,3,1,5,6
2023-06,48,3,1,5,8
2023-07,45,2,1,6,8
2023-08,47,1,< 1,4,7
