Categoria: Tutte le categorie

Mese,Inflazione: (Italia),Carrello della spesa: (Italia),Determinazione dei prezzi: (Italia),Costo della vita: (Italia),Potere d'acquisto: (Italia)
2004-01,56,8,14,11,0
2004-02,61,9,16,17,0
2004-03,58,0,17,0,0
2004-04,48,0,20,16,0
2004-05,50,0,16,13,0
2004-06,36,0,14,14,0
2004-07,29,0,11,13,0
2004-08,31,0,0,9,0
2004-09,41,8,12,12,0
2004-10,40,0,13,8,0
2004-11,46,0,19,12,0
2004-12,40,5,9,12,0
2005-01,55,5,11,12,0
2005-02,45,8,9,12,0
2005-03,35,7,12,12,0
2005-04,35,0,11,12,0
2005-05,34,7,15,10,0
2005-06,33,6,18,12,0
2005-07,28,5,11,14,0
2005-08,21,0,7,12,0
2005-09,37,4,10,9,0
2005-10,31,7,11,6,0
2005-11,28,6,15,11,3
2005-12,33,6,10,9,0
2006-01,42,5,6,12,0
2006-02,37,0,9,13,0
2006-03,36,4,11,10,3
2006-04,27,4,12,8,0
2006-05,32,5,9,7,3
2006-06,31,4,9,7,0
2006-07,19,5,10,10,0
2006-08,23,4,7,12,0
2006-09,29,5,8,7,0
2006-10,30,4,8,8,0
2006-11,24,5,8,8,0
2006-12,27,4,7,6,0
2007-01,37,4,9,11,0
2007-02,32,3,7,7,2
2007-03,26,4,9,8,2
2007-04,21,3,7,7,0
2007-05,24,3,8,6,0
2007-06,25,3,8,6,2
2007-07,19,3,6,10,0
2007-08,18,3,6,11,0
2007-09,25,4,6,6,2
2007-10,23,3,9,8,0
2007-11,25,4,7,8,0
2007-12,28,3,5,7,0
2008-01,39,4,7,10,2
2008-02,34,5,6,7,2
2008-03,30,3,5,8,0
2008-04,32,3,7,8,1
2008-05,30,4,7,8,1
2008-06,33,3,8,9,2
2008-07,34,2,7,9,0
2008-08,27,3,4,10,0
2008-09,34,4,6,7,1
2008-10,32,2,7,7,1
2008-11,27,3,7,5,1
2008-12,25,3,7,5,1
2009-01,36,3,5,7,1
2009-02,28,3,7,6,1
2009-03,27,3,7,6,0
2009-04,22,3,7,7,1
2009-05,24,4,5,7,1
2009-06,25,3,7,7,1
2009-07,21,3,5,7,1
2009-08,18,2,4,8,0
2009-09,21,3,6,5,1
2009-10,20,3,6,7,1
2009-11,20,3,5,6,1
2009-12,20,3,4,4,0
2010-01,30,3,5,6,1
2010-02,23,3,6,8,0
2010-03,20,3,6,6,1
2010-04,22,3,6,6,1
2010-05,21,2,6,6,1
2010-06,21,3,6,6,1
2010-07,14,2,6,7,1
2010-08,17,3,5,8,0
2010-09,18,3,7,6,1
2010-10,20,3,10,6,1
2010-11,20,4,8,6,0
2010-12,20,3,12,6,0
2011-01,24,3,6,7,1
2011-02,22,3,7,7,1
2011-03,21,3,6,6,1
2011-04,18,3,7,5,< 1
2011-05,20,2,6,7,1
2011-06,20,3,7,7,< 1
2011-07,17,2,6,9,1
2011-08,17,3,5,8,1
2011-09,19,3,7,6,1
2011-10,19,3,7,6,1
2011-11,27,3,6,7,1
2011-12,23,4,5,8,1
2012-01,27,3,6,8,1
2012-02,21,3,7,8,1
2012-03,27,4,7,8,1
2012-04,17,3,6,9,1
2012-05,21,3,6,8,1
2012-06,21,3,7,8,1
2012-07,17,4,6,10,1
2012-08,13,3,4,10,1
2012-09,17,3,7,8,1
2012-10,22,3,7,7,1
2012-11,18,3,7,7,1
2012-12,17,3,5,7,1
2013-01,24,3,6,10,1
2013-02,19,3,6,9,1
2013-03,17,3,6,8,1
2013-04,21,4,7,8,1
2013-05,21,4,7,8,1
2013-06,18,5,6,8,1
2013-07,15,3,6,9,1
2013-08,11,3,4,9,< 1
2013-09,15,3,7,8,1
2013-10,18,4,7,8,1
2013-11,23,4,7,8,1
2013-12,17,4,6,8,1
2014-01,26,3,7,14,1
2014-02,21,4,7,12,1
2014-03,20,3,7,10,1
2014-04,22,3,6,9,1
2014-05,21,3,7,9,1
2014-06,19,3,8,9,1
2014-07,15,3,7,10,1
2014-08,18,2,5,12,0
2014-09,17,4,8,9,1
2014-10,18,4,7,8,1
2014-11,16,4,8,8,1
2014-12,17,4,6,9,1
2015-01,25,3,8,10,1
2015-02,21,3,8,10,1
2015-03,21,4,8,10,1
2015-04,17,4,8,9,1
2015-05,20,4,8,10,1
2015-06,17,3,8,10,1
2015-07,14,3,8,12,1
2015-08,12,4,5,11,1
2015-09,14,4,8,9,< 1
2015-10,16,5,8,9,1
2015-11,16,4,8,8,1
2015-12,17,5,7,9,1
2016-01,23,4,7,10,2
2016-02,22,5,9,9,1
2016-03,19,5,9,9,1
2016-04,18,5,10,11,2
2016-05,18,4,9,9,2
2016-06,17,4,8,9,1
2016-07,11,4,7,9,1
2016-08,10,4,5,10,1
2016-09,15,5,15,9,1
2016-10,16,6,16,10,1
2016-11,19,5,17,3,1
2016-12,19,6,14,3,1
2017-01,26,5,8,7,2
2017-02,24,5,9,4,2
2017-03,23,5,10,6,2
2017-04,22,5,10,9,2
2017-05,25,4,10,8,2
2017-06,19,4,10,8,2
2017-07,13,5,9,9,1
2017-08,13,5,7,10,1
2017-09,17,7,9,9,1
2017-10,17,8,10,8,2
2017-11,19,7,9,8,1
2017-12,18,8,9,9,1
2018-01,24,7,9,11,2
2018-02,24,6,8,9,1
2018-03,19,7,5,9,2
2018-04,18,6,5,8,1
2018-05,26,7,5,8,2
2018-06,19,6,5,9,1
2018-07,15,6,5,9,3
2018-08,16,6,3,10,2
2018-09,19,7,3,8,2
2018-10,20,7,4,6,2
2018-11,22,8,5,8,2
2018-12,19,8,4,8,2
2019-01,23,9,5,10,2
2019-02,22,7,5,8,2
2019-03,20,6,4,8,2
2019-04,18,6,4,8,2
2019-05,20,6,4,8,2
2019-06,21,6,4,9,1
2019-07,16,5,1,9,1
2019-08,13,6,1,10,1
2019-09,17,7,1,9,1
2019-10,19,6,1,9,2
2019-11,18,6,2,8,2
2019-12,17,7,3,8,1
2020-01,20,5,5,9,2
2020-02,18,6,5,7,1
2020-03,24,9,3,5,2
2020-04,29,12,6,5,2
2020-05,33,11,10,5,2
2020-06,20,8,9,6,2
2020-07,15,7,8,6,1
2020-08,16,7,6,7,1
2020-09,16,7,9,6,1
2020-10,17,7,7,5,1
2020-11,20,10,7,5,2
2020-12,19,9,7,6,2
2021-01,24,8,7,6,2
2021-02,30,8,10,6,1
2021-03,30,8,10,6,2
2021-04,28,7,9,6,2
2021-05,35,7,9,6,2
2021-06,27,6,9,7,1
2021-07,21,6,8,7,1
2021-08,18,7,5,8,1
2021-09,26,8,10,7,1
2021-10,33,7,9,6,2
2021-11,45,7,11,7,2
2021-12,42,7,9,6,2
2022-01,53,7,13,9,2
2022-02,61,5,14,11,2
2022-03,66,6,15,13,3
2022-04,59,7,14,11,2
2022-05,67,6,15,11,2
2022-06,79,6,13,12,3
2022-07,78,6,12,12,2
2022-08,59,6,10,13,2
2022-09,69,7,13,11,2
2022-10,74,7,14,9,2
2022-11,77,7,15,9,2
2022-12,65,8,11,9,2
2023-01,81,7,15,12,2
2023-02,70,7,15,10,2
2023-03,80,6,17,11,2
2023-04,57,6,15,11,2
2023-05,63,6,16,10,2
2023-06,65,8,16,10,2
2023-07,57,7,15,11,2
2023-08,58,6,11,13,2
2023-09,70,7,16,10,2
2023-10,100,9,18,10,2
2023-11,67,7,18,10,2
2023-12,50,8,15,10,2
2024-01,60,6,17,12,3
2024-02,53,6,22,11,2
2024-03,46,6,22,10,2
2024-04,44,6,20,10,2
2024-05,47,6,21,10,3
2024-06,38,5,20,9,2
2024-07,37,6,20,10,2
2024-08,37,6,16,11,2
2024-09,40,6,22,10,2
2024-10,41,7,25,9,3
2024-11,48,7,23,10,3
2024-12,43,8,20,9,2
