Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo pane: (Italia),prezzo latte: (Italia),prezzo pasta: (Italia),prezzo olio: (Italia)
2004-01,62,0,11,0,0
2004-02,67,0,0,0,0
2004-03,54,0,0,0,0
2004-04,52,0,0,0,0
2004-05,45,0,0,0,0
2004-06,35,0,0,0,0
2004-07,30,0,0,0,0
2004-08,29,0,0,0,0
2004-09,45,0,0,0,0
2004-10,43,0,0,0,0
2004-11,42,0,8,0,0
2004-12,44,0,0,0,0
2005-01,53,0,0,0,0
2005-02,52,0,0,0,0
2005-03,36,0,0,0,16
2005-04,34,0,0,0,9
2005-05,35,0,0,0,6
2005-06,33,0,0,0,0
2005-07,28,0,0,0,6
2005-08,21,0,0,0,7
2005-09,36,0,0,0,0
2005-10,32,0,0,0,5
2005-11,31,0,0,0,6
2005-12,33,0,0,0,7
2006-01,46,0,0,0,0
2006-02,38,0,5,0,6
2006-03,37,0,0,0,4
2006-04,25,0,0,0,6
2006-05,34,0,0,0,6
2006-06,35,0,0,0,4
2006-07,18,0,0,0,7
2006-08,25,0,0,0,0
2006-09,30,0,3,3,7
2006-10,31,0,0,0,6
2006-11,29,0,0,0,6
2006-12,26,0,0,0,6
2007-01,42,0,0,0,7
2007-02,34,0,3,0,4
2007-03,29,3,4,0,3
2007-04,24,0,2,0,4
2007-05,25,0,0,0,5
2007-06,28,0,0,0,3
2007-07,20,0,3,2,4
2007-08,19,3,6,0,6
2007-09,26,4,5,2,6
2007-10,24,3,3,2,6
2007-11,27,4,4,2,8
2007-12,31,2,3,0,5
2008-01,45,2,4,2,5
2008-02,39,2,4,0,7
2008-03,33,2,5,2,6
2008-04,34,3,5,1,6
2008-05,33,2,3,0,7
2008-06,38,2,5,2,8
2008-07,37,0,4,0,6
2008-08,28,2,2,0,4
2008-09,37,2,3,2,4
2008-10,37,2,4,3,7
2008-11,29,3,3,2,8
2008-12,28,2,3,3,6
2009-01,40,1,2,0,6
2009-02,31,1,3,0,4
2009-03,29,2,3,2,7
2009-04,23,1,3,2,6
2009-05,24,1,2,1,6
2009-06,27,0,3,1,5
2009-07,20,1,3,2,6
2009-08,19,2,3,2,6
2009-09,22,1,4,2,6
2009-10,20,1,4,2,10
2009-11,22,0,4,3,9
2009-12,21,2,4,2,9
2010-01,32,2,4,2,7
2010-02,23,0,4,3,8
2010-03,20,2,5,2,9
2010-04,21,1,4,2,9
2010-05,21,2,3,2,8
2010-06,20,0,4,2,8
2010-07,13,0,5,2,9
2010-08,16,1,5,2,8
2010-09,18,1,4,3,8
2010-10,19,2,4,2,9
2010-11,19,2,5,4,11
2010-12,19,2,4,4,11
2011-01,25,2,5,3,12
2011-02,23,2,5,3,11
2011-03,22,2,4,4,12
2011-04,19,2,4,3,11
2011-05,19,1,5,3,11
2011-06,21,1,5,3,11
2011-07,18,1,4,3,11
2011-08,18,2,5,4,11
2011-09,19,2,5,4,11
2011-10,18,2,5,4,12
2011-11,29,2,5,6,14
2011-12,26,3,5,7,14
2012-01,30,2,5,5,14
2012-02,23,2,6,5,13
2012-03,28,2,7,6,15
2012-04,19,2,7,5,14
2012-05,23,1,7,5,14
2012-06,23,2,7,5,15
2012-07,18,2,7,4,13
2012-08,14,2,6,6,16
2012-09,17,3,7,6,15
2012-10,24,2,7,6,16
2012-11,20,2,7,7,18
2012-12,17,2,8,9,15
2013-01,26,2,7,7,15
2013-02,21,3,8,7,15
2013-03,19,2,8,8,16
2013-04,23,3,8,7,19
2013-05,21,2,8,7,19
2013-06,19,2,8,7,19
2013-07,14,2,9,5,17
2013-08,12,2,7,6,19
2013-09,15,2,9,7,19
2013-10,20,3,7,7,20
2013-11,24,3,8,8,27
2013-12,19,3,9,10,22
2014-01,28,3,10,7,21
2014-02,23,2,8,7,22
2014-03,22,3,10,8,25
2014-04,24,3,10,8,26
2014-05,23,3,9,8,27
2014-06,20,3,8,6,24
2014-07,15,2,9,7,24
2014-08,19,2,10,7,25
2014-09,18,3,10,8,24
2014-10,18,4,10,8,29
2014-11,16,3,11,10,33
2014-12,18,4,12,11,28
2015-01,26,4,12,9,28
2015-02,21,3,12,10,25
2015-03,21,4,12,9,30
2015-04,17,3,11,8,28
2015-05,20,3,10,9,29
2015-06,18,2,10,7,26
2015-07,13,2,10,6,28
2015-08,11,3,10,6,27
2015-09,14,3,9,8,26
2015-10,16,3,10,10,34
2015-11,17,4,13,10,43
2015-12,18,4,10,11,33
2016-01,20,4,11,10,35
2016-02,21,4,11,11,32
2016-03,16,3,12,9,31
2016-04,17,3,13,8,30
2016-05,16,3,12,9,29
2016-06,15,3,11,7,27
2016-07,10,2,9,7,26
2016-08,8,2,10,7,23
2016-09,12,3,10,8,25
2016-10,13,3,12,10,34
2016-11,15,4,12,10,35
2016-12,15,4,12,12,29
2017-01,24,3,12,9,32
2017-02,21,3,12,8,29
2017-03,20,3,10,9,27
2017-04,20,3,10,8,26
2017-05,20,3,9,8,25
2017-06,15,2,9,7,26
2017-07,11,2,9,8,26
2017-08,10,2,9,7,27
2017-09,14,3,9,9,25
2017-10,14,3,9,9,35
2017-11,17,3,11,10,41
2017-12,15,3,9,11,31
2018-01,22,3,10,9,29
2018-02,22,4,11,9,28
2018-03,17,3,11,9,25
2018-04,17,3,10,7,26
2018-05,24,2,9,8,24
2018-06,18,2,9,7,24
2018-07,11,2,8,7,23
2018-08,14,2,8,8,22
2018-09,16,2,8,8,24
2018-10,18,3,9,9,30
2018-11,19,3,10,9,34
2018-12,16,3,9,10,25
2019-01,22,3,9,9,24
2019-02,21,3,24,8,21
2019-03,17,3,10,8,22
2019-04,16,3,9,8,21
2019-05,17,3,9,8,22
2019-06,18,2,8,6,19
2019-07,12,2,9,6,20
2019-08,10,2,8,7,20
2019-09,13,2,8,7,22
2019-10,16,3,10,8,29
2019-11,15,3,10,9,34
2019-12,15,3,9,11,28
2020-01,19,4,9,9,24
2020-02,16,3,9,8,23
2020-03,24,4,10,8,17
2020-04,31,7,13,13,24
2020-05,31,4,10,10,26
2020-06,18,3,9,9,26
2020-07,11,2,9,8,23
2020-08,12,3,9,8,23
2020-09,13,3,9,9,24
2020-10,14,3,9,10,32
2020-11,18,4,10,11,34
2020-12,16,3,9,14,28
2021-01,21,4,10,11,26
2021-02,28,3,9,11,26
2021-03,28,3,10,10,25
2021-04,22,3,10,10,24
2021-05,29,3,8,9,23
2021-06,22,2,8,8,23
2021-07,16,2,7,7,22
2021-08,13,3,8,8,22
2021-09,22,4,8,8,25
2021-10,29,4,9,8,30
2021-11,39,3,9,9,35
2021-12,40,3,8,11,27
2022-01,46,3,9,11,24
2022-02,52,4,10,10,24
2022-03,53,7,12,15,36
2022-04,44,4,11,11,30
2022-05,55,4,10,9,31
2022-06,67,3,10,10,28
2022-07,64,3,10,8,26
