Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo benzina: (Italia),prezzo diesel: (Italia),bolletta luce: (Italia),bolletta gas: (Italia)
2004-01,18,7,3,0,0
2004-02,19,7,0,0,0
2004-03,16,7,0,0,0
2004-04,15,3,3,0,0
2004-05,13,6,3,0,0
2004-06,10,9,0,0,0
2004-07,9,7,4,0,0
2004-08,8,12,0,0,0
2004-09,13,8,2,0,0
2004-10,13,6,0,0,0
2004-11,12,8,0,0,0
2004-12,13,8,2,0,0
2005-01,16,5,0,0,0
2005-02,15,6,0,0,0
2005-03,11,7,3,0,0
2005-04,10,6,0,0,0
2005-05,10,5,2,0,0
2005-06,10,8,0,0,0
2005-07,8,8,2,0,0
2005-08,6,9,2,0,0
2005-09,10,9,2,0,0
2005-10,9,6,0,0,0
2005-11,9,4,0,0,0
2005-12,10,5,2,0,0
2006-01,13,5,1,0,1
2006-02,11,6,2,0,0
2006-03,11,5,2,0,0
2006-04,7,6,1,0,1
2006-05,10,8,2,0,0
2006-06,10,5,2,0,0
2006-07,5,8,1,0,0
2006-08,7,6,2,0,0
2006-09,9,7,1,0,0
2006-10,9,5,1,0,0
2006-11,8,4,2,0,1
2006-12,8,4,1,0,0
2007-01,12,6,1,0,0
2007-02,10,5,2,0,0
2007-03,8,3,1,0,0
2007-04,7,5,2,0,1
2007-05,7,5,2,0,0
2007-06,8,4,1,0,0
2007-07,6,6,2,0,0
2007-08,6,7,2,0,0
2007-09,8,4,2,0,1
2007-10,7,4,2,0,1
2007-11,8,6,2,0,1
2007-12,9,6,2,0,1
2008-01,13,6,2,0,1
2008-02,11,6,2,1,2
2008-03,10,6,2,< 1,1
2008-04,10,5,2,< 1,1
2008-05,9,10,2,0,1
2008-06,11,9,2,0,1
2008-07,11,8,2,< 1,1
2008-08,8,9,1,0,1
2008-09,11,7,2,1,1
2008-10,11,10,2,0,1
2008-11,8,9,1,1,1
2008-12,8,10,2,0,1
2009-01,12,7,1,1,1
2009-02,9,5,2,1,1
2009-03,8,5,1,1,2
2009-04,7,5,2,< 1,1
2009-05,7,5,2,0,1
2009-06,8,5,2,0,1
2009-07,6,5,2,0,1
2009-08,6,6,2,< 1,1
2009-09,6,4,2,< 1,1
2009-10,6,4,2,0,1
2009-11,6,4,2,< 1,2
2009-12,6,4,2,< 1,2
2010-01,9,4,3,< 1,2
2010-02,7,3,2,1,2
2010-03,6,4,2,< 1,2
2010-04,6,6,2,< 1,2
2010-05,6,5,2,< 1,1
2010-06,6,4,2,< 1,1
2010-07,4,5,2,< 1,1
2010-08,5,4,3,1,1
2010-09,5,3,3,< 1,1
2010-10,6,3,2,< 1,1
2010-11,6,3,2,1,1
2010-12,6,4,3,< 1,1
2011-01,7,5,3,< 1,2
2011-02,7,6,3,< 1,2
2011-03,6,7,3,< 1,2
2011-04,6,6,3,< 1,2
2011-05,6,6,3,< 1,2
2011-06,6,6,2,1,2
2011-07,5,7,3,< 1,1
2011-08,5,8,3,< 1,1
2011-09,6,6,3,< 1,1
2011-10,5,5,4,1,1
2011-11,9,5,3,1,2
2011-12,8,11,5,1,2
2012-01,9,11,4,1,2
2012-02,7,9,4,1,2
2012-03,8,12,4,1,2
2012-04,5,8,4,1,2
2012-05,7,8,3,1,2
2012-06,7,10,3,1,2
2012-07,5,9,4,1,2
2012-08,4,12,4,1,1
2012-09,5,9,4,1,2
2012-10,7,5,3,1,2
2012-11,6,5,4,1,2
2012-12,5,4,3,1,2
2013-01,8,4,4,1,3
2013-02,6,4,3,1,3
2013-03,5,4,4,1,3
2013-04,7,4,4,1,2
2013-05,6,4,3,1,3
2013-06,6,4,3,1,2
2013-07,4,5,4,1,2
2013-08,3,5,4,1,2
2013-09,4,5,4,1,2
2013-10,6,4,4,1,2
2013-11,7,4,4,1,2
2013-12,5,4,5,1,2
2014-01,8,4,5,1,3
2014-02,7,4,4,1,3
2014-03,6,4,4,1,3
2014-04,7,4,5,1,2
2014-05,7,4,4,1,2
2014-06,6,4,4,1,2
2014-07,4,5,4,1,2
2014-08,5,5,5,1,2
2014-09,5,5,5,1,2
2014-10,5,4,5,1,2
2014-11,5,5,5,2,2
2014-12,5,8,6,1,2
2015-01,8,9,6,1,2
2015-02,6,6,6,1,3
2015-03,6,5,6,1,3
2015-04,5,5,6,1,2
2015-05,6,4,5,1,2
2015-06,5,5,5,1,2
2015-07,4,6,5,1,2
2015-08,3,7,6,1,1
2015-09,4,6,7,1,2
2015-10,5,5,7,2,2
2015-11,5,5,7,2,2
2015-12,5,6,7,2,3
2016-01,6,8,8,3,3
2016-02,6,5,7,2,4
2016-03,5,4,6,2,3
2016-04,5,5,6,2,3
2016-05,5,5,6,2,3
2016-06,4,4,5,1,2
2016-07,3,5,5,2,2
2016-08,2,5,5,2,2
2016-09,3,4,6,2,2
2016-10,4,4,6,2,2
2016-11,5,4,6,1,2
2016-12,4,5,6,1,2
2017-01,7,5,7,2,3
2017-02,6,5,7,2,3
2017-03,6,5,7,2,3
2017-04,6,5,6,2,3
2017-05,6,4,5,2,2
2017-06,4,4,6,2,2
2017-07,3,5,6,1,2
2017-08,3,5,6,1,2
2017-09,4,5,7,1,2
2017-10,4,5,7,2,2
2017-11,5,5,6,2,2
2017-12,4,4,7,2,3
2018-01,6,5,7,2,3
2018-02,6,5,7,6,4
2018-03,5,5,6,2,3
2018-04,5,5,5,2,3
2018-05,7,7,5,2,3
2018-06,5,7,5,2,2
2018-07,3,7,6,2,2
2018-08,4,7,5,1,2
2018-09,5,7,6,2,2
2018-10,5,8,7,2,2
2018-11,6,9,6,2,3
2018-12,5,8,5,2,3
2019-01,6,8,6,2,3
2019-02,6,7,5,3,4
2019-03,5,6,5,3,4
2019-04,5,8,5,2,3
2019-05,5,6,5,2,3
2019-06,5,6,5,2,2
2019-07,3,6,5,2,2
2019-08,3,7,6,2,2
2019-09,4,7,6,3,2
2019-10,5,7,6,3,2
2019-11,4,6,6,2,3
2019-12,4,5,6,2,3
2020-01,5,8,7,3,3
2020-02,5,7,6,3,3
2020-03,7,10,4,3,4
2020-04,9,15,4,3,4
2020-05,9,8,5,3,3
2020-06,5,8,7,3,2
2020-07,3,8,7,2,2
2020-08,3,8,8,2,2
2020-09,4,8,7,2,2
2020-10,4,6,6,2,2
2020-11,5,5,5,3,2
2020-12,5,5,5,3,3
2021-01,6,7,6,3,4
2021-02,8,7,7,3,4
2021-03,8,7,6,3,4
2021-04,7,6,6,3,3
2021-05,8,7,6,3,2
2021-06,6,7,5,2,2
2021-07,5,9,7,2,2
2021-08,4,8,7,2,2
2021-09,6,9,7,4,3
2021-10,9,14,9,3,3
2021-11,11,9,7,3,3
2021-12,12,7,6,4,4
2022-01,13,9,8,5,6
2022-02,15,20,11,7,9
2022-03,16,100,24,7,9
2022-04,13,15,9,5,6
2022-05,16,14,8,4,4
2022-06,19,30,10,4,3
2022-07,19,18,10,4,3
2022-08,16,16,11,5,4
2022-09,18,14,10,8,6
2022-10,19,14,10,8,6
2022-11,22,12,9,6,5
2022-12,16,12,8,5,5
2023-01,23,28,11,6,7
2023-02,19,14,10,6,7
2023-03,21,11,9,5,5
2023-04,15,12,9,4,4
2023-05,16,11,9,4,4
2023-06,16,11,8,4,3
2023-07,15,14,10,4,3
2023-08,15,24,12,4,3
2023-09,18,18,11,5,3
2023-10,29,15,10,5,4
2023-11,18,13,10,5,4
2023-12,13,13,10,5,5
2024-01,16,13,10,6,8
2024-02,14,12,10,5,8
2024-03,13,12,8,5,7
2024-04,13,12,8,4,5
2024-05,12,11,9,4,4
2024-06,11,11,8,4,3
2024-07,9,11,9,4,3
2024-08,9,12,9,4,3
2024-09,10,13,10,5,3
2024-10,11,12,10,5,3
2024-11,13,11,9,5,4
2024-12,11,10,9,4,4
