Categoria: Tutte le categorie

Mese,Inflazione: (Italia),affitto casa: (Italia),bolletta acqua: (Italia),assicurazione casa: (Italia),costo mutuo: (Italia)
2004-01,12,31,0,0,0
2004-02,13,23,0,0,0
2004-03,10,29,0,0,0
2004-04,10,25,0,0,0
2004-05,10,30,0,0,0
2004-06,7,32,0,3,0
2004-07,5,29,0,0,0
2004-08,4,37,0,0,0
2004-09,9,27,0,2,0
2004-10,9,22,0,2,0
2004-11,9,25,0,3,0
2004-12,9,23,0,2,0
2005-01,12,24,0,2,0
2005-02,11,24,0,2,0
2005-03,7,26,0,2,0
2005-04,8,28,0,1,0
2005-05,7,28,0,0,0
2005-06,6,29,0,2,0
2005-07,6,30,0,2,0
2005-08,4,30,0,2,0
2005-09,7,24,0,2,1
2005-10,6,19,0,3,0
2005-11,7,22,0,2,0
2005-12,7,17,0,2,0
2006-01,10,24,0,2,0
2006-02,7,23,0,2,0
2006-03,7,25,0,1,0
2006-04,5,27,0,1,0
2006-05,6,27,0,2,0
2006-06,7,27,0,2,0
2006-07,4,29,0,2,0
2006-08,4,27,0,2,0
2006-09,6,23,0,2,1
2006-10,6,21,1,2,1
2006-11,6,20,0,2,0
2006-12,5,18,0,1,0
2007-01,9,25,0,2,1
2007-02,7,25,0,2,1
2007-03,6,25,0,2,0
2007-04,5,29,0,1,1
2007-05,5,29,0,2,1
2007-06,5,30,< 1,2,1
2007-07,4,34,0,2,1
2007-08,4,30,0,2,0
2007-09,5,28,0,2,1
2007-10,5,23,0,2,1
2007-11,5,24,< 1,1,1
2007-12,6,21,< 1,1,1
2008-01,9,29,< 1,2,1
2008-02,8,30,< 1,1,1
2008-03,6,30,< 1,1,1
2008-04,7,30,< 1,2,1
2008-05,6,30,0,1,1
2008-06,7,35,< 1,1,1
2008-07,7,37,0,2,1
2008-08,6,37,0,2,< 1
2008-09,7,31,< 1,1,1
2008-10,7,25,< 1,2,1
2008-11,6,23,0,1,1
2008-12,6,21,< 1,1,< 1
2009-01,8,29,< 1,2,1
2009-02,6,28,< 1,2,1
2009-03,6,33,< 1,2,1
2009-04,5,29,0,3,1
2009-05,5,32,0,2,< 1
2009-06,5,33,0,2,1
2009-07,4,33,< 1,2,1
2009-08,4,32,0,1,1
2009-09,4,27,< 1,2,1
2009-10,4,21,< 1,2,1
2009-11,4,21,< 1,1,< 1
2009-12,4,17,0,1,< 1
2010-01,6,24,< 1,2,< 1
2010-02,5,24,< 1,2,1
2010-03,4,27,< 1,2,1
2010-04,4,28,< 1,2,1
2010-05,4,30,< 1,2,< 1
2010-06,4,32,< 1,2,1
2010-07,2,34,< 1,2,1
2010-08,3,32,< 1,1,1
2010-09,4,30,< 1,2,1
2010-10,4,23,0,2,< 1
2010-11,4,24,< 1,2,1
2010-12,4,19,< 1,1,< 1
2011-01,5,30,< 1,2,1
2011-02,4,30,< 1,2,1
2011-03,4,31,< 1,2,1
2011-04,4,31,< 1,2,1
2011-05,4,35,< 1,2,1
2011-06,4,40,1,2,1
2011-07,4,41,< 1,2,1
2011-08,4,38,< 1,2,1
2011-09,4,35,< 1,2,1
2011-10,4,28,< 1,2,1
2011-11,6,27,< 1,2,< 1
2011-12,5,24,< 1,2,< 1
2012-01,6,34,< 1,2,< 1
2012-02,5,33,< 1,2,1
2012-03,6,37,< 1,2,1
2012-04,4,37,< 1,2,< 1
2012-05,4,38,< 1,4,1
2012-06,5,47,< 1,3,1
2012-07,3,52,< 1,2,< 1
2012-08,3,45,< 1,2,< 1
2012-09,3,38,< 1,2,< 1
2012-10,5,32,1,2,< 1
2012-11,4,31,< 1,2,< 1
2012-12,3,26,< 1,2,< 1
2013-01,5,36,< 1,2,< 1
2013-02,4,35,1,2,< 1
2013-03,4,38,< 1,2,< 1
2013-04,5,42,< 1,2,< 1
2013-05,4,43,< 1,2,1
