Categoria: Tutte le categorie

Mese,Inflazione: (Italia),abbonamento treno: (Italia),abbonamento autobus: (Italia),pedaggio autostrada: (Italia),assicurazione auto: (Italia)
2004-01,31,0,0,0,71
2004-02,33,0,0,0,54
2004-03,27,0,0,7,55
2004-04,25,0,0,0,54
2004-05,26,0,0,0,51
2004-06,18,0,0,5,53
2004-07,14,0,0,7,52
2004-08,11,0,0,6,51
2004-09,22,4,0,7,52
2004-10,23,4,0,6,46
2004-11,22,4,0,0,45
2004-12,23,0,0,0,39
2005-01,30,5,0,4,52
2005-02,29,4,0,0,54
2005-03,19,3,0,3,49
2005-04,20,0,0,0,45
2005-05,17,0,0,3,44
2005-06,15,0,0,7,45
2005-07,14,0,0,6,43
2005-08,10,0,0,5,44
2005-09,18,4,0,3,43
2005-10,16,2,0,4,39
2005-11,18,0,0,0,42
2005-12,17,0,0,3,39
2006-01,25,3,0,3,46
2006-02,18,0,0,2,44
2006-03,18,2,0,3,43
2006-04,13,0,0,4,39
2006-05,17,0,0,3,42
2006-06,18,0,0,3,31
2006-07,9,0,0,4,38
2006-08,11,0,0,4,41
2006-09,16,4,2,3,40
2006-10,17,3,0,2,41
2006-11,14,0,0,3,37
2006-12,14,0,0,3,29
2007-01,23,2,0,3,44
2007-02,18,2,0,2,38
2007-03,14,0,0,3,38
2007-04,13,0,0,4,38
2007-05,14,2,0,4,37
2007-06,14,2,0,4,38
2007-07,10,2,0,4,33
2007-08,10,1,0,6,32
2007-09,13,4,1,2,37
2007-10,12,3,1,3,36
2007-11,13,1,0,2,34
2007-12,16,2,0,3,28
2008-01,23,2,0,3,40
2008-02,20,2,0,2,36
2008-03,17,2,1,3,37
2008-04,17,2,1,3,40
2008-05,17,2,0,3,31
2008-06,19,2,0,4,30
2008-07,19,2,0,4,29
2008-08,14,3,0,5,27
2008-09,19,4,2,3,31
2008-10,19,3,1,3,32
2008-11,15,2,1,3,27
2008-12,15,2,1,2,24
2009-01,21,2,1,2,36
2009-02,16,2,0,2,36
2009-03,15,2,0,2,35
2009-04,12,3,1,3,32
2009-05,12,3,1,4,37
2009-06,13,2,1,3,34
2009-07,10,2,1,4,35
2009-08,10,3,1,4,31
2009-09,11,5,1,2,37
2009-10,10,3,1,2,37
2009-11,12,2,1,2,40
2009-12,11,1,0,4,35
2010-01,17,2,1,3,50
2010-02,12,2,1,2,47
2010-03,11,3,< 1,2,50
2010-04,11,2,0,2,49
2010-05,11,3,1,3,47
2010-06,10,2,0,3,46
2010-07,6,2,0,5,45
2010-08,8,3,1,4,38
2010-09,9,5,2,3,48
2010-10,9,4,1,2,50
2010-11,10,2,0,2,48
2010-12,10,2,0,2,43
2011-01,14,3,1,2,65
2011-02,12,3,0,2,56
2011-03,11,3,1,2,53
2011-04,10,3,1,3,57
2011-05,10,3,1,3,50
2011-06,10,3,1,3,52
2011-07,10,3,1,5,53
2011-08,9,4,1,6,47
2011-09,10,7,2,3,57
2011-10,10,4,1,3,51
2011-11,15,3,< 1,2,51
2011-12,13,3,1,3,46
2012-01,15,4,1,3,60
2012-02,12,3,1,2,43
2012-03,15,4,1,3,53
2012-04,9,3,1,4,57
2012-05,11,3,1,3,61
2012-06,12,3,1,4,48
2012-07,9,4,1,5,54
2012-08,7,4,1,6,54
2012-09,9,8,3,3,62
2012-10,12,5,1,3,51
2012-11,10,4,1,2,42
2012-12,9,3,< 1,3,44
2013-01,13,4,1,3,69
2013-02,11,3,1,2,54
2013-03,9,3,1,3,41
2013-04,12,3,1,4,42
2013-05,11,3,1,3,63
2013-06,10,3,1,5,58
2013-07,7,3,1,5,40
2013-08,6,4,2,7,42
2013-09,8,9,3,4,52
2013-10,10,5,1,3,64
2013-11,12,4,1,3,61
2013-12,9,3,1,5,37
2014-01,14,4,1,5,61
2014-02,12,4,1,5,67
2014-03,11,4,1,4,62
2014-04,12,3,1,5,48
2014-05,12,4,1,5,43
2014-06,10,4,1,5,47
2014-07,8,4,1,6,59
2014-08,10,5,2,9,46
2014-09,9,10,4,5,56
2014-10,9,6,2,4,53
2014-11,8,4,1,4,54
2014-12,9,3,1,4,44
2015-01,13,4,1,4,57
2015-02,11,4,1,4,48
2015-03,11,4,1,5,50
2015-04,9,4,1,8,56
2015-05,10,4,1,10,55
2015-06,9,4,1,10,48
2015-07,7,4,1,9,41
2015-08,6,5,2,12,37
2015-09,7,9,4,10,78
2015-10,8,6,2,9,77
2015-11,8,5,1,6,48
2015-12,9,3,1,5,45
2016-01,10,4,1,6,54
2016-02,11,4,1,6,75
2016-03,8,4,1,4,89
2016-04,9,3,1,6,50
2016-05,8,3,1,5,48
2016-06,8,3,1,10,50
2016-07,5,4,1,13,61
2016-08,4,5,2,8,61
2016-09,6,12,4,5,43
2016-10,7,7,2,5,44
2016-11,8,5,1,7,61
2016-12,8,4,1,9,50
2017-01,12,5,1,6,75
2017-02,11,5,1,4,56
2017-03,10,4,1,5,55
2017-04,10,4,1,9,57
2017-05,11,4,1,10,53
2017-06,8,4,1,9,53
2017-07,5,4,1,8,59
2017-08,5,5,2,10,43
2017-09,7,10,4,7,60
2017-10,7,7,2,10,55
2017-11,9,5,1,6,45
2017-12,8,3,1,6,44
2018-01,11,5,2,7,58
2018-02,11,4,1,8,55
2018-03,9,4,1,11,54
2018-04,8,4,1,9,51
2018-05,12,5,1,6,57
2018-06,9,5,1,8,53
2018-07,6,5,2,15,50
2018-08,7,6,3,12,42
2018-09,8,12,6,8,60
2018-10,9,7,2,8,66
2018-11,10,5,2,9,61
2018-12,8,3,1,6,63
2019-01,11,4,2,8,84
2019-02,11,5,1,8,79
2019-03,9,4,1,8,84
2019-04,8,4,1,8,70
2019-05,9,5,2,8,66
2019-06,9,5,2,13,65
2019-07,6,5,2,10,66
2019-08,5,6,3,12,55
2019-09,7,13,5,12,64
2019-10,8,7,3,10,64
2019-11,8,5,2,6,62
2019-12,7,3,1,9,60
2020-01,10,5,2,11,62
2020-02,8,4,1,7,70
2020-03,12,2,1,2,57
2020-04,16,2,1,1,63
2020-05,16,3,2,3,71
2020-06,9,4,2,8,85
2020-07,6,4,2,11,68
2020-08,6,4,2,11,56
2020-09,7,8,4,9,71
2020-10,7,4,1,6,64
2020-11,9,1,1,2,52
2020-12,8,1,< 1,3,53
2021-01,11,3,1,3,66
2021-02,14,3,1,4,60
2021-03,14,2,< 1,3,58
2021-04,12,2,1,4,58
2021-05,15,3,1,7,58
2021-06,11,4,1,11,63
2021-07,8,3,1,12,60
2021-08,7,5,3,15,53
2021-09,11,10,6,10,59
2021-10,15,6,3,9,61
2021-11,20,4,2,8,55
2021-12,20,2,1,7,47
2022-01,24,3,1,6,66
2022-02,27,4,2,9,67
2022-03,28,5,2,9,65
2022-04,23,4,2,12,63
2022-05,29,4,2,11,72
2022-06,34,4,2,15,72
2022-07,31,4,2,15,67
