Categoria: Tutte le categorie

Mese,Inflazione: (Italia),politica monetaria: (Italia),quantitative easing: (Italia),spread BTP Bund: (Italia),debito pubblico: (Italia)
2004-01,54,0,0,0,0
2004-02,58,0,0,0,10
2004-03,47,0,0,0,0
2004-04,43,0,0,0,10
2004-05,46,0,0,0,9
2004-06,32,8,0,0,11
2004-07,24,0,0,0,8
2004-08,20,0,0,0,0
2004-09,39,0,0,0,0
2004-10,40,0,0,0,0
2004-11,39,0,0,0,9
2004-12,40,0,0,0,0
2005-01,53,0,0,0,11
2005-02,51,0,0,0,7
2005-03,32,0,0,0,10
2005-04,35,0,0,0,7
2005-05,30,7,0,0,10
2005-06,27,0,0,0,14
2005-07,25,0,0,0,0
2005-08,17,0,0,0,0
2005-09,32,0,0,0,9
2005-10,28,5,0,0,5
2005-11,30,4,0,0,6
2005-12,30,0,0,0,5
2006-01,44,0,0,0,7
2006-02,32,0,0,0,10
2006-03,31,4,0,0,12
2006-04,23,3,0,0,14
2006-05,29,4,0,0,11
2006-06,32,3,0,0,11
2006-07,16,0,0,0,5
2006-08,19,4,0,0,5
2006-09,28,4,0,0,6
2006-10,29,2,0,0,7
2006-11,25,4,0,0,8
2006-12,24,3,0,0,8
2007-01,39,3,0,0,10
2007-02,31,3,0,0,6
2007-03,25,3,0,0,7
2007-04,22,0,0,0,6
2007-05,24,3,0,0,10
2007-06,24,2,0,0,9
2007-07,18,0,0,0,8
2007-08,17,2,0,0,11
2007-09,23,2,0,0,11
2007-10,21,2,1,0,12
2007-11,23,3,0,0,11
2007-12,29,2,0,0,11
2008-01,40,2,2,0,14
2008-02,35,2,0,0,12
2008-03,29,2,0,0,12
2008-04,30,3,0,0,21
2008-05,29,4,0,0,9
2008-06,33,4,0,0,8
2008-07,33,0,0,0,9
2008-08,25,0,0,0,6
2008-09,33,2,0,0,7
2008-10,33,3,0,0,11
2008-11,26,2,0,0,9
2008-12,25,3,0,1,14
2009-01,36,3,0,0,13
2009-02,28,2,0,0,11
2009-03,26,2,2,0,9
2009-04,21,3,0,0,8
2009-05,21,2,0,0,11
2009-06,23,5,0,0,9
2009-07,18,1,0,0,8
2009-08,17,0,0,0,7
2009-09,19,2,0,0,6
2009-10,18,2,0,0,12
2009-11,20,2,0,0,11
2009-12,19,2,0,0,14
2010-01,29,3,0,0,13
2010-02,21,3,0,0,14
2010-03,18,1,0,0,10
2010-04,19,2,0,0,14
2010-05,19,3,0,0,22
2010-06,18,3,0,0,18
2010-07,11,2,0,0,9
2010-08,15,0,0,0,8
2010-09,16,2,0,0,10
2010-10,16,2,2,0,10
2010-11,17,2,2,2,15
2010-12,17,1,1,2,16
2011-01,24,3,0,2,13
2011-02,20,2,1,1,14
2011-03,20,2,1,1,11
2011-04,17,2,1,1,11
2011-05,18,2,1,1,12
2011-06,18,3,1,1,20
2011-07,17,2,1,9,28
2011-08,16,1,3,16,41
2011-09,17,2,1,24,43
2011-10,17,2,1,15,32
2011-11,27,2,2,100,85
2011-12,23,2,1,65,47
2012-01,27,3,1,44,32
2012-02,20,2,1,41,24
2012-03,26,2,1,39,22
2012-04,16,2,1,35,22
2012-05,20,3,1,32,29
2012-06,21,4,1,35,27
2012-07,16,2,1,43,26
2012-08,13,2,1,36,21
2012-09,16,3,2,29,16
2012-10,21,2,1,24,18
2012-11,17,2,1,16,23
2012-12,15,2,1,22,29
2013-01,23,3,1,17,27
2013-02,19,3,1,15,26
2013-03,16,2,< 1,11,21
2013-04,21,2,1,12,17
2013-05,19,3,1,11,15
2013-06,17,3,2,9,13
2013-07,13,2,1,10,15
2013-08,10,1,1,9,12
2013-09,14,2,2,8,15
2013-10,18,2,1,9,19
2013-11,21,2,1,6,14
2013-12,16,2,1,6,17
2014-01,25,3,1,8,16
2014-02,20,2,1,8,16
2014-03,19,2,1,8,17
2014-04,21,2,3,6,13
2014-05,20,3,2,7,15
2014-06,18,3,2,6,13
2014-07,13,2,1,5,13
2014-08,17,2,3,5,15
2014-09,16,2,3,5,13
2014-10,16,2,2,5,13
2014-11,15,2,4,4,12
2014-12,16,2,4,5,17
2015-01,23,3,19,5,17
2015-02,19,3,6,5,16
2015-03,19,2,16,6,10
2015-04,16,2,6,5,12
2015-05,18,2,5,5,12
2015-06,16,3,4,7,16
2015-07,12,2,3,6,31
2015-08,10,1,2,5,9
2015-09,12,2,3,3,8
2015-10,14,2,3,3,8
2015-11,15,2,3,3,8
2015-12,16,2,3,3,9
2016-01,18,3,2,2,12
2016-02,19,3,3,4,15
2016-03,15,3,3,3,11
2016-04,15,2,2,2,11
2016-05,14,3,2,3,13
2016-06,14,4,2,4,14
2016-07,9,2,1,3,8
2016-08,8,1,1,2,10
2016-09,11,2,2,2,13
2016-10,12,2,2,3,12
2016-11,13,2,2,8,16
2016-12,13,2,3,7,15
2017-01,21,2,2,4,12
2017-02,19,2,2,7,17
2017-03,18,1,2,4,11
2017-04,18,2,1,4,11
2017-05,19,3,2,4,12
2017-06,13,3,2,5,11
2017-07,9,2,2,4,11
2017-08,9,1,3,4,9
2017-09,12,2,3,4,11
2017-10,12,2,3,4,10
2017-11,15,2,2,5,12
2017-12,13,2,2,4,13
