Categoria: Tutte le categorie

Mese,Inflazione: (Italia),aumento stipendio: (Italia),più caro: (Italia),bonus come richiederlo: (Italia),caro vita: (Italia)
2004-01,61,0,0,0,0
2004-02,65,11,0,0,0
2004-03,52,0,0,0,0
2004-04,49,0,0,0,0
2004-05,51,0,0,0,0
2004-06,36,0,0,0,0
2004-07,27,0,0,0,0
2004-08,22,0,0,0,0
2004-09,44,0,0,0,0
2004-10,45,0,0,0,0
2004-11,43,0,0,0,0
2004-12,45,0,0,0,0
2005-01,59,9,0,0,0
2005-02,57,0,0,0,0
2005-03,36,0,0,0,0
2005-04,39,0,0,0,0
2005-05,34,0,0,0,0
2005-06,30,7,0,0,0
2005-07,28,0,0,0,0
2005-08,19,0,0,0,0
2005-09,36,7,0,0,0
2005-10,31,0,0,0,0
2005-11,34,6,0,0,0
2005-12,34,0,0,0,0
2006-01,49,6,0,0,0
2006-02,36,4,0,0,0
2006-03,35,0,0,0,0
2006-04,26,0,0,0,0
2006-05,33,0,0,0,0
2006-06,35,0,0,0,0
2006-07,18,4,0,0,0
2006-08,22,4,0,5,0
2006-09,32,3,0,0,0
2006-10,33,6,0,0,0
2006-11,28,3,0,0,0
2006-12,27,0,0,0,0
2007-01,44,3,0,0,0
2007-02,35,4,0,0,0
2007-03,28,4,3,0,0
2007-04,25,4,0,0,0
2007-05,27,5,0,0,0
2007-06,27,5,0,0,2
2007-07,20,4,0,0,0
2007-08,19,7,3,0,0
2007-09,26,3,0,0,2
2007-10,24,6,0,0,0
2007-11,26,4,0,0,2
2007-12,32,5,2,0,0
2008-01,44,10,2,0,2
2008-02,39,6,0,0,2
2008-03,33,3,3,0,3
2008-04,33,4,0,0,2
2008-05,33,2,1,0,2
2008-06,37,3,1,0,3
2008-07,37,4,2,0,0
2008-08,28,0,2,0,0
2008-09,37,2,2,0,3
2008-10,37,4,2,0,1
2008-11,29,4,2,0,2
2008-12,29,2,0,0,0
2009-01,41,3,1,0,0
2009-02,31,3,2,0,0
2009-03,29,4,2,0,0
2009-04,24,2,2,0,0
2009-05,24,3,1,0,0
2009-06,26,1,2,0,0
2009-07,20,1,2,0,0
2009-08,19,1,0,0,0
2009-09,21,2,2,0,1
2009-10,20,2,1,0,0
2009-11,23,2,2,0,0
2009-12,21,2,2,0,0
2010-01,32,4,2,0,0
2010-02,23,4,2,0,0
2010-03,21,3,2,0,1
2010-04,21,3,2,0,1
2010-05,21,3,2,0,0
2010-06,20,2,1,0,0
2010-07,12,2,2,0,1
2010-08,17,2,3,0,0
2010-09,18,2,2,0,2
2010-10,18,1,3,0,1
2010-11,19,2,2,0,2
2010-12,19,2,2,0,1
2011-01,27,3,2,0,1
2011-02,23,4,2,0,1
2011-03,22,4,2,0,1
2011-04,19,2,2,0,1
2011-05,20,2,3,0,2
2011-06,20,3,2,0,1
2011-07,19,3,2,0,1
2011-08,18,2,2,0,1
2011-09,20,3,3,0,1
2011-10,19,2,2,0,1
2011-11,30,2,2,0,1
2011-12,26,3,3,0,2
2012-01,30,3,2,0,1
2012-02,23,2,2,0,1
2012-03,29,2,2,0,2
2012-04,18,2,2,0,1
2012-05,22,2,2,0,1
2012-06,23,2,2,0,1
2012-07,18,2,3,0,2
2012-08,14,1,3,0,2
2012-09,18,1,3,0,2
2012-10,24,2,2,0,1
2012-11,20,3,2,0,2
2012-12,17,12,3,0,1
2013-01,26,4,2,0,1
2013-02,22,3,2,0,1
2013-03,18,2,2,0,1
2013-04,23,4,2,0,1
2013-05,22,2,2,0,1
2013-06,19,2,2,0,0
2013-07,15,1,2,0,1
2013-08,12,1,3,0,1
2013-09,15,1,3,0,1
2013-10,20,4,2,0,1
2013-11,24,2,3,0,1
2013-12,18,3,3,0,1
2014-01,28,3,2,0,1
2014-02,23,2,2,0,1
2014-03,22,8,2,0,1
2014-04,24,6,2,0,1
2014-05,23,3,2,0,1
2014-06,20,1,2,0,1
2014-07,15,2,3,0,1
2014-08,19,1,3,0,1
2014-09,17,2,3,0,1
2014-10,18,2,2,< 1,1
2014-11,16,2,3,0,1
2014-12,18,2,4,0,1
2015-01,26,2,3,1,1
2015-02,21,2,2,1,1
2015-03,21,2,2,< 1,1
