Categoria: Tutte le categorie

Mese,Inflazione: (Italia),prezzo farmaci: (Italia),visita privata: (Italia),costo ticket: (Italia),assicurazione sanitaria: (Italia)
2004-01,61,0,0,0,0
2004-02,65,0,0,0,0
2004-03,52,0,0,0,0
2004-04,49,0,0,0,0
2004-05,51,0,0,0,0
2004-06,36,0,0,0,9
2004-07,27,0,0,0,12
2004-08,22,0,0,0,0
2004-09,44,8,0,0,9
2004-10,45,0,0,0,8
2004-11,43,0,0,0,0
2004-12,45,0,0,0,0
2005-01,59,0,0,0,0
2005-02,57,0,0,0,9
2005-03,36,0,0,0,8
2005-04,39,0,0,0,9
2005-05,34,0,0,0,7
2005-06,30,0,0,0,11
2005-07,28,0,0,0,14
2005-08,19,0,0,0,13
2005-09,36,0,0,0,5
2005-10,31,0,0,0,6
2005-11,34,0,0,0,6
2005-12,34,0,0,0,5
2006-01,49,5,0,0,8
2006-02,36,0,0,0,8
2006-03,35,0,0,0,7
2006-04,26,0,0,0,7
2006-05,33,0,0,0,9
2006-06,35,4,0,3,9
2006-07,18,4,0,0,12
2006-08,22,0,0,0,10
2006-09,32,0,0,0,8
2006-10,33,4,0,4,7
2006-11,28,3,0,3,8
2006-12,27,0,0,3,5
2007-01,44,2,0,4,8
2007-02,35,4,0,5,7
2007-03,28,3,0,5,7
2007-04,25,3,0,5,9
2007-05,27,3,0,4,8
2007-06,27,0,0,3,8
2007-07,20,0,0,2,14
2007-08,19,4,0,3,9
2007-09,26,2,0,3,7
2007-10,24,2,0,3,7
2007-11,26,3,2,3,8
2007-12,32,2,0,2,7
2008-01,44,3,0,4,10
2008-02,39,0,0,3,7
2008-03,33,3,0,5,6
2008-04,33,3,0,3,7
2008-05,33,3,0,2,9
2008-06,37,2,0,2,7
2008-07,37,2,0,3,12
2008-08,28,2,0,2,10
2008-09,37,2,0,3,8
2008-10,37,2,1,4,8
2008-11,29,2,0,3,6
2008-12,29,2,0,1,6
2009-01,41,2,2,4,7
2009-02,31,3,1,4,7
2009-03,29,3,0,5,7
2009-04,24,2,0,3,7
2009-05,24,2,1,3,8
2009-06,26,2,0,3,9
2009-07,20,2,0,5,16
2009-08,19,2,0,2,10
2009-09,21,3,0,3,8
2009-10,20,3,2,4,6
2009-11,23,2,1,3,7
2009-12,21,2,0,1,7
2010-01,32,3,1,3,6
2010-02,23,2,2,3,6
2010-03,21,2,1,3,7
2010-04,21,4,1,3,8
2010-05,21,3,0,3,8
2010-06,20,2,2,4,8
2010-07,12,3,2,3,11
2010-08,17,2,0,2,8
2010-09,18,3,2,5,6
2010-10,18,3,1,4,6
2010-11,19,3,1,4,6
2010-12,19,3,0,3,6
2011-01,27,3,1,4,8
2011-02,23,3,2,4,8
2011-03,22,3,2,4,7
2011-04,19,4,1,3,7
2011-05,20,4,1,5,7
2011-06,20,3,2,3,8
2011-07,19,3,2,5,10
2011-08,18,3,2,5,9
2011-09,20,3,2,6,8
2011-10,19,3,2,5,6
