Categoria: Tutte le categorie

Mese,Inflazione: (Italia),menu ristorante: (Italia),prezzo libro: (Italia),biglietto cinema: (Italia),costo vacanza: (Italia)
2004-01,21,4,0,0,0
2004-02,23,5,4,0,0
2004-03,18,0,0,0,0
2004-04,17,5,0,0,0
2004-05,18,8,0,0,0
2004-06,13,5,0,0,0
2004-07,10,0,0,0,0
2004-08,8,5,0,0,0
2004-09,15,3,0,0,0
2004-10,16,4,0,0,0
2004-11,15,3,0,0,0
2004-12,16,5,0,0,0
2005-01,21,4,0,0,0
2005-02,20,3,4,0,0
2005-03,13,4,2,0,0
2005-04,14,4,0,0,0
2005-05,12,4,0,0,0
2005-06,10,2,0,0,0
2005-07,10,0,0,0,2
2005-08,7,3,0,0,0
2005-09,12,3,2,0,0
2005-10,11,3,2,0,0
2005-11,12,4,2,3,0
2005-12,12,4,2,2,0
2006-01,17,2,2,0,0
2006-02,13,1,0,0,0
2006-03,12,4,2,0,0
2006-04,9,2,0,0,0
2006-05,11,3,1,2,0
2006-06,12,4,0,0,1
2006-07,6,3,0,0,2
2006-08,8,3,0,0,0
2006-09,11,2,1,0,0
2006-10,11,3,3,2,0
2006-11,10,3,1,1,0
2006-12,9,4,2,1,0
2007-01,15,3,2,2,0
2007-02,12,4,1,0,0
2007-03,10,3,1,1,0
2007-04,9,3,2,0,1
2007-05,9,4,2,2,1
2007-06,9,3,1,0,1
2007-07,7,3,1,2,1
2007-08,6,4,2,1,1
2007-09,9,2,2,1,0
2007-10,8,3,2,1,0
2007-11,9,4,2,2,0
2007-12,11,6,3,1,0
2008-01,15,3,2,1,0
2008-02,14,5,1,1,1
2008-03,11,4,2,2,1
2008-04,12,4,2,1,1
2008-05,11,4,2,1,1
2008-06,13,3,1,1,1
2008-07,13,3,1,1,2
2008-08,10,2,2,1,1
2008-09,13,4,2,1,0
2008-10,13,3,2,1,< 1
2008-11,10,4,2,2,< 1
2008-12,10,6,3,2,0
2009-01,14,4,2,2,1
2009-02,11,5,2,1,1
2009-03,10,5,2,1,1
2009-04,8,5,1,1,1
2009-05,8,5,2,2,1
2009-06,9,3,2,1,1
2009-07,7,3,2,1,1
2009-08,7,4,2,1,1
2009-09,7,4,2,1,< 1
2009-10,7,4,2,2,0
2009-11,8,5,3,3,< 1
2009-12,7,9,4,3,0
2010-01,11,4,2,4,1
2010-02,8,6,2,3,1
2010-03,7,6,2,2,< 1
2010-04,7,5,2,1,1
2010-05,7,4,2,1,1
2010-06,7,4,2,1,1
2010-07,4,4,2,1,1
2010-08,6,5,2,1,1
2010-09,6,4,3,1,< 1
2010-10,6,4,3,2,< 1
2010-11,7,5,3,2,< 1
2010-12,7,9,5,2,< 1
2011-01,9,5,3,4,1
2011-02,8,6,2,2,< 1
2011-03,8,5,3,1,1
2011-04,7,7,2,1,1
2011-05,7,4,3,2,1
2011-06,7,4,2,1,1
2011-07,7,5,3,2,1
2011-08,6,6,2,1,1
2011-09,7,4,3,2,< 1
2011-10,7,5,3,2,< 1
2011-11,11,6,4,3,< 1
2011-12,9,11,6,3,< 1
2012-01,10,5,3,3,1
2012-02,8,7,3,2,1
2012-03,10,8,3,2,1
2012-04,6,8,3,3,1
2012-05,8,6,3,2,1
2012-06,8,5,3,1,1
2012-07,6,6,3,2,1
2012-08,5,8,3,2,1
2012-09,6,6,4,3,< 1
2012-10,8,7,4,3,< 1
2012-11,7,8,4,4,1
2012-12,6,13,5,3,< 1
2013-01,9,7,3,2,1
2013-02,8,9,3,2,1
2013-03,6,12,3,2,1
2013-04,8,7,3,3,1
2013-05,8,7,3,4,1
2013-06,7,7,3,2,1
2013-07,5,7,3,1,1
2013-08,4,10,3,2,1
2013-09,5,7,4,3,< 1
2013-10,7,8,4,4,< 1
2013-11,8,10,4,7,< 1
2013-12,6,18,5,4,< 1
2014-01,10,9,4,4,1
2014-02,8,13,4,3,1
2014-03,8,11,3,3,1
2014-04,8,16,3,3,1
2014-05,8,10,4,3,1
2014-06,7,9,3,1,1
2014-07,5,9,3,2,2
2014-08,7,13,3,2,1
2014-09,6,10,5,3,1
2014-10,6,10,4,3,1
2014-11,6,14,4,5,1
2014-12,6,22,5,4,1
2015-01,9,12,4,4,1
2015-02,7,18,4,5,1
2015-03,7,19,3,4,1
2015-04,6,16,3,4,1
2015-05,7,12,3,2,1
2015-06,6,12,3,2,1
2015-07,5,13,4,1,2
2015-08,4,18,3,3,1
2015-09,5,13,4,5,1
2015-10,6,14,4,6,< 1
2015-11,6,17,5,4,1
2015-12,6,27,6,6,1
2016-01,7,16,4,10,1
2016-02,8,20,4,4,1
2016-03,6,26,4,4,1
2016-04,6,17,4,3,1
2016-05,6,16,4,3,1
2016-06,5,17,3,2,1
2016-07,4,19,3,1,1
2016-08,3,22,3,3,1
2016-09,4,18,5,5,1
2016-10,5,18,4,5,1
2016-11,5,23,5,5,< 1
2016-12,5,37,6,6,1
2017-01,8,19,4,8,1
2017-02,7,26,3,7,1
2017-03,7,26,3,6,1
2017-04,7,34,3,5,1
2017-05,7,22,4,3,1
2017-06,5,22,3,3,1
2017-07,4,23,3,2,1
2017-08,4,31,3,3,1
2017-09,5,23,4,5,1
2017-10,5,23,4,6,< 1
2017-11,6,30,4,5,1
2017-12,5,45,5,6,1
2018-01,8,24,3,6,1
