,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2004-01-01,1.01971363915281,-3.1679890791402805,-1.297174293525588,-3.63599754252098,-3.622553607838356,1.909759683384528,-1.1445815360359857,-2.8672089442762543,-2.5084250757588213,-6.344223194281156
2004-02-01,2.8824397347588198,-3.1723887672904487,-1.2307933132326985,-3.8125934247775346,-3.170738544713494,2.0644512759668263,-1.015410546435936,-2.831630516673946,-2.4058273561615673,-5.7336676403791635
2004-03-01,-0.09694636938822111,-2.663900229206649,-1.4372875645918255,-3.696505670848648,-3.202041012801438,1.445684905637632,-1.261046863899701,-2.985803702950615,-2.6842787557616954,-6.468411778004755
2004-04-01,2.1620227322581007,-3.181188143590785,-0.9497063864613762,-3.7957097171526115,-2.2671084184637706,1.2909933130553335,-1.353160482948613,-3.0332416064203587,-1.4461094311418372,-5.41686710798249
2004-05-01,3.1484628101123615,-3.1847078941109195,-0.9996524213485641,-3.6302297600163,-2.7354953764587204,1.239429448861234,-1.5338589102395688,-3.045101082287795,-2.5523392769728077,-5.736422789204534
2004-06-01,0.618640841115824,-3.197906958561424,-1.7175141067243005,-1.9851050621383224,-1.908060417023704,-0.25752733793879606,-1.8409043070692752,-2.25912500233035,-2.640216898187513,-5.606084989535473
2004-07-01,0.23733656339109457,-3.2058263972317267,-0.7983588051942839,-2.5369055098783195,-2.3978337211986407,0.15658830078514477,-1.8444331178761433,-2.0445708791476127,-2.830741457786204,-5.621554277945135
2004-08-01,-0.4098241221234222,-3.202306646711592,-0.8258088748320763,-3.4478660952550655,-2.1538677299372884,0.41440762175564233,-2.1055991171375417,-1.9734140239429967,-2.6841803181882318,-5.991426583955009
2004-09-01,0.838163116008001,-2.190454837660431,-1.1397656924148016,-2.1452368766590695,-0.7753778087620776,0.9300462636966373,-1.913254642768117,-2.2713456640540826,-2.5962780875801603,-4.487931578287906
2004-10-01,0.733089800857982,-3.1917473951511885,-1.3004197564463933,-2.2555568480832773,-2.79285503239247,0.9300462636966373,-1.6647943052430527,-3.1281174133598473,-1.165370410636087,-5.596948104336615
