,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale,indice_Inflazione_Aggregato
2004-01-01,0.8077889982483651,-1.817565556040013,-1.5349757893991895,-3.4919593028834233,-1.6464315922699857,-2.1187643835135903,-2.3112986811126577,-3.4262022319501986,-2.8122564664393908,-6.097333778250176,2.1568403311984494
2004-02-01,1.8344427706625095,-3.1938222749822454,-2.062738285450674,-3.7156602512060886,-2.148005445712303,-1.4028711213618048,-1.2149022417946207,-3.4262022319501986,-1.4242590500423535,-5.987356364713972,2.4582039524036476
2004-03-01,-2.037321944930383,-3.1938222749822454,-2.062738285450674,-3.5478845399640897,-1.180502181652096,-2.1187643835135903,-2.3112986811126577,-3.4262022319501986,-2.9253321983261142,-7.475332072116723,1.6672557803901977
2004-04-01,-0.2945597044732588,-3.1938222749822454,-1.7659062741832294,-3.659735014125422,-2.148005445712303,-1.4028711213618048,-2.3112986811126577,-3.4262022319501986,-2.7839875334677098,-7.2031791911045975,1.4278543533900114
2004-05-01,-1.0026177050214133,-3.1938222749822454,-1.5927084105951994,-3.519921921423756,-2.2365184786727115,-1.4744604475769831,-2.3112986811126577,-3.4262022319501986,-2.699180734552667,-7.263389949417581,1.429423635085326
2004-06-01,-1.1363342071053073,-3.1938222749822454,-1.9472730430586545,-1.9377454457648482,-1.5075105616466746,0.4019223417083696,-2.3112986811126577,-2.480939049852281,-2.7839875334677098,-6.118185031113194,0.5001966272616585
2004-07-01,-1.5572214584213318,-3.1938222749822454,-1.359054957382028,-3.5478845399640897,-1.2690152146125049,-1.546049773792162,-2.3112986811126577,-2.1658513224863087,-2.9253321983261142,-6.646228184475864,-0.012115844662828721
2004-08-01,-3.1298497130054455,-3.1938222749822454,-1.7740751794706247,-3.3241835916414244,-1.4325194046097942,-2.1187643835135903,-2.3112986811126577,-3.4262022319501986,-2.7839875334677098,-7.679494731003558,-0.2645441814815715
2004-09-01,0.6740724961644711,-3.1938222749822454,-1.6531640002203412,-2.586308951325928,-0.389853017205363,-2.1187643835135903,-2.3112986811126577,-0.16143418554039896,-2.8405253994110713,-4.782127847012667,1.042398707405133
2004-10-01,-1.776004953441731,-3.1938222749822454,-2.120470906646684,-2.7261220440275937,-0.7008789288033337,-2.1187643835135903,-2.3112986811126577,-2.5859682923076055,-2.8122564664393908,-6.64206368023266,1.0800114917850787
