,indice_Termini_Diretti,indice_Alimentari,indice_Energia,indice_Abitazione,indice_Trasporti,indice_Politiche_Economiche,indice_Aspettative_Consumatori,indice_Sanita,indice_Ricreazione,indice_globale
2004-01-01,3.2235364870398664,-3.203923342077048,-1.176411169567385,-3.025855903030762,-4.587193400545942,-1.0613030550273566,-2.4059626629740993,-3.390857657899697,-2.6359742486863302,-6.85080797593853
2004-02-01,4.644722071344685,-3.203923342077048,-2.0733421323452057,-3.232771334337932,-3.1587243156144993,-1.0613030550273566,-2.3297136251455046,-3.390857657899697,-2.401147928920235,-6.433225913510463
2004-03-01,0.8131262471565439,-3.203923342077048,-2.0733421323452057,-2.8435176162033327,-1.8460873274665477,-1.0613030550273566,-3.854694381717401,-3.390857657899697,-1.9019139687766842,-6.977591849065812
2004-04-01,2.3055618300625302,-3.203923342077048,-2.2486621831803,-3.232771334337932,-3.0138556894739343,-1.0613030550273566,-2.8634568899456685,-3.390857657899697,-2.4892077988325205,-7.127822149604169
2004-05-01,2.6648633385364633,-3.203923342077048,-2.1317821492902373,-2.483823245398329,-2.192477032619758,-1.0613030550273566,-2.7109588142884786,-3.390857657899697,-2.4892077988325205,-6.448524802932594
2004-06-01,-0.017417203785402485,-3.203923342077048,-2.0149021154001745,-2.7252802268849496,-1.5052505094488273,-1.0613030550273566,-2.7109588142884786,-2.15601108690598,-1.4426150046887922,-5.964689434981064
2004-07-01,0.20755867542392897,-3.203923342077048,-2.0149021154001745,-2.8435176162033327,-1.5996752611522491,-1.0613030550273566,-2.634709776459884,-2.2589149678221228,-2.3643993087966333,-6.3083306852615895
2004-08-01,1.1922472244725384,-3.203923342077048,-1.3014234868983876,-2.2473484667615633,-2.1999969936535932,-1.0613030550273566,-1.3384761333737714,-3.390857657899697,-1.9019139687766842,-5.7230597261074365
2004-09-01,0.9736560123211926,-3.203923342077048,-1.5351835546785133,-3.173652639678741,-0.71213676353727,-1.0613030550273566,-2.10096651165972,-3.390857657899697,-2.518561088803283,-6.139400417627226
2004-10-01,0.7284443318192657,-3.203923342077048,-1.5936235716235447,-3.622025052472532,-2.198284338491172,-1.0613030550273566,-2.25346458731691,-2.361818848738266,-1.3839084247472684,-6.090081889577586
2004-11-01,1.48540741736365,-2.063799030056959,-2.0733421323452057,-2.631619982046307,-1.9683704306710397,0.7352341494020511,-2.1772155494883147,-3.390857657899697,-2.731429448751456,-5.807025244000991
2004-12-01,1.9680965692364158,-3.203923342077048,-1.5976897133440144,-2.991314352851311,-1.4734129750559342,-1.0613030550273566,-2.7109588142884786,-3.390857657899697,-1.4132617147180302,-5.970051543743964
2005-01-01,2.121210089988937,-2.190479509170302,-2.1317821492902373,-2.9321956581921196,-1.7111269024803946,-1.5458487215258723,-2.10096651165972,-2.567626610570552,-2.731429448751456,-5.7235357940117195
2005-02-01,1.707710000007506,-3.203923342077048,-2.1317821492902373,-3.592465705142936,-2.0645040067529754,-1.0613030550273566,-1.7584296794590386,-2.361818848738266,-1.6554833646369655,-5.986253975366471
2005-03-01,0.2805171428252727,-2.5310802660240297,-1.0766317551098459,-3.173652639678741,-1.0715755924171908,-1.0613030550273566,-2.7109588142884786,-2.670530491486695,-2.3350460188258717,-5.7480066776766225
2005-04-01,-0.635034472070408,-2.867501804050539,-1.7145697472340775,-3.1440932923491447,-2.582166283905231,-1.0613030550273566,-1.9488576613545274,-2.361818848738266,-2.731429448751456,-6.571996772761599
2005-05-01,0.9264371267763961,-2.9516071885571664,-2.1317821492902373,-3.1440932923491447,-2.5980087510999486,-1.0613030550273566,-2.482211700802694,-2.670530491486695,-1.6177486294162111,-6.390014634085783
2005-06-01,1.0645556338970392,-3.203923342077048,-1.6561297302890459,-3.415109621165362,-1.7063703158979489,-1.0613030550273566,1.3457013951043988,-2.361818848738266,-2.1808842388192216,-4.961313828606825
2005-07-01,0.8259304568773207,-2.909554496303852,-1.5976897133440144,-2.7843989215441414,-1.3978997634036785,0.22193780527936297,-2.3297136251455046,-1.5385878014091214,-1.4635868494095612,-4.945448602186411
2005-08-01,-0.926775507679368,-3.203923342077048,-1.4183035207884505,-2.4247045507391376,-1.8295891689723818,-1.0613030550273566,-2.558460738631289,-2.0531072059898365,-2.3643993087966333,-6.1269461568879695
2005-09-01,-1.1371613812659074,-2.9936598808104797,-1.5976897133440144,-1.4972742996530628,-1.426944452726708,-1.0613030550273566,-1.8852519256053653,-0.5922660203220295,-2.5646772692740303,-4.965891561725888
2005-10-01,-0.020900516369050715,-3.203923342077048,-2.010835973679704,-3.0799923948400982,-1.2395531857463595,-1.3843334993597003,-2.2791404168277727,-2.670530491486695,-2.914944518728868,-6.5998203448986885
2005-11-01,0.46779090348859537,-3.203923342077048,-2.2486621831803,-3.020873700180907,-1.8448971588606813,-0.26260786121915264,-2.482211700802694,-2.7734343724028383,-1.8012636993936226,-6.356676165251197
2005-12-01,-0.44753021959048866,-2.9936598808104797,-1.8314497811241401,-2.8680947606830727,-1.7348843586984675,-1.0613030550273566,-2.10096651165972,-1.2301575324759952,-2.1682938393484457,-5.675502853871185
2006-01-01,0.4224479386505373,-3.203923342077048,-1.8314497811241401,-2.9617550055217152,-1.3729284141371259,-1.0613030550273566,-1.5549691701321202,-1.065567597773227,-1.4891113160758849,-5.0497479852110825
2006-02-01,0.5167585700433798,-3.0357125730637935,-1.7730097641791087,-3.592465705142936,-1.7615645323435338,-0.3577408111143246,-2.10096651165972,-2.0461432796430254,-2.3727807540466257,-6.032947936104549
2006-03-01,-0.04301349363519685,-3.0357125730637935,-1.8314497811241401,-2.902636310862524,-1.6775762145269382,-0.16747491132398046,2.2069544369539287,-2.1490471605591686,-1.8306169893643842,-4.40970935194945
2006-04-01,0.17586869757080456,-3.203923342077048,-1.9523959567346727,-2.572501287387116,-1.668196744503084,0.22193780527936297,-2.8634568899456685,-2.670530491486695,-2.2186189740399764,-6.239656873959575
2006-05-01,0.10469895106635568,-2.9516071885571664,-1.7145697472340775,-1.4085962576642759,-1.8451515775966065,-0.2769832000312387,-2.787207852117074,-1.3947474671787636,-1.926755312436259,-5.13801761078868
2006-06-01,-0.35488116939779096,-3.0357125730637935,-1.5194390503599453,-1.4085962576642759,-1.4718272800624048,-1.4650911104427862,-2.939705927774263,-1.7374316368945961,-2.518561088803283,-5.614440822854327
2006-07-01,-0.2479774092521879,-2.444885272103793,-1.7145697472340775,-2.813958268873737,-0.8695219514900812,-1.626606332608958,-2.787207852117074,-2.15601108690598,-1.4635868494095612,-5.4891885320854374
2006-08-01,0.11707648504571064,-3.0357125730637935,-1.9523959567346727,-0.807444905372651,-1.6627907111951932,-1.626606332608958,-2.7109588142884786,-2.361818848738266,-2.3643993087966333,-5.703417172509349
2006-09-01,-0.8487499646832156,-2.909554496303852,-2.010835973679704,-2.6611793293759027,-1.04318372130568,-1.3035758882766144,-2.050393303341988,-2.0993362016878,-2.014132059341796,-5.823711747996798
2006-10-01,-0.8101225458977913,-1.9555130422800922,-2.010835973679704,-1.5369796123606103,-0.8626567240597178,-1.78812155477513,-2.11399903909115,-1.3997586357472087,-1.6554833646369655,-4.63636713033263
2006-11-01,-0.5285256907061697,-2.9516071885571664,-1.7503069945626197,-3.0799923948400982,-1.131924296522672,-0.6951465942587544,-1.7453971520276086,-1.9964323207716568,-2.014132059341796,-5.624343682739017
2006-12-01,-0.9668214361400809,-2.909554496303852,-1.8087470115076514,-2.838535413353477,-1.2339921386449135,-0.8566618164249262,-2.787207852117074,-2.305143963520086,-1.0137325844947562,-5.814132643863805
2007-01-01,0.19188659448974346,-2.5720881535705384,-1.454040768116993,-2.6611793293759027,-1.9798619130288841,-1.1940675995693562,-0.962143644071555,-1.9432393987268823,-1.3055962460984736,-4.888767437057659
