order,seasonal_order,AIC,BIC,LogLikelihood,LjungBox_pvalue,Converged
"(0, 0, 0)","(0, 0, 0, 12)",265.60753049113094,272.6584363693945,-130.80376524556547,7.53360606080294e-11,True
"(0, 0, 0)","(0, 0, 1, 12)",434.3954446675675,444.9718034849629,-214.19772233378376,8.773392015118696e-08,True
"(0, 0, 0)","(1, 0, 0, 12)",412.48739797658413,423.0637567939795,-203.24369898829207,3.0322498784659855e-08,True
"(0, 0, 0)","(1, 0, 1, 12)",419.8939783896759,433.99579014620303,-205.94698919483795,7.08014615537446e-17,True
"(0, 0, 1)","(0, 0, 0, 12)",265.9810080788203,276.5573668962157,-129.99050403941015,9.096200970322275e-06,True
"(0, 0, 1)","(0, 0, 1, 12)",437.28359862334605,451.3854103798732,-214.64179931167303,0.0003548917131127992,True
"(0, 0, 1)","(1, 0, 0, 12)",399.3204569081509,413.42226866467803,-195.66022845407545,0.00043596657179264533,True
"(0, 0, 1)","(1, 0, 1, 12)",418.5840393781684,436.21130407382736,-204.2920196890842,1.1006608735761645e-06,True
"(0, 0, 2)","(0, 0, 0, 12)",267.1846488389966,281.28646059552375,-129.5923244194983,0.012261578674861747,True
"(0, 0, 2)","(0, 0, 1, 12)",443.0585205257053,460.68578522136426,-216.52926026285266,0.04421373220562646,True
"(0, 0, 2)","(1, 0, 0, 12)",391.052316744324,408.67958143998294,-190.526158372162,0.03873539672151478,True
"(0, 0, 2)","(1, 0, 1, 12)",429.73126906480877,450.88398669959946,-208.86563453240439,0.0008884146841896935,True
"(1, 0, 0)","(0, 0, 0, 12)",240.62234651608085,251.1987053334762,-117.31117325804043,0.00028752793265136834,True
"(1, 0, 0)","(0, 0, 1, 12)",414.7506643625428,428.85247611906993,-203.3753321812714,0.0025647197454329224,True
"(1, 0, 0)","(1, 0, 0, 12)",408.45286809697166,422.5546798534988,-200.22643404848583,0.004187872758356235,True
"(1, 0, 0)","(1, 0, 1, 12)",396.4591658507795,414.08643054643846,-193.22958292538976,0.0008917139656002632,True
"(1, 0, 1)","(0, 0, 0, 12)",221.4610186866222,235.56283044314932,-106.7305093433111,0.34758768388157363,True
"(1, 0, 1)","(0, 0, 1, 12)",407.97373418320035,425.6009988788593,-198.98686709160017,0.35002355847861993,True
"(1, 0, 1)","(1, 0, 0, 12)",390.48019118144805,408.107455877107,-190.24009559072402,0.3156539320857709,True
"(1, 0, 1)","(1, 0, 1, 12)",401.04890765234876,422.20162528713945,-194.52445382617438,0.18960718836218612,True
"(1, 0, 2)","(0, 0, 0, 12)",238.783081460606,256.41034615626495,-114.391540730303,0.35766882016393164,True
"(1, 0, 2)","(0, 0, 1, 12)",425.7024739851869,446.8551916199776,-206.85123699259344,0.35762926367915815,True
"(1, 0, 2)","(1, 0, 0, 12)",392.4508155412193,413.60353317601,-190.22540777060965,0.31770804519084167,True
"(1, 0, 2)","(1, 0, 1, 12)",418.77952185021,443.4576924241325,-202.389760925105,0.19674301223951707,True
"(2, 0, 0)","(0, 0, 0, 12)",235.6709373345755,249.77274909110264,-113.83546866728776,0.04357064152025142,True
"(2, 0, 0)","(0, 0, 1, 12)",403.40604868779167,421.0333133834506,-196.70302434389583,0.05448626302237078,True
"(2, 0, 0)","(1, 0, 0, 12)",416.1743124284088,433.80157712406776,-203.0871562142044,0.04716623602917369,True
"(2, 0, 0)","(1, 0, 1, 12)",409.7009452114751,430.85366284626576,-198.85047260573754,0.011241712205332216,True
"(2, 0, 1)","(0, 0, 0, 12)",222.78458013578827,240.41184483144718,-106.39229006789414,0.35918663120500116,True
"(2, 0, 1)","(0, 0, 1, 12)",409.8079603462022,430.9606779809929,-198.9039801731011,0.3549440501180505,True
"(2, 0, 1)","(1, 0, 0, 12)",408.3068031334187,429.4595207682094,-198.15340156670936,0.3185269203618655,True
"(2, 0, 1)","(1, 0, 1, 12)",402.8911545180937,427.5693250920162,-194.44557725904684,0.19852041467088294,True
"(2, 0, 2)","(0, 0, 0, 12)",233.7047053985173,254.857423033308,-110.85235269925865,0.2589087470168153,True
"(2, 0, 2)","(0, 0, 1, 12)",425.5959797469752,450.2741503208977,-205.7979898734876,0.43701192993557375,True
"(2, 0, 2)","(1, 0, 0, 12)",408.47421547694125,433.15238605086375,-197.23710773847063,0.3856548154175807,True
"(2, 0, 2)","(1, 0, 1, 12)",420.663040908117,448.86666442117127,-202.3315204540585,0.1800986397296842,True
