order,seasonal_order,AIC,BIC,LogLikelihood,LjungBox_pvalue,Converged
"(1, 0, 1)","(0, 0, 0, 12)",66.54919057383918,87.70190820862989,-27.274595286919592,0.15409381125893684,True
"(2, 0, 1)","(0, 0, 0, 12)",67.07132838578924,91.74949895971173,-26.53566419289462,0.2227777936071636,True
"(2, 0, 0)","(0, 0, 0, 12)",83.04485340375052,104.19757103854123,-35.52242670187526,0.017784657847589105,True
"(1, 0, 2)","(0, 0, 0, 12)",83.71368296412217,108.39185353804466,-34.856841482061085,0.2075232747641884,True
"(2, 0, 2)","(0, 0, 0, 12)",84.98034624383524,113.18396975688951,-34.49017312191762,0.29519721111805924,True
"(1, 0, 0)","(0, 0, 0, 12)",93.16530204991855,110.79256674557746,-41.582651024959276,5.681047423570265e-05,True
"(0, 0, 0)","(0, 0, 0, 12)",114.56172899930789,128.66354075583502,-53.280864499653944,0.004012483451575474,True
"(0, 0, 1)","(0, 0, 0, 12)",117.68873899195076,135.31600368760968,-53.84436949597538,0.0005282213639222173,True
"(0, 0, 2)","(0, 0, 0, 12)",123.46419101835242,144.61690865314313,-55.73209550917621,0.006618171776080008,True
"(1, 0, 1)","(1, 0, 1, 12)",217.9852345824262,246.18885809548044,-100.9926172912131,0.2506168538938001,True
"(2, 0, 1)","(1, 0, 1, 12)",218.24109694842224,249.9701734006083,-100.12054847421112,0.3350804929461531,True
"(1, 0, 0)","(1, 0, 1, 12)",225.40281717310194,250.08098774702444,-105.70140858655097,7.928220127824966e-06,True
"(1, 0, 1)","(1, 0, 0, 12)",229.67342177655783,254.3515923504803,-107.83671088827892,0.3642493314735688,True
"(1, 0, 2)","(1, 0, 0, 12)",229.80145408131665,258.0050775943709,-106.90072704065832,0.5513808773806782,True
"(2, 0, 2)","(1, 0, 1, 12)",232.96144215612034,268.2159715474382,-106.48072107806017,0.8857197383869968,True
"(1, 0, 2)","(1, 0, 1, 12)",233.91893968875667,265.64801614094273,-107.95946984437833,0.47767719723823043,True
"(0, 0, 0)","(1, 0, 1, 12)",235.3027228497805,256.4554404845712,-111.65136142489025,9.345023068567313e-13,True
"(2, 0, 0)","(1, 0, 1, 12)",237.56577211533792,265.7693956283922,-110.78288605766896,0.0003647715492672784,True
"(0, 0, 1)","(1, 0, 0, 12)",241.7213973665518,262.8741150013425,-114.8606986832759,0.006767656758416554,True
"(0, 0, 2)","(1, 0, 0, 12)",241.79402956217473,266.47220013609723,-113.89701478108736,0.004502459775604369,True
"(0, 0, 1)","(1, 0, 1, 12)",244.22477555601182,268.9029461299343,-115.11238777800591,1.880355636573192e-07,True
"(2, 0, 1)","(1, 0, 0, 12)",246.7156146721148,274.9192381851691,-115.3578073360574,0.4875570789435384,True
"(2, 0, 2)","(1, 0, 0, 12)",247.76496419109574,279.4940406432818,-114.88248209554787,0.6990858680799396,True
"(0, 0, 0)","(1, 0, 0, 12)",249.92323008370607,267.550494779365,-119.96161504185304,0.00015057486386780853,True
"(2, 0, 0)","(0, 0, 1, 12)",251.14375712114457,275.8219276950671,-118.57187856057229,0.01761638461312797,True
"(1, 0, 1)","(0, 0, 1, 12)",251.37225746622823,276.05042804015073,-118.68612873311412,0.31498942875421354,True
"(2, 0, 1)","(0, 0, 1, 12)",251.79867301417454,280.0022965272288,-117.89933650708727,0.4538764148257628,True
"(1, 0, 0)","(1, 0, 0, 12)",254.70487724101645,275.85759487580714,-121.35243862050822,0.007599387646702831,True
"(0, 0, 2)","(1, 0, 1, 12)",262.07701022591294,290.2806337389672,-123.03850511295647,4.7236835040216916e-07,True
"(2, 0, 0)","(1, 0, 0, 12)",262.30407223110393,286.98224280502643,-124.15203611555197,0.011053870878183353,True
"(1, 0, 0)","(0, 0, 1, 12)",265.6362743328466,286.7889919676373,-126.8181371664233,0.00373458080722916,True
"(1, 0, 2)","(0, 0, 1, 12)",268.1794415842472,296.3830650973014,-126.08972079212359,0.4869395274439996,True
"(2, 0, 2)","(0, 0, 1, 12)",270.16929961636947,301.8983760685555,-126.08464980818472,0.49964430718124164,True
"(0, 0, 0)","(0, 0, 1, 12)",278.91769165948455,296.5449563551435,-134.45884582974227,0.0030395869480239106,True
"(0, 0, 1)","(0, 0, 1, 12)",286.161836030092,307.3145536648827,-137.080918015046,0.0076435339656658555,True
"(0, 0, 2)","(0, 0, 1, 12)",299.1703145075554,323.8484850814779,-142.5851572537777,0.007809603509579267,True
