order,seasonal_order,AIC,BIC,LogLikelihood,LjungBox_pvalue,Converged
"(1, 0, 1)","(0, 0, 0, 12)",64.86450785735867,82.4917725530176,-27.432253928679337,0.14388010072167046,True
"(2, 0, 1)","(0, 0, 0, 12)",65.09378891070628,86.246506545497,-26.546894455353144,0.22593090676905694,True
"(1, 0, 2)","(0, 0, 0, 12)",81.76878800568934,102.92150564048005,-34.88439400284467,0.20923073371302947,True
"(2, 0, 0)","(0, 0, 0, 12)",81.97576562553994,99.60303032119884,-35.98788281276997,0.011482816972084128,True
"(2, 0, 2)","(0, 0, 0, 12)",83.02551693957005,107.70368751349254,-34.51275846978503,0.2953955276525567,True
"(1, 0, 0)","(0, 0, 0, 12)",94.33850295963853,108.44031471616566,-43.169251479819266,5.657595653240358e-06,True
"(0, 0, 2)","(0, 0, 0, 12)",123.77767579264525,141.40494048830416,-56.88883789632263,0.0018658621186621344,True
"(0, 0, 1)","(0, 0, 0, 12)",124.15188979054938,138.2537015470765,-58.07594489527469,2.2501209839048923e-06,True
"(0, 0, 0)","(0, 0, 0, 12)",126.45526140226463,137.03162021965997,-60.22763070113231,4.415335261019535e-09,True
"(1, 0, 1)","(1, 0, 1, 12)",216.0214165156394,240.69958708956187,-101.0107082578197,0.25202147357917565,True
"(2, 0, 1)","(1, 0, 1, 12)",216.48632780997866,244.68995132303291,-100.24316390498933,0.32449032401845457,True
"(1, 0, 0)","(1, 0, 1, 12)",226.61419828845595,247.76691592324664,-107.30709914422798,6.225677415486448e-07,True
"(1, 0, 2)","(1, 0, 0, 12)",227.8068823996719,252.4850529735944,-106.90344119983595,0.5445852189921974,True
"(1, 0, 1)","(1, 0, 0, 12)",227.85200672780348,249.00472436259417,-107.92600336390174,0.3602661102820917,True
"(2, 0, 2)","(1, 0, 1, 12)",231.7851178362225,263.51419428840853,-106.89255891811125,0.8239714622904581,True
"(1, 0, 2)","(1, 0, 1, 12)",232.37298714710502,260.5766106601593,-108.18649357355251,0.43506228596509966,True
"(2, 0, 0)","(1, 0, 1, 12)",235.5859815433774,260.2641521172999,-110.7929907716887,0.00034523315685064843,True
"(0, 0, 2)","(1, 0, 0, 12)",243.40417080053135,264.55688843532204,-115.70208540026567,0.00032541566683454035,True
"(0, 0, 0)","(1, 0, 1, 12)",244.0903418775421,261.717606573201,-117.04517093877105,2.672466903705787e-24,True
"(2, 0, 1)","(1, 0, 0, 12)",244.7168657453843,269.39503631930677,-115.35843287269215,0.4895552829403227,True
"(2, 0, 2)","(1, 0, 0, 12)",245.79920946057234,274.0028329736266,-114.89960473028617,0.6763369739531884,True
"(0, 0, 1)","(1, 0, 0, 12)",247.39279768442188,265.0200623800808,-118.69639884221094,2.1819723289881817e-05,True
"(0, 0, 1)","(1, 0, 1, 12)",248.53323341055022,269.6859510453409,-118.26661670527511,6.581618626337567e-12,True
"(1, 0, 1)","(0, 0, 1, 12)",249.63658107828223,270.7892987130729,-118.81829053914112,0.3000934217333878,True
"(2, 0, 0)","(0, 0, 1, 12)",249.7262836378461,270.8790012726368,-118.86314181892305,0.01237123925663447,True
"(2, 0, 1)","(0, 0, 1, 12)",249.80439329632816,274.48256387025066,-117.90219664816408,0.457522311665137,True
"(1, 0, 0)","(1, 0, 0, 12)",256.761644730871,274.38890942652995,-123.3808223654355,0.0007875078116956067,True
"(0, 0, 0)","(1, 0, 0, 12)",259.8653955346648,273.967207291192,-125.93269776733241,4.12394932927784e-11,True
"(2, 0, 0)","(1, 0, 0, 12)",260.5651201647152,281.7178377995059,-124.2825600823576,0.008936799020518917,True
"(0, 0, 2)","(1, 0, 1, 12)",263.95803868879796,288.6362092627204,-124.97901934439896,1.5424113583730421e-09,True
"(1, 0, 2)","(0, 0, 1, 12)",266.18023648953334,290.85840706345584,-126.09011824476667,0.48894447723654677,True
"(1, 0, 0)","(0, 0, 1, 12)",267.32532418449784,284.9525888801568,-128.66266209224892,0.00035438764385239773,True
"(2, 0, 2)","(0, 0, 1, 12)",268.16950460361477,296.373128116669,-126.08475230180738,0.5008141632454215,True
"(0, 0, 0)","(0, 0, 1, 12)",288.6456997553456,302.74751151187274,-140.3228498776728,2.095122540382511e-08,True
"(0, 0, 1)","(0, 0, 1, 12)",291.7953263977991,309.42259109345804,-140.89766319889955,5.6685322518008526e-05,True
"(0, 0, 2)","(0, 0, 1, 12)",299.71926873332296,320.87198636811365,-143.85963436666148,0.0016093329221435616,True
